# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA3980] HUMBOLDT-2
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia3980
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     0     0     8     2     0    10        0     0    22     8     0    30
 1952     2    14     9     3     7    35        5    76    41     8    20   150
 1953     3    12    10    10     3    38        7    53    35    45    16   156
 1954     0    10    19     2     4    35        0    40    85     6    12   143
 1955     4     2    23    22     8    59        6    11   168   185    65   435
 1956     3    21     8    14     6    52       10   123    34    76    31   274
 1957     0     5    19    11     1    36        0    14   100    43     3   160
 1958     3     5     1    16     5    30        3    21     4    74     8   110
 1959     3    13    13    21     4    54       12    57    49   112    18   248
 1960     0     2    15    15     8    40        0     3    58    50    48   159
 1961     1    11    11    13     4    40        3    46    43    27     9   128
 1962     7     4    10     9     1    31       16    14    31    24     4    89
 1963     1    17    13     9     2    42        6    91    49    34     5   185
 1964     5     9    20     7     2    43       17    42   139    25     5   228
 1965     2     4    11    11     0    28        6     9    56    62     0   133
 1966     3     6    16     7     0    32        5    20   109    25     0   159
 1967     4     1    12     5     0    22       28     4    43     9     0    84
 1968     1    10     6    12     0    29        2    54    18    68     0   142
 1969     3     1    10     7     0    21       11     7    47    17     0    82
 1970     5    13    17     9     5    49       10    57    97    37    22   223
 1971     1    18     5     8     5    37        1   114    18    34    27   194
 1972     4     5     6    12     2    29        9    29    25    63     7   133
 1973     1    12    11    11     0    35        1    60    42    35     0   138
 1974     0     7    22     2     1    32        0    34   153     4     1   192
 1975     5     8    19    13     2    47       22    18   106    62    10   218
 1976     1     8    21    13     6    49        1    22    97    70    23   213
 1977     6     8    15     2     1    32       19    58   120     6     3   206
 1978     4     7     7     8    10    36       13    23    26    31    51   144
 1979     2    10     7     8     2    29        9    29    11    34     6    89
 1980     5     8    21     9     5    48       12    38   125    32    22   229
 1981     0     5     9     2     3    19        0    30    54     3     9    96
 1982     1     2    13     3     1    20        6     5    60    15     3    89
 1983     2     6    19    21     5    53        4    22    96   148    27   297
 1984     0     5    12    14     4    35        0    15    42    66    20   143
 1985     3     5    13     6     7    34        4    36    41    27    25   133
 1986     1     6    15     2     2    26        1    28    68     7     2   106
 1987     8    15    15     5     1    44       40    87    65    19     2   213
 1988     7    16    16    15     3    57       33   101    84   118    13   349
 1989     2     5    10     3     0    20        6    21    57    11     0    95
 1990     1     8     5     6     6    26        5    39    31    13    16   104
 1991     3    12    12     3     0    30       12    71    53     4     0   140
 1992     3     5     1     0     0     9        8    14     1     0     0    23
 1993     1     3     2     2     1     9        2     7     5     3     1    18
 1994     3     6     1     3     3    16       11    17     1     5    12    46
 1995     0     8     9    10     0    27        0    39    50    34     0   123
 1996     3     9     3     1     0    16       13    50     8     2     0    73
 1997     0     0     0     0     0     0        0     0     0     0     0     0
 1998     4     2     3     1     4    14        7    10     9     1    12    39
 1999     0     4    14     1     2    21        0     9    55     2     4    70
 2000     0     2     1     3     5    11        0     7     3     6    10    26
 2001     2     7     7     6     0    22        2    23    13    23     0    61
 2002     1    10    19     2     2    34        1    32    76     9     7   125
 2003     0     3     5     8     0    16        0     5    15    27     0    47
 2004     0     1     1     1     0     3        0     4     1     2     0     7
 2005     0     6     9     0     0    15        0    15    30     0     0    45
 **************************************************************************************
MEANS   2.3   7.3  10.9   7.4   2.6  30.5      7.1  33.7  52.2  33.7  10.5 137.1
