# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA4038] IDA-GROVE
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 DAILY RECORD HIGHS AND LOWS OCCURRING DURING 1951-2003 FOR STATION NUMBER  ia4038
      JAN     FEB    MARCH   APRIL    MAY     JUNE    JULY    AUG     SEPT    OCT     NOV     DEC
 DY  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1  56 -20  55 -26  61 -17  81  12  91  24  89  38  96  46  99  49  96  37  91  24  77  14  61  -2
  2  56 -14  57 -28  71  -3  84  15  97  19  92  38  97  49  97  49  96  41  93  20  76   5  68  -4
  3  51 -15  61 -28  75  -5  83   3  89  26  94  34  97  46  98  46 101  32  91  24  76   4  60 -12
  4  48 -23  50 -24  73 -13  80  16  92  27  96  40  99  42  99  45  94  39  90  25  75  -3  57  -5
  5  57 -18  55 -22  71 -24  77  15  87  26  96  40  97  42  96  42  94  34  92  28  71  -3  62  -8
  6  47 -17  51 -20  75 -14  86   6  89  29  93  38 100  49  96  49  99  39  90  22  75   3  60 -13
  7  47 -21  65 -15  76 -11  89  16  90  26  95  40 104  45  99  44  95  33  89  21  74  -5  59 -17
  8  60 -17  60 -25  74 -11  85  11  89  28 105  40  99  45  95  45  96  35  86  20  75  -5  56 -20
  9  58 -25  61 -25  69 -11  86  11  92  25 100  42  99  44  96  46  97  39  85  19  79   1  55 -21
 10  48 -24  60 -21  72  -7  85  16  91  30 100  41  99  48 100  46  92  33  83  19  72   8  61 -11
 11  52 -15  67 -25  64  -8  85  20  89  29  99  42 103  47  94  43  93  30  87  14  70  -8  61 -10
 12  56 -27  59 -26  65 -10  87  15  86  28  99  42 102  49  95  41  91  33  91  22  69   0  59 -15
 13  61 -25  63 -13  70 -13  80  16  92  27  99  37 104  49  97  37  92  34  88  24  67  -6  55 -22
 14  56 -23  62  -9  71 -11  88  18  91  30 101  42 103  47  98  44  93  39  87  24  75 -13  50 -22
 15  53 -22  60 -15  72  -1  86  18  91  28 100  39 102  47  99  48  97  32  88  22  72  10  56 -18
 16  53 -27  63 -30  76   5  90  17  92  32  94  44  96  45 100  48  95  34  81  23  75  -2  62 -16
 17  50 -17  67 -28  73  -3  85  22  90  33  93  41  98  50 100  45  95  32  84  10  72  -7  58 -17
 18  55 -24  65 -16  73  -3  90  18  92  35 101  47  99  47 100  42  95  31  79  23  68   0  60 -23
 19  60 -32  62 -20  76  -5  91  25  90  30  98  40 101  52  98  42  93  29  84  11  70   2  56 -28
 20  54 -28  65 -13  76  -5  89  21  90  33 101  42  99  49  97  43  92  28  88  10  66  -5  56 -22
 21  52 -30  64 -12  71  -5  91  20  92  33 102  42  98  49 100  46  91  28  82  21  68  -5  52 -26
 22  53 -14  67 -12  77   1  97  23  91  26  97  42  98  51  99  41  86  27  81  14  68   3  50 -28
 23  60 -22  62 -12  76  -1  89  19  89  26  96  42  97  50  96  42  84  24  83  17  60   5  57 -28
 24  67 -18  66 -13  84  -3  85  18  94  37 101  43  93  52  98  44  87  29  81  22  62  -1  50 -28
 25  50 -15  63 -12  80   3  87  25 101  39  99  41  99  50  99  39  90  30  80  19  74  -4  50 -18
 26  57 -20  63 -18  78 -10  93  29  94  32  98  46 104  43 101  44  92  23  82  18  63  -7  56 -17
 27  69 -21  61 -10  78   3  89  28  89  35  98  44 100  48 103  41  93  32  80  17  64  -3  54 -23
 28  52 -19  58 -21  82   3  88  20  90  34  98  49  99  48  99  36  92  24  82  14  68 -10  58  -7
 29  49 -25  69  -8  95   1  85  22  92  36  97  48 100  44  95  45  91  22  74  17  58  -5  56 -10
 30  52 -19 *** ***  85   3  88  24  93  36  96  48 103  43  97  46  92  23  78  15  65 -10  54 -15
 31  57 -20 *** ***  85  12 *** ***  91  37 *** *** 105  45  99  39 *** ***  78  13 *** ***  55 -18
