# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA4049] INDEPENDENCE-2-W
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN   0.01-    0.26-    0.51-     1.01-            # OF DAYS
 WK    TIME PERIOD    VAL   RAIN     0.25     0.50     1.00     2.00    >2.01 MISSING TOTAL
  1 3/1-->3/7        1.40   0.22   63(68)   22(24)    4( 4)    4( 4)    0( 0)    0       93
  2 3/8-->3/14       0.84   0.24   54(64)   21(25)    9(11)    0( 0)    0( 0)    0       84
  3 3/15-->3/21      2.00   0.24   67(69)   16(16)   12(12)    2( 2)    0( 0)    0       97
  4 3/22-->3/28      1.17   0.28   55(56)   25(26)   15(15)    3( 3)    0( 0)    0       98
  5 3/29-->4/4       3.53   0.30   69(64)   20(19)   15(14)    2( 2)    1( 1)    0      107
  6 4/5-->4/11       1.73   0.27   72(68)   21(20)    6( 6)    7( 7)    0( 0)    0      106
  7 4/12-->4/18      2.82   0.36   59(54)   28(26)   16(15)    3( 3)    3( 3)    0      109
  8 4/19-->4/25      3.06   0.36   75(56)   28(21)   25(19)    6( 4)    1( 1)    0      135
  9 4/26-->5/2       2.77   0.39   64(52)   27(22)   22(18)    9( 7)    1( 1)    0      123
 10 5/3-->5/9        2.74   0.38   72(54)   24(18)   25(19)   12( 9)    1( 1)    0      134
 11 5/10-->5/16      2.32   0.40   66(52)   28(22)   20(16)   13(10)    1( 1)    0      128
 12 5/17-->5/23      3.66   0.38   70(54)   28(22)   22(17)    7( 5)    2( 2)    0      129
 13 5/24-->5/30      3.67   0.39   84(57)   26(18)   24(16)   12( 8)    1( 1)    0      147
 14 5/31-->6/6       2.75   0.39   67(56)   19(16)   21(18)   10( 8)    2( 2)    0      119
 15 6/7-->6/13       3.40   0.50   66(46)   24(17)   30(21)   20(14)    2( 1)    0      142
 16 6/14-->6/20      4.82   0.46   69(52)   16(12)   29(22)   17(13)    1( 1)    0      132
 17 6/21-->6/27      3.30   0.51   67(50)   23(17)   24(18)   14(10)    6( 4)    0      134
 18 6/28-->7/4       2.46   0.41   69(55)   22(18)   21(17)   11( 9)    2( 2)    0      125
 19 7/5-->7/11       3.73   0.56   49(45)   23(21)   18(17)   13(12)    5( 5)    0      108
 20 7/12-->7/18      4.64   0.52   48(44)   19(17)   27(25)   11(10)    4( 4)    0      109
 21 7/19-->7/25      3.77   0.48   57(51)   24(21)   15(13)   11(10)    5( 4)    0      112
 22 7/26-->8/1       2.14   0.39   58(51)   29(25)   15(13)   11(10)    1( 1)    0      114
 23 8/2-->8/8        3.85   0.50   66(55)   18(15)   18(15)   12(10)    6( 5)    0      120
 24 8/9-->8/15       3.70   0.42   52(57)   21(23)   10(11)    6( 7)    3( 3)    0       92
 25 8/16-->8/22      4.35   0.52   53(47)   26(23)   15(13)   16(14)    3( 3)    0      113
 26 8/23-->8/29      3.74   0.56   49(47)   13(12)   21(20)   19(18)    3( 3)    0      105
 27 8/30-->9/5       4.67   0.49   46(51)   13(14)   22(24)    7( 8)    2( 2)    0       90
 28 9/6-->9/12       3.42   0.43   50(56)   18(20)   10(11)   10(11)    2( 2)    0       90
 29 9/13-->9/19      2.95   0.36   66(53)   38(30)   14(11)    3( 2)    4( 3)    0      125
 30 9/20-->9/26      2.33   0.43   57(49)   25(21)   21(18)   13(11)    1( 1)    0      117
 31 9/27-->10/3      2.44   0.39   41(50)   18(22)   15(18)    7( 9)    1( 1)    0       82
 32 10/4-->10/10     1.93   0.37   58(62)   12(13)   14(15)   10(11)    0( 0)    0       94
 33 10/11-->10/17    2.43   0.32   55(63)   12(14)   17(20)    2( 2)    1( 1)    0       87
 34 10/18-->10/24    1.64   0.33   51(59)   20(23)   10(11)    6( 7)    0( 0)    0       87
 35 10/25-->10/31    1.57   0.26   55(61)   21(23)   13(14)    1( 1)    0( 0)    0       90
 36 11/1-->11/7      4.22   0.40   57(61)   17(18)    8( 9)   10(11)    2( 2)    0       94
 37 11/8-->11/14     2.00   0.23   59(77)    8(10)    8(10)    2( 3)    0( 0)    0       77
 38 11/15-->11/21    1.94   0.35   46(54)   16(19)   17(20)    6( 7)    0( 0)    0       85
 39 11/22-->11/28    1.80   0.25   61(70)   13(15)   11(13)    2( 2)    0( 0)    0       87
 40 11/29-->12/5     1.30   0.22   54(75)   10(14)    7(10)    1( 1)    0( 0)    0       72
 41 12/6-->12/12     1.02   0.19   59(75)   13(16)    6( 8)    1( 1)    0( 0)    0       79
 42 12/13-->12/19    1.13   0.15   66(85)    8(10)    3( 4)    1( 1)    0( 0)    0       78
 43 12/20-->12/26    1.10   0.17   60(80)   11(15)    2( 3)    2( 3)    0( 0)    0       75
 44 12/27-->1/2      0.80   0.18   46(70)   16(24)    4( 6)    0( 0)    0( 0)    0       66
 45 1/3-->1/9        0.97   0.16   51(78)   10(15)    4( 6)    0( 0)    0( 0)    0       65
 46 1/10-->1/16      1.25   0.18   50(85)    4( 7)    4( 7)    1( 2)    0( 0)    0       59
