# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA4049] INDEPENDENCE-2-W
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 DAILY RECORD HIGHS AND LOWS OCCURRING DURING 1951-2003 FOR STATION NUMBER  ia4049
      JAN     FEB    MARCH   APRIL    MAY     JUNE    JULY    AUG     SEPT    OCT     NOV     DEC
 DY  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1  45 -21  47 -19  64 -30  78  16  88  26  92  36  99  47 100  45  96  37  86  25  81  19  61  -5
  2  47 -21  49 -30  70 -11  82  13  88  30  89  40  97  47  99  47  95  41  92  19  75  10  62  -6
  3  48 -17  48 -29  67  -3  79  11  88  28  87  39  98  48  98  45  95  32  94  24  73  10  62 -17
  4  47 -17  50 -22  69 -13  78   4  89  26  93  38  97  44  95  38  94  31  87  24  77   3  67  -8
  5  51 -21  53 -28  69 -12  82  13  88  29  93  41  95  44  91  42  92  35  88  25  73   4  67  -4
  6  45 -22  47 -23  71  -9  87  -1  88  27  94  42  95  45  92  46  93  36  93  24  68  11  66 -12
  7  42 -22  52 -15  79 -14  79   7  84  28  94  45  96  41  94  44  95  36  86  24  73  -4  52 -18
  8  45 -20  56 -24  75  -7  75   9  87  25  97  42  97  50  95  44  97  37  81  20  79   0  50 -15
  9  42 -21  52 -22  72 -14  77  15  88  27  93  39  97  40  93  45  99  38  81  22  76  13  50 -22
 10  44 -26  54 -19  65  -7  75  19  89  26  94  42  98  47  94  47  95  32  87  26  64  10  49 -18
 11  48 -24  59 -17  66   1  84   8  87  30  94  40  94  45  94  42  95  36  85  17  71  -3  56 -17
 12  49 -25  59 -20  73  -3  84  19  86  31  94  46  99  48  96  42  92  33  85  23  65  -3  57 -16
 13  51 -27  58 -13  69 -12  82  18  87  30  95  43 100  47  93  38  89  28  82  25  79  -6  58 -24
 14  49 -19  59 -13  70  -9  78  24  88  32  97  46  95  45  97  45  90  31  88  26  70   2  54 -20
 15  47 -26  58 -17  71  -2  76  22  88  31  91  44 100  46 100  40  92  29  85  23  69   1  51 -20
 16  49 -26  59 -15  72   0  84  20  90  31  91  43  94  46 101  43  90  29  85  21  72   8  54 -15
 17  50 -25  62 -18  68   4  87  23  89  32  93  43  92  42 101  46  94  35  83  21  70  -4  49 -17
 18  52 -25  61 -16  75   4  90  20  91  34  95  44  94  46  96  42  93  33  85  21  72   5  56 -20
 19  53 -25  58 -16  65   0  85  21  91  35  96  45  96  47  98  40  90  32  83  16  68   9  55 -25
 20  46 -26  56 -14  69  -1  88  25  95  34  98  44  95  48  98  38  87  28  84  18  63   2  51 -18
 21  50 -27  51 -16  73  -5  84  25  93  35 100  40  93  47  97  45  90  33  80  19  69   2  54 -22
 22  55 -22  59 -13  72   9  91  22  92  29  93  45  98  48  92  44  84  24  82  13  60   8  51 -22
 23  54 -26  59 -12  73   2  98  23  93  30  94  47  95  47  93  44  83  26  85  15  67   4  49 -23
 24  55 -20  58 -17  74  -3  85  21  92  36  98  45  97  49  93  44  89  27  84  19  64   0  52 -25
 25  55 -16  66 -13  71   0  88  28  88  38  96  44  95  50  93  40  85  30  80  20  61  -4  52 -26
 26  49 -20  62 -10  79   5  87  28  93  34  95  48  96  47  95  43  87  25  78  16  65 -19  44 -27
 27  52 -22  61 -10  76   2  84  27  94  35  94  47  99  45  94  43  86  28  74  15  66 -16  46 -15
 28  44 -22  60 -15  78   9  86  29  93  36  93  45  99  48  98  36  94  29  77  18  62 -11  60 -15
 29  47 -27  59  -3  86   5  90  22  92  23  95  47  98  44  93  40  91  26  75  14  67 -10  57  -9
 30  49 -26 *** ***  88   4  89  27  90  38  98  47 102  46  95  39  90  28  76  16  65  -9  47 -13
 31  57 -24 *** ***  81   8 *** ***  92  37 *** *** 102  43  97  39 *** ***  74  16 *** ***  58 -22
