# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 01 Sep 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA4049] INDEPENDENCE-2-W
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# Low Temperature exceedence probabilities
# (On a certain date, what is the chance a temperature below a certain
#  threshold would have been observed)
 Date    <33  <29  <27  <23
 Aug 17    0    0    0    0
 Aug 19    0    0    0    0
 Aug 21    0    0    0    0
 Aug 23    0    0    0    0
 Aug 25    0    0    0    0
 Aug 27    0    0    0    0
 Aug 29    0    0    0    0
 Aug 31    0    0    0    0
 Sep 02    1    0    0    0
 Sep 04    1    0    0    0
 Sep 06    1    0    0    0
 Sep 08    1    0    0    0
 Sep 10    3    0    0    0
 Sep 12    7    1    0    0
 Sep 14    9    1    0    0
 Sep 16   11    1    0    0
 Sep 18   12    1    0    0
 Sep 20   16    3    0    0
 Sep 22   24    9    3    0
 Sep 24   25   11    3    0
 Sep 26   27   14    7    0
 Sep 28   40   18    9    0
 Sep 30   46   22   12    0
 Oct 02   51   25   16    5
 Oct 04   64   25   18    5
 Oct 06   75   35   27    5
 Oct 08   77   40   35    7
 Oct 10   81   46   38   11
 Oct 12   83   51   40   11
 Oct 14   88   59   42   11
 Oct 16   90   64   53   12
 Oct 18   92   72   57   20
 Oct 20   92   81   62   25
 Oct 22   94   85   68   27
 Oct 24   94   88   70   31
 Oct 26   94   92   77   37
 Oct 28   96   92   77   40
 Oct 30   98   96   87   44
 Nov 01  100  100   94   53
 Nov 03  100  100   98   66
 Nov 05  100  100  100   74
 Nov 07  100  100  100   79
 Nov 09  100  100  100   79
 Nov 11  100  100  100   85
 Nov 13  100  100  100   90
 Nov 15  100  100  100   92
 Nov 17  100  100  100   94
 Nov 19  100  100  100  100
 Nov 21  100  100  100  100
 Nov 23  100  100  100  100
 Nov 25  100  100  100  100
 Nov 27  100  100  100  100
 Nov 29  100  100  100  100
 Dec 01  100  100  100  100
 Dec 03  100  100  100  100
 Dec 05  100  100  100  100
 Dec 07  100  100  100  100
 Dec 09  100  100  100  100
 Dec 11  100  100  100  100
 Dec 13  100  100  100  100
 Dec 15  100  100  100  100
 Dec 17  100  100  100  100
 Dec 19  100  100  100  100
 Dec 21  100  100  100  100
 Dec 23  100  100  100  100
 Dec 25  100  100  100  100
 Dec 27  100  100  100  100
 Dec 29  100  100  100  100
