# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA4063] INDIANOLA-2-SSW
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE MONTHLY PRECIP TOTALS 1951-2006 FOR STATION # ia4063
 YEAR   JAN   FEB  MARCH APRIL  MAY  JUNE  JULY AUGUST SEPT   OCT   NOV   DEC   ANN
 1951  0.92  3.53  5.23  4.90  6.58  7.24  4.08  4.06  1.79  4.22  2.19  1.18 45.92
 1952  0.66  0.80  4.17  1.99  4.30  5.61  4.59  4.10  0.83  0.00  5.71  1.20 33.96
 1953  0.59  2.35  3.10  2.87  1.87  7.80  1.93  0.60  0.79  0.56  0.83  1.36 24.65
 1954  0.06  1.41  1.81  5.13  4.60  4.53  0.37 10.58  2.10  3.02  0.17  1.16 34.94
 1955  1.94  1.46  0.77  2.56  3.10  1.95  3.25  1.96  5.76  0.98  0.32  0.38 24.43
 1956  0.47  0.69  0.47  1.60  2.39  1.52  3.61  5.40  1.39  1.78  1.81  0.52 21.65
 1957  0.67  0.09  2.38  3.78  3.39  3.66  1.69  4.16  2.59  3.51  1.77  1.62 29.31
 1958  0.73  0.75  0.59  1.62  3.14  2.73  9.66  0.64  2.89  0.05  2.61  0.13 25.54
 1959  0.52  0.64  2.50  3.72  7.76  6.09  3.35  4.31  3.95  2.66  0.95  1.73 38.18
 1960  3.76  2.35  1.30  1.99  6.33  3.54  3.46  4.92  4.43  2.79  0.28  0.45 35.60
 1961  0.32  2.48  4.63  1.89  2.09  4.18  5.04  2.43  9.73  2.84  3.44  2.27 41.34
 1962  0.84  1.10  1.69  2.39  5.14  5.10  2.29  4.57  2.28  3.70  0.96  0.53 30.59
 1963  0.60  0.37  2.55  5.03  3.77  1.38  5.93  5.98  1.44  0.30  1.51  0.50 29.36
 1964  0.22  0.34  1.06  4.55  3.77  6.02  2.58  3.80  5.06  0.26  1.03  0.74 29.43
 1965  1.82  1.11  2.77  5.98  4.08  5.40  0.24  3.00  7.65  0.77  1.76  2.27 36.85
 1966  1.51  0.12  1.31  1.60  5.84  6.48  2.54  2.71  1.02  0.54  0.71  0.85 25.23
 1967  0.92  0.58  2.38  4.21  2.70  6.96  0.89  0.71  2.20  2.48  0.75  1.42 26.20
 1968  0.93  0.23  1.30  5.68  2.25  2.87  4.36  2.78  1.71  3.23  1.44  2.58 29.36
 1969  0.80  1.40  1.42  5.02  4.42  7.22  5.87  3.07  3.02  4.25  0.03  2.05 38.57
 1970  0.46  0.06  2.81  2.23  3.82  3.31  2.56  6.65  7.09  5.64  1.16  1.21 37.00
 1971  2.00  1.95  0.27  1.33  5.75  3.40  2.17  1.28  2.79  3.56  3.80  0.83 29.13
 1972  0.54  0.79  0.80  3.53  4.35  2.48  6.44  5.27  7.84  2.66  3.49  2.61 40.80
 1973  2.95  2.74  5.12  5.37  6.26  2.61  8.64  2.10  7.34  5.84  2.08  3.17 54.22
 1974  1.47  1.16  1.80  5.85  6.76  4.00  1.52  5.40  1.99  3.36  1.54  1.49 36.34
 1975  1.46  1.63  2.29  3.72  2.59  6.67  0.04  3.70  2.68  0.19  3.24  0.58 28.79
 1976  0.25  2.12  3.03  6.59  3.86  2.91  2.84  1.05  1.24  1.72  0.21  0.00 25.82
 1977  0.39  0.32  4.01  2.41  2.63  1.32  2.64 14.85  3.15  6.80  0.96  0.92 40.40
 1978  0.45  1.28  0.62  5.24  4.46  5.38  4.79  2.56  8.38  1.70  3.01  1.41 39.28
 1979  1.76  0.48  3.32  4.09  1.83  4.70  3.51  1.96  0.48  3.43  1.35  0.26 27.17
 1980  0.86  0.50  0.83  1.37  1.58 11.37  2.94  7.10  2.17  2.57  0.65  0.52 32.46
 1981  0.00  1.33  0.47  4.12  1.81  5.39  7.20  2.50  2.86  2.04  2.40  0.69 30.81
 1982  1.71  0.44  3.32  3.29  9.08  1.82  7.19  5.73  4.39  2.74  2.90  3.22 45.83
 1983  1.13  0.84  3.25  3.17  4.35  3.34  0.93  1.92  0.00  0.00  2.68  1.29 22.90
 1984  0.71  0.70  1.71  6.06  5.90  6.09  5.08  0.04  1.34  4.41  2.62  2.19 36.85
 1985  0.86  2.34  2.33  0.14  3.09  6.39  4.30  2.17  5.40  3.92  2.61  1.66 35.21
 1986  0.11  1.18  2.11  3.71  5.66  3.76  5.39  4.47  6.12  3.61  0.49  0.00 36.61
 1987  0.34  0.00  2.95  2.76  4.88  2.29  6.22  0.00  0.00  0.00  0.00  1.49 20.93
 1988  0.00  0.00  0.00  0.00  0.97  2.92  2.36  2.74  3.02  0.22  2.97  0.69 15.89
 1989  1.42  0.85  0.26  1.47  4.45  2.38  4.28  3.25  4.50  3.60  0.05  0.34 26.85
 1990  1.49  0.76  4.64  3.73  5.10  9.16  7.19  1.77  1.58  2.62  2.27  1.54 41.85
