# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA4101] IOWA-CITY
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
  RECORD LARGEST AND SMALLEST DAILY RANGES (MAX-MIN) FOR STATION NUMBER  ia4101
     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC
 DY  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1  34   3  38   6  44   5  42   3  49  11  35   8  32   9  34  10  35  11  44   7  46   3  42   3
  2  37   0  41   4  40   5  49   6  43   9  39   4  32   9  30   9  36  12  43   5  44   3  32   4
  3  35   3  32   3  32   3  42   4  42  11  38   7  31  12  34   9  37   8  41   6  41   3  34   4
  4  37   3  42   3  41   5  49   7  44   6  40   8  32   9  32  10  42  12  40   7  42   5  33   4
  5  38   2  40   3  33   6  50   4  45  13  35  12  33   8  33  11  39  12  40   7  36   2  31   3
  6  31   3  39   3  45   5  44   8  39  11  35  11  37  13  35   7  45   8  45   7  39   4  39   2
  7  36   3  34   3  40   7  44   9  42   3  39   9  35   7  34   7  37  13  40   6  42   4  31   3
  8  37   2  31   3  48   6  39   3  40   5  36  10  30  11  36  11  38   8  38   8  35   3  30   4
  9  33   3  33   3  41   5  42   4  37   8  45  11  34  13  32  12  41   5  37   5  37   4  38   5
 10  33   4  37   3  37   5  42   7  40   9  37   8  32  11  34  14  37  10  45   7  47   4  35   4
 11  41   4  37   3  44   4  43   3  41  10  36  10  33   9  35  15  38  10  49   7  44   4  31   3
 12  41   3  43   4  32   5  38   4  41   6  37   9  32  12  34   8  45  12  40  12  42   5  29   4
 13  38   2  44   3  36   4  41   5  42  11  35  10  34  11  35   7  35  10  37   8  45   4  39   5
 14  32   4  34   2  37   4  40   8  41  10  33   9  33   7  36  14  37   8  41   5  43   4  38   1
 15  34   4  36   4  41   4  44   7  36   9  33  11  31  14  33  12  41   7  42   9  42   5  33   5
 16  38   5  37   5  39   6  40   6  39   8  34  12  32  14  32  10  42   9  44   8  38   5  39   4
 17  36   4  38   2  38   6  45   9  35   9  35  12  33  12  32  10  35   5  41   9  41   5  32   2
 18  49   5  40   2  38   3  37  12  49  10  36  12  30  10  35  10  36   7  52  11  43   4  35   3
 19  43   2  35   4  39   3  35   5  38   6  39  10  35  10  32   9  41   5  40   5  42   5  35   3
 20  39   3  38   5  35   3  44   8  39  10  37   9  33  12  36  13  38   8  40   5  39   3  26   3
 21  43   2  37   3  35   5  37   7  37  11  36   8  34   8  33   8  39   6  39   8  35   3  40   5
 22  41   2  35   5  44   3  36   8  38   9  37  14  31   8  34  11  47   9  39   2  39   3  35   2
 23  36   3  33   3  44   3  43  10  38   7  37  13  30   8  32  11  39   5  40   4  34   4  29   3
 24  40   3  40   3  46   8  45   8  38   9  36   3  30  11  35  10  45   7  50   5  36   3  43   4
 25  36   3  37   5  45   5  39   6  36   5  36  11  33  11  36  10  42   9  45   3  35   5  33   4
 26  39   3  35   8  43   6  39   7  36   7  36  12  34   9  38  11  42   8  47   5  35   3  35   4
 27  32   4  40   4  44   4  39   7  37   7  34  12  36   8  38   8  42   9  50   7  37   2  29   4
 28  42   4  36   5  44   4  37   8  36   5  38  11  31   9  38  11  50   5  34   6  34   3  38   2
 29  35   4  36  10  40   4  42   6  39   8  37  12  30   9  34   9  41  11  41   3  34   5  38   5
 30  42   3  **  **  42   4  44  11  40  12  32  13  30  11  33  11  42   9  43   7  39   4  40   4
 31  40   4  **  **  43   6  **  **  38  12  **  **  34   5  40  12  **  **  42   3  **  **  35   2
