# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA4101] IOWA-CITY
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE MONTHLY COOLING DEGREE DAYS 1951-2006 FOR STATION # ia4101
 YEAR    JAN    FEB  MARCH  APRIL    MAY   JUNE   JULY AUGUST   SEPT   OCT   NOV   DEC
 1951      0      0      0      4     25     72    182    163     31     29      0      0
 1952      0      0      0     10     37    287    313    178     81      5      0      0
 1953      0      0      0      0     53    267    315    260     98     36      0      0
 1954      0      0      0     14     23    304    374    234    115     24      0      0
 1955      0      0      0      8     59    112    475    377    136      5      0      0
 1956      0      0      0      8     96    310    273    262     62     16      0      0
 1957      0      0      0     18     26    190    410    299     43      0      0      0
 1958      0      0      0      5     34     87    186    253     66      8      2      0
 1959      0      0      0      0    108    200    241    371    115      0      0      0
 1960      0      0      0     23     20    113    252    288    145      6      0      0
 1961      0      0      0      0     24    170    263    259    132      7      0      0
 1962      0      0      0      9    144    163    198    214     56     36      0      0
 1963      0      0      0      4     24    249    284    188     94     50      0      0
 1964      0      0      0      4    142    213    368    216    111      0      0      0
 1965      0      0      0      1    102    159    284    245     71     13      0      0
 1966      0      0      0      0     36    176    387    174     53      7      0      0
 1967      0      0      7      6     58    203    246    144     52     24      0      0
 1968      0      0      0      3     22    262    314    309     67     41      0      0
 1969      0      0      0      0     81    128    351    293     91     34      0      0
 1970      0      0      0     36    127    218    359    295    115     16      0      0
 1971      0      0      0      7     29    371    247    232    206     44      0      0
 1972      0      0      0      0    107    182    295    304    146      5      0      0
 1973      0      0      0      0      5    248    354    332    107     43      0      0
 1974      0      0      0     11     48    127    429    200     44      0      0      0
 1975      0      0      0      1    108    256    384    353     67     29      0      0
 1976      0      0      0     19     31    215    356    212     88     18      0      0
 1977      0      0      0     35    189    269    452    224    100      0      0      0
 1978      0      0      0      0     90    237    322    289    215      2      0      0
 1979      0      0      0      0     85    234    325    309    132     15      0      0
 1980      0      0      0     23    102    212    467    385    152      2      0      0
 1981      0      0      0     21     42    243    324    258     96      4      0      0
 1982      0      0      0      0    108    102    358    264    118     27      0      0
 1983      0      0      0      0     14    285    477    521    154     21      0      0
 1984      0      0      0     12     43    279    300    335    146     12      0      0
 1985      0      0      0     53     78    165    354    211    197      1      0      0
 1986      0      0      6     29     51    266    404    168    158      2      0      0
 1987      0      0      0     32    149    326    468    317     81      0      2      0
 1988      0      0      0      0     92    331    470    447    137      4      0      0
 1989      0      0      4     17     72    198    410    282     63     16      0      0
 1990      0      0      7     35     10    251    324    301    194     22      2      0
 1991      0      0      5     25    206    338    393    342    185     17      0      0
 1992      0      0      0      3     90    213    231    155     86     11      0      0
 1993      0      0      0      0     49    199    303    320     42     11      0      0
 1994      0      0      0     33     76    304    312    235    131     23      0      0
 1995      0      0      0      0     12    274    399    498     92     10      0      0
 1996      0      0      0      4     56    258    298    302    100      7      0      0
 1997      0      0      0      0     21    247    370    247    113     75      0      0
 1998      0      0      9      0    146    209    394    348    218      5      0      0
 1999      0      0      0      2     83    244    512    272    116      7      0      0
 2000      0      0      1      0    105    186    312    338    191     23      4      0
 2001      0      0      0     29     98    207    422    354     77      9      0      0
 2002      0      0      0     44     58    308    463    261    158     15      0      0
 2003      0      0      0     22     26    155    300    321     73      3      0      0
 2004      0      0      0     27    116    176    243    147    127     11      0      0
 2005      0      0      0     29     38    321    373      0      0      0      0      0
 MEAN      0      0      1     12     70    224    344    280    112     16      0      0
