# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA4101] IOWA-CITY
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 NUMBER OF RAINY DAYS PER MONTH PER YEAR
YEAR   JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC ANN   
1951     0   0   0  11  13  17  12  10   6  11   5   8  93
1952     6   6  11   9  11  11   7   8   4   0   5   8  86
1953     8   8  12  14   9   9   9   5   6   2   5   9  96
1954     4   5   8   9   8  11   2  14   7  10   4  11  93
1955    12   9   8  10  10  11   7   5   8  11   5   5 101
1956     7   7   7   9  14   7  12  12   6   5   7   8 101
1957     6   4   8  14  17  12   9   9   7   4   8   6 104
1958     7   3   4  11   9  11  15  10  11   5   8   7 101
1959     7   6  10  13  12   5   8  11  11  10   6   7 106
1960     9   8  11  11  15  14  10   5   8   8   4   3 106
1961     3   6   8  15  10   9  13   7   9   8   8   7 103
1962     9  13   9   9  12   8  13   5   8  12   5   5 108
1963    10   7  11  12   8   2  12   7   6   5   7   7  94
1964     3   6  12  13   9  10  12   6  12   2   6  10 101
1965    11   8  12  14  11   7   8  11  15   6   7   7 117
1966     3   4  10  10  11   9   9   2   4   7   6   8  83
1967     6   4   7  11  11  10   8   9   8  12   6  13 105
1968     9   3   4  10  14   9  10   6  15   7   6  10 103
1969     8   3   7  11  11  14  13   4   9  10   3   7 100
1970     6   5  11  12  13  10   9   8  13   9  10   5 111
1971     3   9   7   6   9   6  14   7   8   8   9   8  94
1972     4   8  10  13  10  11  14  10  11  11   9   5 116
1973     9   8  16  11  16  13  13   8  15   7   9   9 134
1974    11   3  11  10  14  10   4  14   6   9   8  11 111
1975    10   7  11  13  10  14   5  13   9   2  15   4 113
1976     5   6   8  11  11   9   9   6   6   5   1   4  81
1977     8   4  14  10   6  10   9  15  13  11   8  10 118
1978     7   8   7  16  10  10  12   8   7  11  11   9 116
1979    11   6  11  15   8  12  11  12   2   9   9   3 109
1980    10   9   9  11  12   9   9  14  11   6   4   6 110
1981     2   6   4  13  13  11  10  11   5  12  13   7 107
1982    13   3  11   9  19  12  11   8  11   9   8  10 124
1983     7   6   9  12  19  10   8   6  10  12  10  14 123
1984     5   7  10  13   8  12  11   4   7  15   4  13 109
1985    10   7   9   8  12  14   9  10   9  13  15   8 124
1986     5  10   8   9  14  10  11   7  13  10   6   5 108
1987     5   1  12   8  11   9   4   7   9   6  12  12  96
1988     5   7   5  12   6   7   6   9   6   8  12   6  89
1989     8   6   6   9  12  10   8  13   8   7   2   7  96
1990     6   7  12  16  14  15  12  11   5   8   9   6 121
1991     5   3  10  12  16   8   2   7   9  13  12   5 102
1992     8   7  10  12   7   7  15   6  14   6  15  10 117
1993    10   9   9  11  15  14  17  13  11   5   7   8 129
1994     8   8   2  11   9  12   9  11   8   5  10   5  98
1995     5   2   9  13  14  10   7   7   7  13   8   3  98
1996    10   3   6   8  17  13   6   5   6   9   9  10 102
1997     9   8   8  10  12   9   7   8   9   8   6  10 104
1998     8  10  11  13  13  16   7  12   6  11   6   4 117
1999    11   7   6  15  10  12   8   9   4   2   3  12  99
2000    10   5   7  11  16  17  14  10  12   8   9  15 134
2001    12   8  10  11  17  10   6   7   9  10   9   7 116
2002     8   7  13  16  10   9   7   9   6  16   8   3 112
2003    12   8  10  13  14  11  10   7   9   5  13  10 122
2004    10   9  20   9  16  13  12  11   4  15  14  10 143
2005    16  10  12  11  11   9   8   0   0   0   0   0  77
STDDEV   3   3   3   2   3   3   3   3   3   4   3   3  13
AVG      8   6   9  11  12  11  10   9   8   8   8   8 107
