# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA4142] IOWA-FALLS
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN   0.01-    0.26-    0.51-     1.01-            # OF DAYS
 WK    TIME PERIOD    VAL   RAIN     0.25     0.50     1.00     2.00    >2.01 MISSING TOTAL
  1 3/1-->3/7        1.06   0.27   47(59)   21(26)   11(14)    1( 1)    0( 0)    0       80
  2 3/8-->3/14       1.51   0.31   49(57)   19(22)   11(13)    7( 8)    0( 0)    0       86
  3 3/15-->3/21      1.07   0.25   51(61)   19(23)   12(14)    1( 1)    0( 0)    0       83
  4 3/22-->3/28      1.47   0.35   41(51)   22(27)   16(20)    2( 2)    0( 0)    0       81
  5 3/29-->4/4       1.64   0.31   60(59)   25(25)   11(11)    6( 6)    0( 0)    0      102
  6 4/5-->4/11       2.70   0.31   48(51)   31(33)   11(12)    3( 3)    1( 1)    0       94
  7 4/12-->4/18      3.72   0.39   58(52)   28(25)   16(14)    7( 6)    2( 2)    0      111
  8 4/19-->4/25      1.72   0.36   65(53)   30(24)   20(16)    8( 7)    0( 0)    0      123
  9 4/26-->5/2       2.31   0.42   61(48)   29(23)   22(17)   12(10)    2( 2)    0      126
 10 5/3-->5/9        2.58   0.36   72(56)   26(20)   19(15)   10( 8)    1( 1)    0      128
 11 5/10-->5/16      2.32   0.35   66(51)   35(27)   24(18)    3( 2)    2( 2)    0      130
 12 5/17-->5/23      3.27   0.43   67(55)   23(19)   20(17)    6( 5)    5( 4)    0      121
 13 5/24-->5/30      2.15   0.43   67(46)   33(22)   31(21)   15(10)    1( 1)    0      147
 14 5/31-->6/6       2.24   0.35   72(61)   19(16)   16(14)   10( 8)    1( 1)    0      118
 15 6/7-->6/13       3.10   0.52   69(49)   19(13)   29(21)   19(13)    5( 4)    0      141
 16 6/14-->6/20      2.55   0.49   63(48)   16(12)   34(26)   15(12)    2( 2)    0      130
 17 6/21-->6/27      4.35   0.56   57(50)   21(18)   17(15)   15(13)    5( 4)    0      115
 18 6/28-->7/4       3.08   0.48   51(51)   17(17)   15(15)   13(13)    4( 4)    0      100
 19 7/5-->7/11       4.25   0.63   39(36)   31(29)   12(11)   21(19)    5( 5)    0      108
 20 7/12-->7/18      4.25   0.57   40(42)   17(18)   21(22)   13(14)    5( 5)    0       96
 21 7/19-->7/25      2.38   0.39   60(56)   20(19)   17(16)    7( 6)    4( 4)    0      108
 22 7/26-->8/1       6.25   0.60   34(40)   19(22)   15(18)   14(16)    3( 4)    0       85
 23 8/2-->8/8        2.51   0.44   55(53)   17(17)   19(18)    9( 9)    3( 3)    0      103
 24 8/9-->8/15       3.90   0.46   46(51)   20(22)   15(16)    7( 8)    3( 3)    0       91
 25 8/16-->8/22      2.52   0.50   44(44)   21(21)   18(18)   12(12)    4( 4)    0       99
 26 8/23-->8/29      2.44   0.59   43(40)   20(19)   22(21)   19(18)    3( 3)    0      107
 27 8/30-->9/5       2.04   0.41   38(51)   18(24)   11(15)    7( 9)    1( 1)    0       75
 28 9/6-->9/12       3.62   0.50   38(49)   16(21)   10(13)   11(14)    2( 3)    0       77
 29 9/13-->9/19      3.55   0.48   52(51)   19(19)   16(16)   12(12)    3( 3)    0      102
 30 9/20-->9/26      2.23   0.40   55(53)   24(23)   12(12)   10(10)    2( 2)    0      103
 31 9/27-->10/3      1.46   0.34   45(49)   25(27)   15(16)    6( 7)    0( 0)    0       91
 32 10/4-->10/10     2.06   0.42   40(53)   15(20)   12(16)    8(11)    1( 1)    0       76
 33 10/11-->10/17    2.30   0.34   48(62)   14(18)   10(13)    3( 4)    3( 4)    0       78
 34 10/18-->10/24    2.12   0.36   42(55)   17(22)   11(14)    6( 8)    1( 1)    0       77
 35 10/25-->10/31    1.68   0.28   56(65)   12(14)   12(14)    6( 7)    0( 0)    0       86
 36 11/1-->11/7      2.00   0.38   44(61)    9(13)   11(15)    8(11)    0( 0)    0       72
 37 11/8-->11/14     1.36   0.23   51(74)    7(10)    9(13)    2( 3)    0( 0)    0       69
 38 11/15-->11/21    2.17   0.41   35(48)   14(19)   16(22)    7(10)    1( 1)    0       73
 39 11/22-->11/28    1.03   0.24   47(64)   16(22)    9(12)    1( 1)    0( 0)    0       73
 40 11/29-->12/5     1.10   0.24   44(67)   13(20)    7(11)    2( 3)    0( 0)    0       66
 41 12/6-->12/12     1.04   0.22   49(71)   10(14)    9(13)    1( 1)    0( 0)    0       69
 42 12/13-->12/19    0.70   0.16   48(77)   11(18)    3( 5)    0( 0)    0( 0)    0       62
 43 12/20-->12/26    0.55   0.15   59(81)   12(16)    2( 3)    0( 0)    0( 0)    0       73
 44 12/27-->1/2      1.86   0.23   41(73)    7(13)    6(11)    2( 4)    0( 0)    0       56
 45 1/3-->1/9        1.95   0.22   40(73)    9(16)    5( 9)    1( 2)    0( 0)    0       55
 46 1/10-->1/16      1.21   0.18   47(81)    6(10)    4( 7)    1( 2)    0( 0)    0       58
 47 1/17-->1/23      0.85   0.18   52(81)    6( 9)    6( 9)    0( 0)    0( 0)    0       64
 48 1/24-->1/30      0.90   0.16   59(81)    8(11)    6( 8)    0( 0)    0( 0)    0       73
 49 1/31-->2/6       0.73   0.18   40(75)    9(17)    4( 8)    0( 0)    0( 0)    0       53
 50 2/7-->2/13       1.10   0.23   34(71)    9(19)    4( 8)    1( 2)    0( 0)    0       48
 51 2/14-->2/20      1.21   0.22   54(79)    6( 9)    5( 7)    3( 4)    0( 0)    0       68
 52 2/21-->2/27      1.10   0.25   41(72)    7(12)    7(12)    2( 4)    0( 0)    0       57
 53 2/28-->2/29      0.55   0.19    4(80)    0( 0)    1(20)    0( 0)    0( 0)    0        5
ANNUAL TOTALS        6.25   0.38 2628(56)  917(19)  697(14)  355( 7)   75( 1)    0     4672
