# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA4228] JEFFERSON
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
#DAILY MEAN HIGHS AND LOWS FOR STATION NUMBER  ia4228
    JAN     FEB    MARCH   APRIL    MAY     JUNE    JULY    AUG     SEPT    OCT     NOV     DEC
DY  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1  29  12  31  11  41  20  56  33  69  42  77  54  85  62  85  62  81  58  74  46  55  35  39  22
  2  30  13  29  10  41  22  57  34  70  44  77  53  85  63  86  63  82  58  73  46  54  33  40  23
  3  28  10  29  10  40  21  56  32  69  45  78  53  85  62  85  63  82  59  71  45  53  33  40  21
  4  27   9  31  12  40  21  54  31  71  47  79  55  86  64  84  62  81  57  69  44  51  31  39  20
  5  28   8  31  13  40  21  56  31  72  48  81  57  85  62  83  62  80  55  69  44  51  30  40  21
  6  27   9  31  12  41  19  60  33  70  46  80  57  85  62  84  62  80  56  67  43  51  31  35  17
  7  25   6  30  12  40  19  60  35  70  46  81  58  87  62  84  62  82  57  67  41  52  30  35  18
  8  27   8  31  12  41  21  57  35  72  47  81  57  86  64  85  62  80  56  67  43  51  30  33  16
  9  26   8  33  12  42  21  57  33  71  47  80  58  86  63  84  61  79  56  66  41  50  29  33  15
 10  26   7  33  15  43  23  58  34  73  46  81  58  85  63  85  61  78  53  67  40  50  28  35  15
 11  28   9  32  13  44  25  60  36  73  49  81  59  85  64  82  59  80  53  68  42  49  29  33  16
 12  29  11  33  14  43  25  58  35  72  47  82  60  87  65  83  60  79  53  68  42  49  28  33  15
 13  30  10  35  15  44  25  59  36  71  46  83  59  87  64  84  61  78  53  68  43  49  29  32  14
 14  29  11  35  16  46  25  61  37  73  49  82  60  87  64  83  61  75  52  68  44  49  29  33  15
 15  28   9  33  15  44  24  63  37  74  49  81  59  86  63  84  60  75  50  67  42  49  29  32  14
 16  28   8  35  14  45  25  63  38  75  51  81  59  87  63  84  61  74  50  66  41  49  29  33  14
 17  28  10  36  15  46  26  64  39  76  52  81  60  87  64  85  61  75  51  65  41  49  29  32  14
 18  29  11  37  20  46  27  65  39  75  52  83  60  88  66  84  61  76  52  62  38  47  29  32  13
 19  28   9  37  18  46  27  65  41  76  51  84  60  87  66  83  61  76  52  62  37  47  27  32  14
 20  27   8  37  18  47  27  65  42  77  50  83  60  86  65  82  60  73  51  63  38  45  26  29  12
 21  29  10  38  17  47  25  65  41  76  51  83  60  86  63  83  60  72  48  64  39  44  24  30  13
 22  31  12  36  18  50  26  65  40  75  53  83  60  85  64  84  60  72  47  65  40  45  25  30  14
 23  31  10  38  19  50  27  66  40  75  52  83  60  86  63  82  60  69  45  61  39  43  25  30  14
 24  30  10  37  18  49  27  67  41  75  51  84  60  86  63  83  59  71  46  61  38  44  23  31  12
 25  28  11  39  18  49  28  69  42  75  52  85  61  86  63  84  59  73  47  61  37  43  24  30  12
 26  26   8  41  19  50  28  68  43  74  53  85  62  86  63  84  61  74  46  61  37  41  23  31  13
 27  27   9  40  22  55  30  68  44  74  53  85  62  86  64  84  62  73  47  60  38  38  21  31  15
 28  28   9  40  21  55  32  67  42  75  53  86  62  86  63  83  59  73  46  59  35  36  18  32  15
 29  29   8  43  18  50  31  68  43  76  54  85  63  85  62  84  60  73  46  59  35  37  20  32  13
 30  30   9 *** ***  54  31  68  43  77  54  85  62  86  63  83  61  74  46  58  37  38  20  30  11
 31  31  10 *** ***  56  32 *** ***  77  54 *** ***  86  62  82  59 *** ***  57  36 *** ***  29  12
