# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA4228] JEFFERSON
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# LENGTH OF SEASON FOR STATION NUMBER  ia4228   BASE TEMP=28
 LAST SPRING OCCURENCE FIRST FALL OCCURENCE  LENGTH OF SEASON
   YEAR MONTH DAY DOY         MONTH DAY DOY
   1951   4    17 107          10    24 297          190
   1952   4    11 102          10     6 280          178
   1953   4    20 110          10    27 300          190
   1954   4    12 102          10    31 304          202
   1955   3    29  88          10    24 297          209
   1956   4    30 121          11     8 313          192
   1957   4    14 104          10    19 292          188
   1958   4    29 119          11     2 306          187
   1959   4    13 103          10    12 285          182
   1960   4    10 101          10    19 293          192
   1961   5     2 122          10    20 293          171
   1962   4    17 107          10    24 297          190
   1963   4    24 114          10    29 302          188
   1964   4     9 100          10     9 283          183
   1965   4    16 106          10    24 297          191
   1966   5    10 130          10    17 290          160
   1967   5     3 123          10    11 284          161
   1968   4     5  96          10    25 299          203
   1969   4     6  96          10    14 287          191
   1970   4     4  94          10    16 289          195
   1971   4    14 104          10    31 304          200
   1972   4     8  99          10    15 289          190
   1973   4    13 103          11     4 308          205
   1974   4     8  98          10     2 275          177
   1975   4    12 102          10     2 275          173
   1976   5     7 128          10     6 280          152
   1977   4     6  96          10    16 289          193
   1978   5     2 122          10    28 301          179
   1979   4    15 105          10    13 286          181
   1980   4    14 105          10     4 278          173
   1981   4    15 105          10     2 275          170
   1982   4    11 101          10    21 294          193
   1983   4    19 109          11    11 315          206
   1984   4     1  92          10    23 297          205
   1985   4     9  99          10     2 275          176
   1986   4    22 112          10    14 287          175
   1987   4     6  96          10     3 276          180
   1988   4    24 115          10     5 279          164
   1989   4    15 105          10    19 292          187
   1990   4    17 107          10    10 283          176
   1991   4    10 100          10     7 280          180
   1992   4    13 104          10    17 291          187
   1993   4     5  95          10    10 283          188
   1994   4     7  97          10    26 299          202
   1995   4     4  94          10    22 295          201
   1996   4    23 114          10    30 304          190
   1997   4    17 107          10    22 295          188
   1998   3    25  84          11     5 309          225
   1999   3    27  86          10     4 277          191
   2000   4    12 103          10     6 280          177
   2001   3    28  87          10    17 290          203
   2002   4    10 100          10    17 290          190
   2003   4    10 100          10     2 275          175
   2004   4    14 105          11     3 308          203
             MEAN=104              MEAN=291     MEAN=187
