# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA4228] JEFFERSON
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 NUMBER OF RAINY DAYS PER MONTH PER YEAR
YEAR   JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC ANN   
1951     3   7   8  14   8   7   9  12   6   9   2   5  90
1952     5   4  10   8   8  11   7  10   4   1   0   2  70
1953     5   6   9  10  10   9   6   6   5   4   4   5  79
1954     2   4   8  11   7  13   9  16   9  12   2   5  98
1955     5   6   6   9  10   7   7   5   7   4   3   4  73
1956     5   2   4   6   8   9   9  13   6   4   7   3  76
1957     5   2   6   8  11  13   8  10  11   8   5   6  93
1958     6   2   4  10   8  14  14   8   8   2   4   1  81
1959     5   5   8   7  14   4   5   7  11   5   6   5  82
1960     5   6   8  10   9  12   7   8   6   3   2   4  80
1961     3   5  10   6   7  11  15   7  10   6   3   6  89
1962     3   7   8   7   8   9  10   8   6   7   1   2  76
1963     5   5   0  10   7  10   8  10   7   8   4   3  77
1964     3   5   7  10  10   9  13  11   8   2   5   7  90
1965     5   4  10   0  12  11  10  11  15   0   5   3  86
1966     6   2   7   6   3   7   0   0   0   0   0   0  31
1967     3   2   4   8   7  17   5   9   6   7   1   4  73
1968     4   4   3  10  11   8   9   9  13   8   6   9  94
1969    14   5   7  10  15  13  13   5   9  13   3   7 114
1970     7   4   7   7   9  11   7   8  14   9   9   7  99
1971     4   8   4   8  11   8  11   3   6  10   9   6  88
1972     3   9   8  10  14  11  11   9  12   9   9   8 113
1973     7   6  14  10  12   7  13   6  15   8   8   8 114
1974    11   5   6   7  16   9   5  12   7   8   8   9 103
1975    10   7   9  12  12  15   2   9   7   2   8   2  95
1976     1   5   8   6   6   9   4   4   3   4   0   4  54
1977     4   4   9   8   9   6  10  13  11  10   8   7  99
1978     3   6   5  13   8   6  13   9   5   5   5   8  86
1979     8   3  10   8   9  11   8   7   5   5   6   1  81
1980     8   4   4   3   9   8   8  14   6   4   1   3  72
1981     1   5   4   7   7   8   8  10   5   9   7   8  79
1982     9   2  11   8  16   5   8   6   7   8   6   7  93
1983     4   5  10   9  15   9   6   5   5   8  10   5  91
1984     4   3   7  13  10  12   7   5   7  10   6   5  89
1985     3   4   6   7   8   6   7  11  11   7   5   5  80
1986     1   4   4  12  13  10   5   7  14   9   5   3  87
1987     2   0   8   6  10   8  11  14   8   4   6   8  85
1988     2   2   2   9   6   5   5   5  10   3   6   2  57
1989     3   6   3   5   8   7   5   4   6   5   1   3  56
1990     3   3   8   6   9  12  10   7   4   6   4   3  75
1991     4   1  10  12  12   6   5   6   5   5  10   5  81
1992     7   3   7   8   5   4  14   5  11   2   7   9  82
1993     6   7   7  11  15  17  15  15   9   4   4   7 117
1994     5   5   2   8   7  12   5   9   6   5   7   4  75
1995     4   3   7  13  10  11   8  10  10   9   5   4  94
1996     9   2   6   4  15  14   9   9   5   5  11   6  95
1997     6   3   6  10  10   8   6   7   6   7   7   9  85
1998     5  10  14  12  11  18   9  11   5  14   5   3 117
1999     9   8   6  18  15  14  13   8   5   2   4   7 109
2000     5   9   6   5   9  12  12   8   7  10   7  14 104
2001    12   8   4  11  19  11  10   7   9   8   5   7 111
2002     7   6  10  15  12   7  10  10   8  17   5   3 110
2003    10   8  12  11  13  12   8   5   6   7   8   8 108
2004    10  10  14   5  15  14  12   8   5  12  10   7 122
2005    12  12  10  12  12  17   6   0   0   0   0   0  81
STDDEV   3   2   3   3   3   3   3   3   3   4   3   3  17
AVG      5   5   7   9  10  10   9   8   7   6   5   5  88
