# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA4389] KEOSAUQUA
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# LENGTH OF SEASON FOR STATION NUMBER  ia4389   BASE TEMP=28
 LAST SPRING OCCURENCE FIRST FALL OCCURENCE  LENGTH OF SEASON
   YEAR MONTH DAY DOY         MONTH DAY DOY
   1951   4    17 107          11     1 305          198
   1952   4    11 102          10     6 280          178
   1953   4    20 110          10    29 302          192
   1954   4     4  94          10    30 303          209
   1955   3    29  88          10    31 304          216
   1956   4    24 115          11     9 314          199
   1957   4    14 104          10    20 293          189
   1958   4    29 119          10    30 303          184
   1959   4    13 103          11     5 309          206
   1960   4    10 101          10    20 294          193
   1961   4    16 106          11     3 307          201
   1962   4    16 106          10    26 299          193
   1963   3    22  81          11     2 306          225
   1964   4     9 100          10    10 284          184
   1965   3    31  90          10    25 298          208
   1966   4    10 100          10    25 298          198
   1967   4    24 114          10    11 284          170
   1968   3    24  84          10    25 299          215
   1969   3    31  90          10    27 300          210
   1970   4     3  93          10    16 289          196
   1971   4     7  97          11     4 308          211
   1972   4     8  99          10    15 289          190
   1973   4    11 101          11     5 309          208
   1974   4    24 114          10     2 275          161
   1975   4     5  95          10    16 289          194
   1976   4    12 103          10     8 282          179
   1977   4     6  96          10    13 286          190
   1978   3    27  86          11     7 311          225
   1979   4     6  96          10     5 278          182
   1980   5     9 130          10    12 286          156
   1981   4     6  96          10    19 292          196
   1982   4    21 111          10    21 294          183
   1983   4    20 110           9    23 266          156
   1984   4     1  92           9    29 273          181
   1985   4     9  99          11     4 308          209
   1986   4    22 112          10    14 287          175
   1987   4     7  97          10     3 276          179
   1988   4    24 115          10     6 280          165
   1989   4    13 103          11     2 306          203
   1990   4    18 108          10    19 292          184
   1991   3    30  89          10    19 292          203
   1992   4     2  93          10    17 291          198
   1993   4    17 107          10    30 303          196
   1994   4     7  97          10    26 299          202
   1995   4     5  95          11     3 307          212
   1996   4    10 101          11     1 306          205
   1997   4    17 107          10    22 295          188
   1998   3    24  83          11     5 309          226
   1999   3    27  86          10    18 291          205
   2000   4    12 103          10     7 281          178
   2001   4    18 108          10    17 290          182
   2002   4     5  95          10    16 289          194
   2003   4    10 100          10     2 275          175
   2004   4    13 104          11    12 317          213
             MEAN=100              MEAN=294     MEAN=194
