# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA4389] KEOSAUQUA
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE MONTHLY PRECIP TOTALS 1951-2006 FOR STATION # ia4389
 YEAR   JAN   FEB  MARCH APRIL  MAY  JUNE  JULY AUGUST SEPT   OCT   NOV   DEC   ANN
 1951  1.13  2.73  4.36  2.85  5.78  7.57  4.39  8.31  1.07  4.26  1.38  0.95 44.78
 1952  0.75  0.87  3.49  3.51  3.90  6.84  3.13  7.17  2.25  0.08  2.33  2.16 36.48
 1953  1.22  2.61  4.82  1.93  1.73  4.64  1.70  0.84  1.26  1.43  0.45  2.24 24.87
 1954  0.19  1.33  2.87  7.55  2.63  4.84  2.11  5.38  1.38  7.62  0.42  2.02 38.34
 1955  2.79  1.28  0.78  2.53  4.16  3.75  1.43  2.20  2.88  2.73  0.52  0.14 25.19
 1956  0.49  1.33  0.37  1.72  1.15  3.32  4.05  6.30  0.99  0.76  1.13  1.31 22.92
 1957  1.24  0.63  2.32  4.54  4.32  4.08  4.90  2.06  3.06  4.31  3.08  3.27 37.81
 1958  1.30  0.44  0.33  2.59  3.57  6.47  8.80  3.86  3.79  1.50  2.97  0.47 36.09
 1959  1.20  1.46  3.32  3.87  6.34  2.48  3.00  8.81  9.43  5.19  0.51  2.33 47.94
 1960  2.78  1.87  1.80  4.96  5.92  6.96  2.78  2.83  1.25  3.30  0.41  0.40 35.26
 1961  0.42  1.87  4.43  1.96  1.79  0.56  6.41  1.16 13.41  4.12  3.95  1.53 41.61
 1962  2.14  1.75  1.95  1.53  6.03  2.38  5.14  2.44  3.35  5.18  1.11  0.58 33.58
 1963  0.97  0.48  4.12  1.81  2.16  0.24  6.28  4.21  2.17  1.28  2.23  0.44 26.39
 1964  0.83  0.53  1.97  5.90  1.20  5.04  3.40  1.67  4.42  0.03  1.76  0.95 27.70
 1965  3.86  0.80  3.09  5.97  2.36  1.97  4.29  6.71  8.15  0.64  1.80  2.68 42.32
 1966  1.14  0.46  1.26  4.27  4.37  4.16  1.96  0.94  4.27  2.84  0.55  1.66 27.88
 1967  2.30  0.61  2.12  5.75  3.01  4.49  8.31  1.30  2.65  8.62  1.43  1.54 42.13
 1968  0.42  0.61  2.17  4.05  3.71  3.05  4.44  1.82  6.05  1.55  3.15  2.16 33.18
 1969  3.05  1.10  1.18  3.13  3.36  5.32  6.64  2.47  2.60  5.77  0.07  1.64 36.33
 1970  0.34  0.21  2.06  3.13  4.54  2.81  2.22 12.59  8.95  3.66  1.29  2.55 44.35
 1971  1.65  1.27  0.82  0.74  2.49  2.36  3.26  0.88  4.20  3.58  2.36  4.52 28.13
 1972  0.76  0.90  2.67  4.24  3.29  3.92  4.72  2.16  3.39  2.37  2.49  1.81 32.72
 1973  2.30  1.33  5.76 12.44  8.55  2.65  7.74  3.62 11.66  3.04  1.23  2.55 62.87
