# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA4502] KNOXVILLE
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
#DAILY MEAN HIGHS AND LOWS FOR STATION NUMBER  ia4502
    JAN     FEB    MARCH   APRIL    MAY     JUNE    JULY    AUG     SEPT    OCT     NOV     DEC
DY  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1  30  14  33  14  43  23  56  35  69  45  76  55  85  64  86  63  82  60  73  49  57  38  41  25
  2  31  15  30  12  42  24  56  36  70  46  76  54  85  64  87  64  82  61  72  48  55  36  42  25
  3  31  14  30  12  42  24  57  34  69  47  77  54  85  63  86  65  82  60  71  47  53  35  42  24
  4  29  12  33  14  42  22  54  34  70  48  78  56  85  65  85  64  82  59  69  46  51  34  41  24
  5  29  11  33  15  41  23  56  34  71  49  81  58  85  63  83  63  80  58  68  47  51  33  42  24
  6  30  11  32  14  42  22  60  36  70  48  80  59  86  63  84  64  80  58  67  46  51  33  37  20
  7  27   9  32  14  41  21  61  37  70  48  81  59  87  64  85  63  82  59  66  43  52  32  37  21
  8  28  10  33  15  43  23  58  37  71  49  80  59  86  65  85  64  81  58  67  44  52  32  36  19
  9  28  10  33  15  44  24  57  35  71  49  80  59  86  65  84  63  80  58  66  43  51  32  35  19
 10  27   9  35  17  45  25  58  36  72  48  81  59  86  64  86  63  79  55  66  42  51  30  36  18
 11  29  11  34  15  46  27  60  38  72  50  81  60  87  65  83  61  79  55  68  45  50  32  35  18
 12  31  14  35  16  46  27  58  38  72  49  83  61  87  66  83  61  80  55  68  45  49  30  35  17
 13  32  13  36  17  45  27  60  37  72  49  83  61  87  65  84  62  77  55  68  45  51  32  34  16
 14  31  14  37  19  47  27  60  39  72  51  82  61  87  66  84  63  75  53  68  46  50  32  34  17
 15  30  11  35  18  46  26  63  40  74  50  81  60  87  64  84  62  74  52  67  45  51  32  34  17
 16  30  10  36  16  47  26  64  41  74  52  81  60  87  65  84  62  73  52  67  43  51  32  35  17
 17  30  12  38  18  47  27  64  41  75  53  82  60  88  66  86  63  75  53  66  43  50  32  33  16
 18  30  13  39  22  48  28  66  43  75  53  82  61  88  67  85  63  76  54  62  40  50  31  33  16
 19  30  12  38  21  48  29  65  43  75  52  84  61  88  67  84  63  76  53  61  39  49  29  34  17
 20  28  10  40  21  49  29  64  44  76  53  83  61  87  66  83  62  75  52  63  40  47  28  31  15
 21  30  12  39  20  47  27  65  42  76  53  82  61  86  66  83  62  73  50  65  42  46  26  31  14
 22  32  14  38  19  51  29  65  42  75  54  83  61  86  66  84  62  72  49  66  42  48  27  32  16
 23  32  12  39  22  51  29  65  43  74  53  83  61  86  65  83  62  69  48  62  41  45  27  33  15
 24  31  12  39  20  50  29  67  43  75  53  84  62  86  64  83  61  71  48  61  39  45  26  33  14
 25  30  13  41  21  50  29  68  45  75  54  85  62  87  65  84  61  72  49  60  40  44  26  31  14
 26  29  11  42  22  51  29  69  46  73  54  85  63  86  65  84  62  73  48  62  39  44  26  32  15
 27  28  10  42  23  55  32  68  47  75  54  85  63  86  65  85  63  72  48  60  39  41  24  33  17
 28  30  10  42  23  56  34  66  44  75  54  87  64  86  65  84  61  73  49  59  37  38  21  34  17
 29  30  11  45  20  52  32  67  45  76  55  86  64  86  64  85  62  72  49  59  37  39  23  33  16
 30  31  10 *** ***  54  33  68  46  77  56  85  64  86  64  85  62  73  49  59  39  41  22  32  15
 31  34  12 *** ***  56  34 *** ***  78  56 *** ***  86  64  82  61 *** ***  58  39 *** ***  31  15
