# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA4502] KNOXVILLE
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# LENGTH OF SEASON FOR STATION NUMBER  ia4502   BASE TEMP=26
 LAST SPRING OCCURENCE FIRST FALL OCCURENCE  LENGTH OF SEASON
   YEAR MONTH DAY DOY         MONTH DAY DOY
   1951   4    17 107          10    31 304          197
   1952   4    11 102          10     6 280          178
   1953   4    20 110          10    27 300          190
   1954   4     4  94          10    31 304          210
   1955   3    28  87          11     3 307          220
   1956   4    24 115          11     9 314          199
   1957   4    14 104          10    25 298          194
   1958   4    29 119          11     6 310          191
   1959   3    22  81          10    12 285          204
   1960   4    10 101          10    20 294          193
   1961   4    16 106          11     3 307          201
   1962   4    15 105          10    25 298          193
   1963   3    22  81          11     2 306          225
   1964   4     4  95          10     9 283          188
   1965   3    30  89          10    24 297          208
   1966   4    21 111          10    30 303          192
   1967   4    24 114          10    28 301          187
   1968   4     5  96          11     8 313          217
   1969   3    31  90          10    27 300          210
   1970   4     4  94          11    15 319          225
   1971   4     6  96          11     6 310          214
   1972   4     8  99          10    19 293          194
   1973   4    13 103          11     5 309          206
   1974   3    25  84          10     7 280          196
   1975   4     4  94          11    13 317          223
   1976   3    22  82          10     8 282          200
   1977   4     6  96          11    10 314          218
   1978   3    25  84          11    14 318          234
   1979   4     6  96          10    13 286          190
   1980   4    15 106          10    26 300          194
   1981   3    20  79          10    23 296          217
   1982   4     9  99          11     4 308          209
   1983   4    18 108          11    23 327          219
   1984   3    23  83          11     2 307          224
   1985   4     9  99          11    19 323          224
   1986   3    21  80          11    10 314          234
   1987   4     3  93          10    11 284          191
   1988   4    19 110          10    28 302          192
   1989   4    12 102          10    20 293          191
   1990   4    12 102          11     7 311          209
   1991   3    30  89          10    19 292          203
   1992   4    12 103          11     6 311          208
   1993   4     2  92          10    30 303          211
   1994   4     6  96          10    26 299          203
   1995   4     4  94          11     2 306          212
   1996   4     6  97          11     1 306          209
   1997   4    17 107          10    23 296          189
   1998   3    25  84          11     6 310          226
   1999   3    26  85          10    24 297          212
   2000   4     9 100          10     7 281          181
   2001   3    28  87          10    27 300          213
   2002   4     5  95          10    17 290          195
   2003   4    10 100          11     6 310          210
   2004   3    23  83          11    12 317          234
             MEAN= 96              MEAN=302     MEAN=206
