# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA4502] KNOXVILLE
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 NUMBER OF RAINY DAYS PER MONTH PER YEAR
YEAR   JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC ANN   
1951     4   8  13  14  10  15   9   9   6   9   3   5 105
1952     6   6  11   6  11   8   6  10   4   0   4   5  77
1953     5   8  14  10   8  10   8   4   2   4   2   8  83
1954     2   3  10  12  10  13   5  13   5   8   2   6  89
1955     7   7   7   9  13   7   5   7   7   7   4   5  85
1956     4   6   5   6  10  10  11  13   5   4  10   6  90
1957     8   5   5  10  11  16   7  10   7   5   7   6  97
1958     6   3   4   9   9  11  14   8  12   1   6   2  85
1959     6   6  10   9  15   5   7   9  10  10   5   8 100
1960     7   9  12  12  11  13   5   8   6   7   3   4  97
1961     6   7  10   6   9   7  13   7  10   7   6   6  94
1962     7   9  10  11   7   4  12   7   4  10   4   3  88
1963     9   7   8  10   9   5   9   9   7   5   2   3  83
1964     2   4   6  12  10  10   8   9  11   3   6   5  86
1965     8   8   9  12   9  11   7  11  17   3   6   6 107
1966     3   2  10   8  10  10   7   6   5   6   3   5  75
1967     4   4   5  12  11  15   4   6   7  12   3  13  96
1968     3   4   4  12  13   6   9  12  14   7   6  10 100
1969    10   4   5  10   8  13  11   5  12  12   0   5  95
1970     2   2   8  10   9   8   5   9  16   7   6   3  85
1971     0   7   3   6  11   7   9   4   7   9  10   7  80
1972     2   5   9  10  13   7  10   7   7   7   6   4  87
1973     4   5  11   9   7   9  12   7  12   8   4   8  96
1974     8   2   8   9  17  13   6  11   6  10   8   8 106
1975     9   7   8  11  11  13   4  12  10   1  10   2  98
1976     2   6   6   9   7   6   5   4   6   6   2   2  61
1977     5   2   9   0   9   6   8  12  12  10   9   9  91
1978     6   8   6  12  10  11  10   8   6   9   9   7 102
1979     9   4   8  11   6  13   9   7   4   4   6   2  83
1980     5   4   8   4   4  12   7  11   5   5   3   5  73
1981     0   6   4  10   7   7  12   9   5  10   8   6  84
1982     9   4   9   6  17   5  14   9   6   9   7   6 101
1983     5   9   9  10  14  11   2   5   6  10  12   8 101
1984     3   6   8  12   0   9  11   3   9  13   6   8  88
1985     4   8   7   4   8  10   6   7   8  10   7   7  86
1986     0   8   6  12  12   9  10   5  16   9   6   4  97
1987     3   1   9   7  11   9   7  13   7   3   6   3  79
1988     0   0   2   2   4   4   6   5   5   3   5   3  39
1989     5   6   4   7   7   8  10   9   7   7   2   4  76
1990     6   7  12   9  16  12  12   8   6   5   1   2  96
1991     7   2  10  16  14   7   4   9   6   9  13   7 104
1992     6   6   8  10   6   4  14   6  10   4  16  11 101
1993     7   8  12  13  14  11  17  15  10   6   5   5 123
1994     6   7   0  10   7  12   5   9   5   6  11   4  82
1995     6   5   4  12  11   9   7   5   9   4   4   3  79
1996     9   4   7   6  19  16   5   7   7   6  10   3  99
1997     6   6   4   9  12   8   4   8  11   7   5   9  89
1998     7  10  10  14  11  20   6  11   9  13   7   3 121
1999     6   7   5  13  16  11   8   7   7   3   3   6  92
2000     6   7   3  10  12  15  10   8   6   7   6  12 102
2001     9  12   9  11  21  11   8   7   8   9   3   6 114
2002     9   9  12  17  19  11  15   9   3  14   6   3 127
2003     8   7  10  14  16   8   7   6   6   6   9  11 108
2004     8  13  14   4  15  13  15  11   3  12  13   7 128
2005    13  11  10  10   9  11   6   0   0   0   0   0  70
STDDEV   3   3   3   3   4   3   3   3   3   3   3   3  16
AVG      6   6   8  10  11  10   8   8   8   7   6   6  92
