# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA4735] LEMARS
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
#DAILY MEAN HIGHS AND LOWS FOR STATION NUMBER  ia4735
    JAN     FEB    MARCH   APRIL    MAY     JUNE    JULY    AUG     SEPT    OCT     NOV     DEC
DY  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1  27   9  29   8  40  17  55  31  66  40  76  52  86  61  86  61  81  57  72  44  54  32  38  19
  2  28   9  27   7  39  20  54  31  70  41  76  51  85  61  86  62  81  57  72  43  52  31  37  19
  3  27   6  28   7  37  17  53  30  69  43  79  52  85  61  86  62  82  57  71  43  50  29  38  19
  4  25   5  30  10  37  17  53  28  70  44  79  55  86  62  84  61  80  56  68  41  49  27  38  18
  5  26   4  29  10  39  18  56  29  71  45  80  56  86  62  84  60  80  55  68  42  50  28  37  17
  6  26   7  30   9  40  18  59  31  69  44  81  56  86  61  84  62  80  55  67  41  50  28  34  15
  7  24   3  30  10  37  15  60  33  70  45  81  58  87  62  84  60  82  55  67  41  50  28  33  16
  8  25   4  29  10  38  18  56  32  71  44  82  56  87  63  85  61  81  55  68  41  50  26  31  14
  9  23   5  31  10  40  20  55  31  71  45  80  56  86  61  84  59  79  54  65  39  47  26  32  12
 10  24   3  31  12  41  20  58  32  72  46  81  57  86  62  84  59  80  52  66  39  49  26  33  13
 11  25   6  31  10  42  22  59  33  72  45  82  58  86  63  83  58  79  52  66  39  46  25  32  12
 12  27   8  31  11  42  22  57  34  71  46  83  58  87  64  83  60  78  52  69  41  45  24  31  12
 13  27   7  34  11  43  23  57  33  71  45  84  58  87  63  83  60  76  51  67  41  47  27  31  11
 14  28   7  33  13  44  23  59  34  73  47  83  59  87  62  84  59  74  49  67  40  47  25  31  11
 15  26   6  31  13  43  22  63  35  74  47  81  58  85  62  83  59  73  48  66  39  48  26  31  11
 16  26   4  32  11  43  22  63  37  75  49  82  57  87  62  84  60  73  49  65  38  47  25  31  10
 17  28   7  35  12  45  24  63  37  76  50  82  58  88  64  85  60  75  50  64  38  46  25  30  11
 18  27   7  35  15  45  25  63  36  75  51  82  59  88  63  84  60  76  51  61  36  44  25  31  10
 19  26   6  34  14  44  26  65  39  75  49  84  59  87  64  84  59  75  50  61  34  44  23  30  10
 20  25   5  34  15  45  24  65  40  76  49  83  59  86  63  83  59  72  48  62  36  43  24  27   8
 21  26   6  36  13  45  22  64  38  76  50  83  59  86  62  83  59  71  46  62  36  43  23  28   9
 22  28   8  36  14  47  25  64  38  75  51  83  58  85  62  83  60  71  44  63  39  42  22  29  11
 23  28   7  37  16  47  26  66  38  76  51  83  59  86  61  83  60  69  43  61  36  41  22  27  10
 24  29   9  36  15  47  25  66  38  76  50  85  59  86  62  83  59  70  44  60  35  41  20  27   8
 25  26   8  39  15  48  26  68  40  75  51  86  61  87  62  83  59  71  44  60  35  42  21  28   9
 26  24   5  39  17  48  26  68  41  74  52  85  61  87  62  85  60  75  45  60  33  38  20  29   9
 27  26   5  38  19  53  28  67  41  74  51  85  60  85  62  84  61  72  44  61  34  36  19  29  11
 28  26   7  37  19  53  29  65  39  76  52  87  62  85  62  83  59  72  44  57  32  34  16  30  13
 29  28   7  40  15  49  30  67  40  76  53  87  62  86  60  84  60  71  44  58  31  35  17  29  10
 30  27   6 *** ***  53  29  66  41  77  53  85  61  85  62  83  60  72  43  57  34  36  18  27   8
 31  29   6 *** ***  55  31 *** ***  77  52 *** ***  85  62  82  57 *** ***  55  33 *** ***  26   7
