# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA4735] LEMARS
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# LENGTH OF SEASON FOR STATION NUMBER  ia4735   BASE TEMP=30
 LAST SPRING OCCURENCE FIRST FALL OCCURENCE  LENGTH OF SEASON
   YEAR MONTH DAY DOY         MONTH DAY DOY
   1951   4    22 112           9    28 271          159
   1952   4    16 107          10     4 278          171
   1953   4    20 110          10     4 277          167
   1954   5     7 127          10    16 289          162
   1955   4     7  97          10    15 288          191
   1956   4    30 121           9    30 274          153
   1957   5     5 125          10    18 291          166
   1958   4    29 119           9    28 271          152
   1959   5    15 135          10    11 284          149
   1960   5    12 133          10    16 290          157
   1961   5     9 129           9    25 268          139
   1962   4    23 113           9    20 263          150
   1963   5    23 143          10    28 301          158
   1964   4    22 113          10     9 283          170
   1965   4    28 118           9    24 267          149
   1966   5     9 129          10     1 274          145
   1967   5     9 129           9    24 267          138
   1968   5    12 133          10     4 278          145
   1969   5    12 132          10     8 281          149
   1970   5     2 122          10    10 283          161
   1971   5    12 132           9    17 260          128
   1972   4    25 116           9    30 274          158
   1973   5    17 137          10    29 302          165
   1974   4    16 106           9    22 265          159
   1975   4    20 110          10    16 289          179
   1976   5     7 128          10     6 280          152
   1977   4     6  96          10     6 279          183
   1978   5     2 122          10     7 280          158
   1979   5     4 124          10    13 286          162
   1980   5     8 129          10     3 277          148
   1981   5    10 130          10     2 275          145
   1982   4    27 117          10    16 289          172
   1983   5    15 135           9    21 264          129
   1984   4     6  97           9    26 270          173
   1985   4     9  99          10    10 283          184
   1986   4    22 112          10    13 286          174
   1987   4     6  96          10     3 276          180
   1988   4    19 110          10     4 278          168
   1989   5     6 126           9    23 266          140
   1990   5     2 122          10    10 283          161
   1991   4    11 101           9    19 262          161
   1992   4    28 119          10    11 285          166
   1993   4    22 112          10     9 282          170
   1994   5     1 121          10    25 298          177
   1995   4    27 117           9    22 265          148
   1996   4    30 121          10     3 277          156
   1997   5    15 135          10    20 293          158
   1998   4    17 107          11     4 308          201
   1999   4    19 109           9    21 264          155
   2000   4    15 106          10     6 280          174
   2001   4    18 108          10     6 279          171
   2002   5     2 122          10    13 286          164
   2003   4    10 100          10     1 274          174
   2004   5     2 123          10     2 276          153
             MEAN=118              MEAN=279     MEAN=161
