# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA4735] LEMARS
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE MONTHLY HEATING DEGREE DAYS 1951-2006 FOR STATION # ia4735
 YEAR    JAN    FEB  MARCH  APRIL    MAY   JUNE   JULY AUGUST   SEPT   OCT   NOV   DEC
 1951   1460   1054   1196    620    125     65     14      8    201    453   1008   1436
 1952   1459    987   1074    466    175      5      3      2     91    532    834   1268
 1953   1383   1101    844    629    202     20      2      3    106    274    744   1172
 1954   1536    774   1058    418    312     45      0      2     89    497    717   1171
 1955   1353   1336   1008    258     77     48      0      2     96    358   1111   1465
 1956   1526   1326    975    583    168     14      2     14    106    229    869   1152
 1957   1629   1051    954    524    235     27      0     10    152    495    874   1045
 1958   1263   1325    996    515    124     59      9     22    105    371    844   1414
 1959   1602   1360    900    495    178     20      7      1    185    551   1166   1031
 1960   1512   1395   1446    491    207     27      5      4    149    437    811   1298
 1961   1471   1117    900    655    296     36      2      4    212    407    936   1503
 1962   1604   1261   1245    561     89     35     10      6    214    370    754   1266
 1963   1772   1227    783    398    195      5      0     15     63    175    740   1599
 1964   1264   1106   1101    444    109     24      0     50    174    463    868   1481
 1965   1527   1345   1316    496    102     10      0     24    293    361    888   1063
 1966   1726   1223    804    625    246     34      0     24    170    446    953   1352
 1967   1448   1270    788    459    344     25     27     27    138    519    913   1232
 1968   1466   1289    712    420    299     26     12     14    123    407    907   1444
 1969   1686   1214   1313    445    168     86      0      0     85    572    842   1379
 1970   1778   1143   1113    516    142     28     10      0    167    525    898   1400
 1971   1649   1207    988    454    230      5     15     13    142    313    885   1334
 1972   1612   1458    924    533    188     16     19     13    157    514    923   1509
 1973   1395   1133    734    485    185      3      1      0     98    259    844   1355
 1974   1451   1008    796    398    174     40      0     11    167    317    821   1216
 1975   1412   1273   1140    615     97     20      3      0    174    304    811   1232
 1976   1371    907    851    307    175      5      0      0     91    570   1021   1371
 1977   1736   1012    749    276     12      0      0      5     58    426    916   1377
 1978   1833   1487    961    471    173     25      1      6     40    399    929   1427
 1979   1839   1523   1047    545    218     18      0     10     50    398    926   1041
 1980   1335   1271    934    409    135      8      0      1     59    449    712   1252
 1981   1216   1008    727    250    171      2      6      4     63    447    731   1350
 1982   1790   1240    952    543    104     31      0      9    102    364    912   1166
 1983   1295   1024    909    644    243     24      0      0    110    388    845   1850
 1984   1386    994   1128    547    222      8      2      6    187    415    819   1278
 1985   1512   1197    736    342     92     50      2     22    214    447   1219   1648
 1986   1209   1195    749    417    136      3      0     30     90    403   1003   1198
 1987   1200    825    759    340     76      7      3     47     84    544    719   1149
 1988   1555   1316    783    468     32      2      0     11     66    567    881   1288
 1989   1192   1493   1033    503    195     44      0     11    184    442   1007   1666
 1990   1181   1170    863    572    273     43      8      5    114    526    821   1471
 1991   1624    984    879    453    201      8      4      3    190    543   1202   1224
 1992   1171    973    852    667    190     35     28     57    171    480    997   1335
 1993   1565   1363   1105    630    250     70      0     18    263    533   1060   1330
 1994   1761   1465    866    563    184     10     10     25    102    393    822   1305
 1995   1497   1129    981    665    309     53     11      6    219    507   1091   1260
 1996   1618   1226   1172    650    317     36      3      4    221    452   1166   1594
 1997   1691   1219    953    675    383      1     10     24    107    437   1038   1172
 1998   1372    884   1112    506     90     93      0      0     48    363    793   1160
 1999   1530    964    916    498    161     73      4      6    172    470    644   1174
 2000   1400   1005    732    484    134     48     18      3    150    370   1120   1751
 2001   1408   1433   1154    474    182     42      4      6    156    463    541   1145
 2002   1218   1054   1209    515    319     14      4     18    136    664    945   1167
 2003   1462   1283    981    473    243     53      1      5    203    422    971   1209
 2004   1543   1351    816    467    247     59     15     58     66    430    764   1230
 2005   1523    986    953    396    255      0      4      0      0      0      0      0
 MEAN   1491   1181    963    496    189     29      5     12    137    434    900   1322
