# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA4735] LEMARS
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia4735
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     0     1    18     5     0    24        0     1    70    19     0    90
 1952     3    16    15     6     8    48       12   102    69    19    28   230
 1953     3    16    17    14     4    54        9   107    83    80    25   304
 1954     1    11    23     7     6    48        3    50   163    16    15   247
 1955     5     7    28    26    10    76       19    26   234   275    70   624
 1956     6    21    18    21    11    77       19   199    90   123    60   491
 1957     0     5    24    12     2    43        0    22   137    63     3   225
 1958     5     7     5    22     6    45       12    37    16   131    23   219
 1959     2    17    12    20     6    57       12    85    58    91    25   271
 1960     2     5    16     6     7    36        4    14    84    34    25   161
 1961     0     9    16    15     3    43        0    50    68    61     4   183
 1962     4     2    11    13     1    31       12     7    41    36     2    98
 1963     3    15    19     8     4    49        5    68    93    25    19   210
 1964     8    13    22     7     4    54       42    50   143    47    10   292
 1965     5     6    14    14     0    39       12    13    63    84     0   172
 1966     6     8    21     6     0    41       22    36   132    19     0   209
 1967     5     2    11     8     1    27       43     5    63    25     3   139
 1968     2    15    10    12     0    39        6   100    40    91     0   237
 1969     6     2    13    12     0    33       19    17    59    38     0   133
 1970     8    14    18    17     8    65       44    75    99   111    45   374
 1971     0    15    10    15     8    48        0    83    46    73    46   248
 1972     8    12    11    13     5    49       15    69    41    79    22   226
 1973     6    15    18    26     2    67       23   108   119   136     3   389
 1974     3    12    28     9     4    56        8    86   275    35    11   415
 1975     7     8    25    16     4    60       34    30   192    83    19   358
 1976     3    17    25    22    11    78       14    90   186   185    62   537
 1977     5    14    19     8     3    49       15    87   158    33    14   307
 1978     4    15    19    13    12    63       10    88   131    69    73   371
 1979     4    17    17    15     7    60       14    92    92    94    22   314
 1980     8    17    26    14    10    75       24    93   242    86    45   490
 1981     0    15    18    12    10    55        0    84   114    34    45   277
 1982     0     8    22    15     4    49        0    27   129    68     8   232
 1983     2     9    27    29    13    80        7    51   200   274    95   627
 1984     0     3     8    17     5    33        0     6    38    82    20   146
 1985     3     9    10     4     5    31        5    38    39     8    20   110
 1986     0     8    18     4     0    30        0    31    72    11     0   114
 1987    10    17    19     5     1    52       44    98    95    21     2   260
 1988     4    16    18    19     5    62        9   154   111   161    12   447
 1989     3    10    18     7     1    39       15    47   129    19     8   218
 1990     1    10     9    11    13    44        4    69    63    46    51   233
 1991     3    11    11    13     2    40       11    54    63    56    10   194
 1992     2     4     0     2     0     8       10     8     0     6     0    24
 1993     0     6     3     7     1    17        0    15     7    18     1    41
 1994     3     6     3     5     4    21       16    27     6    26    14    89
 1995     0    10    14    16     1    41        0    51    96    53     2   202
 1996     2    10     5     1     0    18       16    44    11     2     0    73
 1997     2     9    11     9     3    34        5    27    47    28     3   110
 1998     5     7     9     8    11    40       17    16    25    19    46   123
 1999     1     8    18     4     2    33        3    26    65    15     2   111
 2000     4     6    15    12     9    46        6    35    48    48    43   180
 2001     4    10    14    10     0    38       28    49    47    60     0   184
 2002     1    16    22     2     5    46        4    71   120    12    19   226
 2003     0     7     9    11     2    29        0    14    37    60     5   116
 2004     2     1     5     1     4    13        7     6    16     2     6    37
 2005     1     8    15     0     0    24        2    37    50     0     0    89
 **************************************************************************************
MEANS   3.2  10.1  15.5  11.4   4.5  44.7     12.0  54.1  89.4  61.6  19.7 236.9
