# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA4894] LOGAN
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
#DAILY MEAN HIGHS AND LOWS FOR STATION NUMBER  ia4894
    JAN     FEB    MARCH   APRIL    MAY     JUNE    JULY    AUG     SEPT    OCT     NOV     DEC
DY  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1  30  12  34  11  42  20  57  33  68  42  77  54  85  63  86  62  82  59  74  46  57  35  40  22
  2  31  12  31  10  42  23  57  33  71  44  78  53  85  63  86  64  83  60  74  45  55  33  41  23
  3  30   9  31   9  41  21  57  33  70  46  79  53  86  63  86  64  82  59  72  45  53  32  42  22
  4  28   9  32  13  40  21  55  31  70  47  80  56  85  64  85  62  81  58  70  44  51  30  41  21
  5  29   8  31  12  41  21  57  31  72  48  81  56  86  63  85  62  81  56  69  44  52  30  40  20
  6  29   9  32  11  42  20  61  33  71  47  81  58  86  62  84  63  82  57  68  43  52  31  36  18
  7  27   6  32  11  40  20  61  35  71  46  82  59  87  64  84  62  82  57  67  42  52  29  36  18
  8  29   8  32  13  42  21  59  35  72  46  82  58  87  65  85  62  81  57  68  43  52  29  34  16
  9  27   8  33  12  43  21  58  33  72  47  80  58  87  63  85  62  79  56  66  40  49  29  35  15
 10  27   6  35  15  44  23  59  35  72  48  81  58  86  63  85  62  80  53  68  39  51  28  36  16
 11  29   9  34  13  45  25  61  37  73  48  81  59  87  65  84  59  79  53  68  42  50  29  34  16
 12  30  12  34  14  46  25  58  36  73  47  82  60  87  65  84  61  78  54  69  42  49  27  33  14
 13  32  10  36  15  45  26  58  36  71  47  84  59  87  65  84  62  76  53  68  43  51  29  35  14
 14  31  12  36  17  47  25  61  37  73  49  83  61  87  64  84  62  75  52  69  42  49  28  34  14
 15  30   9  35  16  46  25  64  37  74  49  82  59  86  63  84  62  74  50  68  42  50  28  34  14
 16  29   7  35  14  46  25  64  39  75  50  82  58  87  63  85  62  73  51  67  40  50  28  34  14
 17  31  10  38  15  48  27  65  39  76  52  83  60  88  65  86  62  75  51  65  40  49  28  33  14
 18  31  12  38  19  48  27  65  39  75  52  83  61  89  66  85  61  77  53  63  38  47  28  34  13
 19  30  10  38  18  47  28  66  41  76  51  84  61  88  67  85  62  76  52  63  36  47  26  33  14
 20  29   9  39  19  48  28  65  42  76  50  84  61  87  65  83  61  74  50  63  37  46  25  30  13
 21  29  10  39  17  48  25  65  41  76  51  84  60  86  64  83  61  72  48  64  38  46  25  31  11
 22  32  11  39  19  51  28  66  40  75  53  84  59  86  64  84  61  72  46  65  39  46  24  31  13
 23  32  10  40  20  51  28  67  41  75  53  83  60  86  64  83  61  70  46  62  39  44  24  31  14
 24  32  11  39  18  50  28  67  41  76  52  84  61  86  64  83  60  70  46  62  38  44  23  31  11
 25  29  11  40  19  50  28  69  42  76  53  86  62  87  64  84  61  72  46  62  37  44  24  31  12
 26  27   9  43  21  51  28  69  44  75  54  85  62  87  64  85  61  75  46  62  36  42  23  32  12
 27  28   9  41  23  57  30  67  44  74  52  86  62  86  64  85  62  73  46  62  36  40  22  33  15
 28  30   9  41  21  56  32  66  41  76  53  87  63  86  64  84  60  74  46  59  35  37  18  33  15
 29  31  11  45  18  52  31  68  43  76  55  87  64  86  63  84  61  72  47  60  35  38  20  32  14
 30  30   9 *** ***  55  32  67  43  78  54  86  62  87  63  84  62  73  46  59  37  38  20  30  11
 31  32  10 *** ***  57  33 *** ***  77  54 *** ***  86  63  82  59 *** ***  57  35 *** ***  30  11
