# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA4894] LOGAN
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# LENGTH OF SEASON FOR STATION NUMBER  ia4894   BASE TEMP=28
 LAST SPRING OCCURENCE FIRST FALL OCCURENCE  LENGTH OF SEASON
   YEAR MONTH DAY DOY         MONTH DAY DOY
   1951   4    23 113           9    28 271          158
   1952   4    15 106          10     6 280          174
   1953   4    20 110          10    27 300          190
   1954   4     8  98          10    30 303          205
   1955   3    28  87          10    15 288          201
   1956   4    30 121          11     8 313          192
   1957   4    14 104          10    25 298          194
   1958   4    29 119          10    26 299          180
   1959   4    13 103          10    12 285          182
   1960   4    30 121          10    19 293          172
   1961   5     2 122          10    20 293          171
   1962   4    15 105          10    25 298          193
   1963   4     4  94          10    29 302          208
   1964   4     8  99          10     9 283          184
   1965   3    30  89          10    24 297          208
   1966   4    21 111          10    16 289          178
   1967   5     2 122          10    11 284          162
   1968   4    25 116          10     4 278          162
   1969   4     6  96          10    14 287          191
   1970   5     2 122          10    10 283          161
   1971   5     3 123          10    31 304          181
   1972   4    25 116          10    18 292          176
   1973   4    12 102          10    29 302          200
   1974   4     8  98          10     1 274          176
   1975   4    20 110          10    25 298          188
   1976   4     1  92          10     6 280          188
   1977   4     6  96          10    12 285          189
   1978   4    21 111          10     7 280          169
   1979   4     7  97          10    13 286          189
   1980   4    14 105          10    12 286          181
   1981   3    23  82          10     2 275          193
   1982   4    22 112          10    20 293          181
   1983   4    18 108           9    21 264          156
   1984   4     5  96           9    26 270          174
   1985   4     9  99          10     1 274          175
   1986   4    22 112          10    13 286          174
   1987   4     6  96          10     3 276          180
   1988   4    24 115          10     5 279          164
   1989   4    15 105          10    19 292          187
   1990   4    17 107          10    10 283          176
   1991   4    10 100           9    19 262          162
   1992   4    27 118          10    17 291          173
   1993   4     9  99          10    10 283          184
   1994   4     7  97          10    25 298          201
   1995   4     5  95           9    22 265          170
   1996   4    23 114          10    30 304          190
   1997   5    13 133          10    20 293          160
   1998   4     4  94          11     6 310          216
   1999   3    27  86          10     4 277          191
   2000   4     9 100          10     6 280          180
   2001   4    19 109          10     6 279          170
   2002   4    10 100          10    13 286          186
   2003   4    10 100          10     1 274          174
   2004   4    14 105          10     2 276          171
             MEAN=105              MEAN=286     MEAN=181
