# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA4894] LOGAN
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE MONTHLY HEATING DEGREE DAYS 1951-2006 FOR STATION # ia4894
 YEAR    JAN    FEB  MARCH  APRIL    MAY   JUNE   JULY AUGUST   SEPT   OCT   NOV   DEC
 1951   1410   1050   1103    596    111     66      9      4    162    423    980   1392
 1952   1352    912   1000    451    166      1      2      8     73    487    818   1232
 1953   1312   1000    799    591    208      7      2      0     72    237    695   1070
 1954   1442    715    958    344    280     37      0      0     46    410    652   1101
 1955   1326   1287    933    231     80     58      0      1     89    352   1015   1331
 1956   1394   1162    876    509    135     13      0     10     91    177    817   1073
 1957   1505    946    851    468    188     15      0      1    122    452    865    987
 1958   1254   1310    957    444     94     33      1     20     65    313    732   1247
 1959   1470   1176    817    443    149     16      8      0    141    483   1016    960
 1960   1420   1336   1339    404    151     19      0      0     87    327    715   1170
 1961   1306    955    796    549    209     24      0      5    165    306    842   1417
 1962   1491   1126   1066    450     27     17      5      1    124    303    691   1151
 1963   1641   1121    684    331    130      1      0      8     39    110    632   1481
 1964   1127   1005    961    373     58     27      0     32    113    378    705   1290
 1965   1334   1248   1218    417     79      3      0     10    182    281    727    947
 1966   1515   1069    697    544    190     11      0     11    113    336    812   1209
 1967   1283   1110    737    347    266     19     15     20    111    430    819   1142
 1968   1338   1149    620    382    235     18      3      7    101    347    868   1314
 1969   1500   1088   1091    376    139     62      0      0     47    494    795   1291
 1970   1603    978    980    394     86     12      2      0    131    458    847   1175
 1971   1499   1187    918    381    201      1      9      4    110    263    773   1165
 1972   1430   1231    784    424    164     16     12      9    113    481    863   1414
 1973   1325   1038    676    441    174      0      1      0     96    244    747   1306
 1974   1419    942    699    337    136     33      0     17    167    283    742   1164
 1975   1356   1219   1061    506     87     26      2      0    162    270    717   1110
 1976   1245    811    777    266    187      9      0      0     70    512    927   1267
 1977   1634    923    608    229     18      4      0      8     40    395    780   1261
 1978   1686   1444    962    418    172     21      0      4     49    387    859   1372
 1979   1800   1461    925    521    191     17      0      6     57    335    840   1044
 1980   1284   1278    912    396    115     11      0      0     58    404    654   1152
 1981   1169    978    726    214    178      0      6      5     77    435    700   1282
 1982   1672   1171    923    506    109     59      0     23    129    343    845   1103
 1983   1226    969    823    619    251     21      0      0    108    402    793   1812
 1984   1416    924   1040    526    201      2      0      6    174    343    740   1186
 1985   1475   1200    723    346     94     45      0     16    211    426   1145   1583
 1986   1062   1154    676    336    111      0      0     28     51    373    956   1169
 1987   1169    802    738    351     84      9      3     42    103    547    702   1128
 1988   1456   1268    781    448     42      5     11     13     93    541    796   1147
 1989   1079   1408    928    413    180     41      3     14    164    385    889   1541
 1990   1076   1021    763    513    233     25     10      5     82    440    701   1405
 1991   1605    938    765    375    139      1      1      0    152    460   1119   1115
 1992   1079    875    719    531    171     18     11     40    132    399    927   1202
 1993   1529   1289    956    573    173     49      0     14    209    476    961   1164
 1994   1532   1280    778    465    154     14      4     11    102    323    749   1198
 1995   1405    990    855    568    269     37      9      0    172    423    998   1193
 1996   1494   1153   1068    548    270     30      3      0    166    400   1018   1410
 1997   1541   1069    825    637    320      2      8     17     92    431    931   1117
 1998   1295    856   1032    472     81     80      0      0     33    317    704   1115
 1999   1409    912    848    448    153     42      0      7    166    454    623   1127
 2000   1231    938    674    463     89     29      3      2    126    315   1018   1664
 2001   1337   1306   1009    400    147     37      2      3    110    416    521   1065
 2002   1161   1024   1075    454    264      5      0      8    113    592    923   1112
 2003   1392   1248    903    408    225     41      0      0    183    379    890   1127
 2004   1452   1263    733    408    176     46     14     49     50    358    734   1160
 2005   1453    954    839    359    213      0      3      0      0      0      0      0
 MEAN   1389   1096    873    435    159     22      3      9    111    383    821   1229
