# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA5086] MANCHESTER-2
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN   0.01-    0.26-    0.51-     1.01-            # OF DAYS
 WK    TIME PERIOD    VAL   RAIN     0.25     0.50     1.00     2.00    >2.01 MISSING TOTAL
  1 3/1-->3/7        1.87   0.26   60(66)   18(20)    9(10)    4( 4)    0( 0)    0       91
  2 3/8-->3/14       1.94   0.25   61(64)   24(25)    8( 8)    3( 3)    0( 0)    0       96
  3 3/15-->3/21      0.91   0.23   65(68)   18(19)   13(14)    0( 0)    0( 0)    0       96
  4 3/22-->3/28      1.15   0.28   64(64)   19(19)   12(12)    5( 5)    0( 0)    0      100
  5 3/29-->4/4       2.91   0.33   69(61)   20(18)   17(15)    5( 4)    2( 2)    0      113
  6 4/5-->4/11       1.51   0.30   73(65)   24(21)    7( 6)    9( 8)    0( 0)    0      113
  7 4/12-->4/18      3.01   0.38   61(50)   28(23)   24(20)    8( 7)    1( 1)    0      122
  8 4/19-->4/25      2.09   0.34   83(54)   38(25)   23(15)    8( 5)    1( 1)    0      153
  9 4/26-->5/2       1.78   0.37   63(51)   27(22)   23(19)   10( 8)    0( 0)    0      123
 10 5/3-->5/9        3.50   0.38   74(54)   25(18)   28(21)    8( 6)    1( 1)    0      136
 11 5/10-->5/16      2.35   0.38   72(51)   33(24)   22(16)   11( 8)    2( 1)    0      140
 12 5/17-->5/23      2.72   0.36   73(55)   31(23)   18(14)    9( 7)    1( 1)    0      132
 13 5/24-->5/30      4.37   0.43   87(57)   24(16)   26(17)   12( 8)    4( 3)    0      153
 14 5/31-->6/6       4.03   0.36   72(60)   24(20)   13(11)   10( 8)    1( 1)    0      120
 15 6/7-->6/13       2.54   0.44   77(49)   33(21)   27(17)   15(10)    4( 3)    0      156
 16 6/14-->6/20      3.60   0.44   75(54)   22(16)   24(17)   14(10)    4( 3)    0      139
 17 6/21-->6/27      3.68   0.59   61(50)   15(12)   17(14)   22(18)    6( 5)    0      121
 18 6/28-->7/4       2.01   0.38   72(59)   16(13)   23(19)   11( 9)    1( 1)    0      123
 19 7/5-->7/11       6.34   0.58   49(46)   25(23)   15(14)   13(12)    5( 5)    0      107
 20 7/12-->7/18      2.65   0.47   59(50)   23(19)   22(18)   13(11)    2( 2)    0      119
 21 7/19-->7/25      3.20   0.43   65(52)   24(19)   18(14)   15(12)    3( 2)    0      125
 22 7/26-->8/1       4.06   0.46   48(44)   23(21)   31(28)    5( 5)    3( 3)    0      110
 23 8/2-->8/8        5.57   0.55   60(50)   18(15)   20(17)   16(13)    5( 4)    0      119
 24 8/9-->8/15       3.14   0.46   49(52)   18(19)   16(17)   10(11)    2( 2)    0       95
 25 8/16-->8/22      4.75   0.50   57(49)   19(16)   24(21)   13(11)    3( 3)    0      116
 26 8/23-->8/29      2.72   0.52   48(47)   13(13)   27(26)   12(12)    3( 3)    0      103
 27 8/30-->9/5       5.31   0.45   53(56)   18(19)   14(15)    7( 7)    3( 3)    0       95
 28 9/6-->9/12       2.55   0.39   49(52)   19(20)   15(16)   10(11)    1( 1)    0       94
 29 9/13-->9/19      5.22   0.44   66(55)   19(16)   21(18)   12(10)    2( 2)    0      120
 30 9/20-->9/26      2.00   0.43   67(54)   21(17)   22(18)   15(12)    0( 0)    0      125
 31 9/27-->10/3      2.40   0.35   47(53)   20(23)   17(19)    3( 3)    1( 1)    0       88
 32 10/4-->10/10     1.60   0.35   66(62)   13(12)   18(17)   10( 9)    0( 0)    0      107
 33 10/11-->10/17    2.15   0.34   56(63)   12(13)   15(17)    4( 4)    2( 2)    0       89
 34 10/18-->10/24    1.51   0.34   49(55)   23(26)   10(11)    7( 8)    0( 0)    0       89
 35 10/25-->10/31    1.28   0.28   56(64)   14(16)   12(14)    5( 6)    0( 0)    0       87
 36 11/1-->11/7      3.54   0.36   61(65)   11(12)   12(13)    8( 9)    2( 2)    0       94
 37 11/8-->11/14     1.95   0.24   59(68)   17(20)    7( 8)    4( 5)    0( 0)    0       87
 38 11/15-->11/21    2.02   0.31   56(62)   18(20)   11(12)    5( 5)    1( 1)    0       91
 39 11/22-->11/28    1.83   0.27   53(61)   21(24)   12(14)    1( 1)    0( 0)    0       87
 40 11/29-->12/5     2.04   0.23   55(68)   15(19)   10(12)    0( 0)    1( 1)    0       81
 41 12/6-->12/12     1.05   0.22   54(70)   15(19)    7( 9)    1( 1)    0( 0)    0       77
 42 12/13-->12/19    1.73   0.20   58(79)    8(11)    5( 7)    2( 3)    0( 0)    0       73
 43 12/20-->12/26    1.62   0.19   66(79)   10(12)    7( 8)    1( 1)    0( 0)    0       84
 44 12/27-->1/2      0.88   0.19   55(71)   16(21)    7( 9)    0( 0)    0( 0)    0       78
 45 1/3-->1/9        1.29   0.15   62(82)   11(14)    2( 3)    1( 1)    0( 0)    0       76
 46 1/10-->1/16      2.51   0.18   67(85)    8(10)    2( 3)    1( 1)    1( 1)    0       79
 47 1/17-->1/23      0.71   0.15   62(81)    9(12)    6( 8)    0( 0)    0( 0)    0       77
 48 1/24-->1/30      1.28   0.14   67(87)    4( 5)    5( 6)    1( 1)    0( 0)    0       77
 49 1/31-->2/6       0.72   0.16   50(78)   10(16)    4( 6)    0( 0)    0( 0)    0       64
 50 2/7-->2/13       1.30   0.18   52(79)   11(17)    2( 3)    1( 2)    0( 0)    0       66
 51 2/14-->2/20      1.13   0.21   58(78)    6( 8)    9(12)    1( 1)    0( 0)    0       74
 52 2/21-->2/27      1.83   0.22   60(73)   14(17)    6( 7)    2( 2)    0( 0)    0       82
 53 2/28-->2/29      0.50   0.14    7(88)    1(13)    0( 0)    0( 0)    0( 0)    0        8
ANNUAL TOTALS        6.34   0.35 3208(59)  966(17)  765(14)  363( 6)   68( 1)    0     5370
