# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA5086] MANCHESTER-2
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 DAILY RECORD HIGHS AND LOWS OCCURRING DURING 1951-2003 FOR STATION NUMBER  ia5086
      JAN     FEB    MARCH   APRIL    MAY     JUNE    JULY    AUG     SEPT    OCT     NOV     DEC
 DY  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1  43 -17  58 -23  60 -32  81  14  90  25  91  35  97  46 102  49  96  36  91  26  78  16  60  -6
  2  44 -23  44 -30  64 -22  85   4  86  27  92  41 100  43 101  46  96  39  91  22  78   8  61  -4
  3  51 -15  48 -32  68  -2  78  12  87  24  88  39  95  45  98  47  95  36  87  23  75   9  63  -8
  4  47 -16  48 -32  69 -10  72   6  89  28  91  38  96  41  99  41  92  35  93  22  74   3  64 -10
  5  49 -26  50 -29  67 -12  78  11  88  29  93  38  96  43  95  44  93  33  84  22  64   1  69  -6
  6  45 -25  55 -20  70 -10  80  -9  85  26  92  41  95  44  92  48  92  34  87  22  69   8  66 -10
  7  43 -23  47 -19  71  -7  86  -1  83  25  92  42  98  42  95  45  95  35  91  24  72  -2  53 -20
  8  55 -22  52 -28  79  -6  78   3  85  28  96  45  94  48  95  45  96  35  85  22  74  -1  49 -13
  9  58 -19  52 -27  76 -17  77  11  87  26  96  39  95  46  93  44  98  36  82  22  79   3  51 -20
 10  49 -25  51 -22  65  -5  83  18  84  24  91  39  98  45  93  46  92  35  81  18  76   9  57 -15
 11  50 -28  58 -19  64   0  84   6  87  31  92  38 100  47  97  42  91  34  85  15  65   2  55 -17
 12  50 -26  60 -19  67  -2  81  19  86  29  93  42  98  46  94  42  94  35  84  16  71   2  56 -11
 13  50 -27  56 -17  75 -14  78  12  85  30  94  40  94  48  95  42  91  33  86  21  67   1  57 -24
 14  50 -17  59 -19  69 -13  77  20  87  29  96  44  99  44  94  39  88  34  88  25  77   1  58 -24
 15  50 -27  54 -16  71   0  86  22  89  30  97  41  98  42  96  41  91  35  88  25  70   2  54 -19
 16  48 -25  61 -20  70   2  87  17  89  30  90  39 100  50 100  42  90  27  85  22  72   3  53 -17
 17  48 -27  64 -21  71  -2  86  20  87  30  90  41  92  46 101  41  91  33  84  20  70  -5  52 -18
 18  53 -30  63 -14  76   4  86  18  89  37  95  43  94  47 101  42  93  34  86  20  67   6  51 -19
 19  48 -29  56 -18  71   1  88  19  89  36  93  42  94  52  95  44  89  25  85  14  72   7  57 -26
 20  48 -30  60 -15  64  -6  85  21  91  33  96  43  95  49 101  41  89  27  85  15  64   8  51 -26
 21  48 -30  53 -13  73   0  89  25  89  33  99  38  95  47  99  45  86  28  82  19  69  -2  56 -28
 22  50 -26  53 -14  65   6  97  19  91  31 101  41  96  48  92  47  84  27  75  16  67  -1  50 -26
 23  57 -25  62 -15  72   4  87  21  89  28  95  44  95  50  92  45  83  26  79  19  62   4  50 -25
 24  58 -24  59 -18  72  -3  83  18  89  35  92  43  96  51  94  41  83  27  83  17  64   1  53 -24
 25  59 -15  60 -18  72   0  84  24  89  34  96  41  96  49  93  40  89  30  80  18  62   0  55 -26
 26  58 -22  68 -14  76   0  87  27  92  31  94  47  96  43  95  40  86  26  79  11  61 -16  52 -25
 27  61 -20  60 -10  78   1  87  26  91  32  96  40  99  43  96  41  89  30  76  13  64  -2  51 -16
 28  60 -22  51 -13  76   9  86  27  87  35  96  44  97  47  98  39  93  26  75  16  67 -14  53 -16
 29  48 -25  60  -6  79   4  91  23  91  30  93  47  97  45  95  40  93  23  73  12  62  -9  60 -12
 30  44 -25 *** ***  87   3  89  26  94  34  95  46  99  46  97  41  89  26  76  11  67 -10  51 -17
 31  48 -24 *** ***  79   6 *** ***  88  35 *** ***  97  42  97  35 *** ***  75  15 *** ***  58 -20
