# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA5131] MAQUOKETA-2-W
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# LENGTH OF SEASON FOR STATION NUMBER  ia5131   BASE TEMP=28
 LAST SPRING OCCURENCE FIRST FALL OCCURENCE  LENGTH OF SEASON
   YEAR MONTH DAY DOY         MONTH DAY DOY
   1951   4    23 113          10    31 304          191
   1952   4    11 102          10     6 280          178
   1953   4    20 110          10    28 301          191
   1954   5     7 127          10    19 292          165
   1955   4     7  97          10    24 297          200
   1956   4    30 121          10     9 283          162
   1957   4    15 105           9    28 271          166
   1958   4    11 101          10    28 301          200
   1959   4    22 112          10    12 285          173
   1960   4    18 109          10    20 294          185
   1961   5     2 122          10    27 300          178
   1962   4    20 110          10    24 297          187
   1963   4    14 104          10    30 303          199
   1964   4    10 101          10     6 280          179
   1965   3    31  90          10    24 297          207
   1966   5    10 130          10    17 290          160
   1967   4    24 114          10    19 292          178
   1968   4     5  96          10    25 299          203
   1969   4     6  96          10    15 288          192
   1970   4    10 100          10    16 289          189
   1971   4    10 100          11     4 308          208
   1972   4    25 116          10    15 289          173
   1973   5    17 137          11     5 309          172
   1974   4    24 114          10     2 275          161
   1975   4    13 103          10    26 299          196
   1976   4    12 103          10     8 282          179
   1977   4    29 119          10    13 286          167
   1978   5     3 123          10     8 281          158
   1979   4    10 100          10    14 287          187
   1980   5     9 130          10     5 279          149
   1981   4    21 111          10    19 292          181
   1982   4    28 118          10    21 294          176
   1983   4    25 115           9    23 266          151
   1984   4    24 115           9    29 273          158
   1985   4     9  99          11     5 309          210
   1986   4    23 113          11     2 306          193
   1987   4     4  94          10     3 276          182
   1988   4    24 115          10     5 279          164
   1989   4    14 104          10     4 277          173
   1990   4    19 109          10    19 292          183
   1991   3    31  90          10    15 288          198
   1992   4    13 104          10    17 291          187
   1993   4    18 108          10    10 283          175
   1994   4     8  98          11     1 305          207
   1995   4     6  96          10    16 289          193
   1996   4    11 102          10    31 305          203
   1997   4    18 108          10    21 294          186
   1998   3    25  84          10    22 295          211
   1999   3    27  86          10    14 287          201
   2000   4    12 103          10     7 281          178
   2001   4    19 109          10    17 290          181
   2002   4     6  96          10    16 289          193
   2003   4    11 101          10     1 274          173
   2004   5     3 124          10     5 279          155
             MEAN=107              MEAN=289     MEAN=182
