# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA5131] MAQUOKETA-2-W
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE MONTHLY PRECIP TOTALS 1951-2006 FOR STATION # ia5131
 YEAR   JAN   FEB  MARCH APRIL  MAY  JUNE  JULY AUGUST SEPT   OCT   NOV   DEC   ANN
 1951  1.01  2.88  5.01  3.82  5.34  3.30  6.37  3.61  2.23  5.76  2.50  1.54 43.37
 1952  1.93  0.88  3.84  1.06  4.51  1.32  1.86  4.69  0.48  0.00  4.81  1.18 26.56
 1953  1.45  2.18  4.05  2.75  2.42  4.02  5.65  1.63  2.32  0.44  1.39  3.15 31.45
 1954  0.33  0.57  2.57  4.04  2.51  5.68  1.79  5.93  1.86  4.96  0.80  2.37 33.41
 1955  1.12  2.16  1.06  3.22  2.34  3.73  2.33  4.15  5.26  2.91  0.38  1.37 30.03
 1956  1.21  1.57  0.59  5.08  6.30  3.23  3.26  7.10  1.17  1.57  2.53  1.48 35.09
 1957  2.23  1.24  2.18  0.00  4.64  2.87  0.00  3.68  2.52  1.73  2.40  2.95 26.44
 1958  1.60  0.20  0.44  3.28  1.87  4.09  1.81  2.60  1.30  3.61  2.46  0.97 24.23
 1959  1.28  1.71  4.98  4.52  3.82  6.53  3.51  5.65  3.20  4.74  1.01  2.04 42.99
 1960  4.17  1.96  1.45  3.53  3.91  4.47  3.58  3.24  3.80  4.93  1.79  0.42 37.25
 1961  0.23  0.26  3.47  1.75  1.04  6.42  7.09  3.46  9.65  2.81  5.15  1.96 43.29
 1962  1.19  2.04  2.63  1.94  5.24  2.12  8.17  1.92  2.60  2.58  0.62  0.62 31.67
 1963  0.55  0.37  1.08  2.30  1.70  1.77  8.02  2.95  1.89  0.46  3.21  0.69 24.99
 1964  0.65  0.59  1.92  4.90  2.93  4.76  3.37  2.83  1.91  0.00  1.92  0.72 26.50
 1965  3.13  0.66  2.20  5.10  3.81  1.89  3.12  4.77 10.38  0.95  1.54  2.99 40.54
 1966  1.43  0.85  1.96  2.75  4.70  6.70  1.42  1.12  1.04  2.01  1.13  1.84 26.95
 1967  0.89  0.96  1.90  3.97  1.75  3.91  1.91  7.63  6.77  4.86  2.04  1.19 37.78
 1968  0.63  0.54  1.01  3.10  2.48  5.92  2.23  4.78  4.99  1.56  0.85  2.69 30.78
 1969  2.32  0.31  1.05  4.09  3.32 10.23  4.99  1.48  2.47  4.19  0.54  1.21 36.20
 1970  0.40  0.33  2.01  2.47  7.08  5.95  4.57  1.19  8.62  2.23  1.18  1.30 37.33
 1971  0.96  2.58  1.03  2.41  2.29  5.34  3.21  1.53  4.08  2.95  3.61  4.02 34.01
 1972  0.71  0.91  1.89  6.46  5.35  3.44  6.22  9.02  3.25  3.89  1.94  2.29 45.37
 1973  1.98  0.88  4.82  6.27  6.34  4.59  3.09  1.48 10.07  1.71  2.31  3.12 46.66
 1974  3.05  1.27  2.72  4.81  9.01  6.42  1.42  3.51  1.24  2.52  1.71  1.96 39.64
 1975  0.99  1.79  3.10  3.14  3.72  3.78  2.68  5.53  2.22  0.61  2.58  0.46 30.60
 1976  0.44  1.74  4.28  3.10  1.88  2.40  1.92  0.95  0.48  1.99  0.29  0.32 19.79
 1977  0.54  0.84  4.10  2.33  2.00  3.79  7.85  6.35  3.60  3.34  2.92  1.29 38.95
 1978  0.95  0.68  0.75  3.94  4.87  2.19  3.31  2.10  6.27  1.49  2.46  0.00 29.01
 1979  2.06  0.87  2.61  2.92  1.37  6.50  3.44  7.88  0.23  2.62  1.66  1.51 33.67
 1980  1.38  0.92  0.94  1.80  3.60  4.42  2.46  8.28  6.58  0.00  0.85  1.73 32.96
 1981  0.06  2.60  0.25  5.12  1.43 11.29  1.95 14.44  3.26  3.72  2.69  1.05 47.86
 1982  2.06  0.10  3.07  2.28  6.51  2.83  4.87  3.41  2.29  2.72  4.50  4.54 39.18
