# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA5131] MAQUOKETA-2-W
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia5131
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     0     0     4     1     0     5        0     0     8     5     0    13
 1952     1     9    14     5     7    36        2    40    67    11    28   148
 1953     1     7     6     9     6    29        3    30    11    58    34   136
 1954     0    13    13     4     5    35        0    51    60     9    12   132
 1955     1     1    21    14     6    43        2     4   149    85    31   271
 1956     1    11     4     3     0    19        3    36    18    11     0    68
 1957     0     2    15    10     1    28        0     6    84    34     3   127
 1958     0     2     2    15     0    19        0     3     5    63     0    71
 1959     4    10    11    22     7    54       11    28    29   101    26   195
 1960     0     2     9     9     8    28        0     9    27    30    62   128
 1961     2     7     5    11     6    31        3    39    16    26    22   106
 1962     6     7     8    14     3    38       20    26    20    51     9   126
 1963     3    18    18     6     1    46       11   110    74    29     1   225
 1964     4     9    20     8     5    46       13    49   107    32    24   225
 1965     1     4    12     7     1    25        2    16    53    28     3   102
 1966     1    11    18     8     2    40        1    41   117    23     8   190
 1967     6     4    11     1     0    22       18    12    35     2     0    67
 1968     1    10    12    14     1    38        1    48    35    71     2   157
 1969     2     4    12    11     0    29        6    10    44    27     0    87
 1970     3     3    17    10     4    37        8    20    85    30     7   150
 1971     1    18     4     7     8    38        2    83     5    21    32   143
 1972     6     7     8    11     4    36       15    26    33    50     8   132
 1973     0     8    13    16     2    39        0    30    46    54     7   137
 1974     0     1    19     4     0    24        0     5   109     7     0   121
 1975     6    11    16    11     1    45       29    40    68    47     1   185
 1976     0     8    17    13     3    41        0    29    84    36     5   154
 1977     7     8    14     1     0    30       11    26    85     4     0   126
 1978     3     5     4    10     9    31        9    13    12    26    44   104
 1979     3     3     6     4     1    17        7     7     9    17     1    41
 1980     2     3    16    11     1    33        3    14    75    36     5   133
 1981     0     2     8     1     0    11        0     3    32     4     0    39
 1982     0     0     8     4     0    12        0     0    28    17     0    45
 1983     0     8    22    18     6    54        0    38   139   138    33   348
 1984     0     4     9    16     4    33        0     9    38    83    20   150
 1985     2     5    14     7     8    36        7    28    60    29    35   159
 1986     1     5    13     0     0    19        1    23    53     0     0    77
 1987     3    12    21    10     0    46        8    58   151    64     0   281
 1988     4    16    22    18     3    63       14   104   175   169     9   471
 1989     2     5    14     2     0    23        5    11    75     9     0   100
 1990     0     2     4     4     4    14        0     7    24    10    18    59
 1991     4    10    13     9     6    42       14    21    59    41    12   147
 1992     1     5     1     2     0     9        3    19     3     5     0    30
 1993     0     2     3     3     0     8        0     5     5     5     0    15
 1994     3     9     3     1     3    19        5    41     4     1    11    62
 1995     0    11     9    13     0    33        0    42    40    40     0   122
 1996     3     7     2     3     0    15        8    25     4     6     0    43
 1997     0     5     9     3     0    17        0    10    29     8     0    47
 1998     5     6    10     5     5    31       16    24    28    11    23   102
 1999     1     9    18     1     4    33        1    25    88     3    13   130
 2000     0     3     3     2     6    14        0     8     6     6    37    57
 2001     1     5    13    10     1    30        1    16    42    47     2   108
 2002     0     9    14     4     6    33        0    25    50    14    17   106
 2003     0     3     6    11     1    21        0    13    14    46     4    77
 2004     0     2     2     0     1     5        0     5     6     0     1    12
 2005     0    11    15     0     0    26        0    47    80     0     0   127
 **************************************************************************************
MEANS   1.7   6.6  11.0   7.6   2.7  29.6      4.8  26.5  51.0  32.4  11.1 125.7
