# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA5230] MASON-CITY
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
#DAILY MEAN HIGHS AND LOWS FOR STATION NUMBER  ia5230
    JAN     FEB    MARCH   APRIL    MAY     JUNE    JULY    AUG     SEPT    OCT     NOV     DEC
DY  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1  24   8  24   6  35  15  49  30  64  40  74  51  82  59  83  59  78  55  70  44  53  33  33  19
  2  25   7  23   5  35  18  50  30  66  42  74  50  82  60  83  61  79  55  69  43  51  32  35  19
  3  24   6  24   4  34  17  49  30  66  42  75  50  81  59  83  60  79  56  67  42  49  30  35  18
  4  23   5  25   6  34  16  49  28  68  44  77  52  82  60  81  60  77  54  65  42  48  28  34  16
  5  22   3  25   6  34  17  50  29  68  45  78  53  82  60  81  59  77  53  65  41  48  27  33  16
  6  22   4  26   7  35  18  52  30  66  42  78  55  83  59  81  60  77  54  64  41  47  28  30  14
  7  21   1  25   6  35  14  54  32  66  42  78  57  83  61  81  59  79  53  64  41  47  28  30  15
  8  22   1  26   7  35  16  51  32  67  44  78  55  83  61  81  60  78  53  63  41  47  27  28  14
  9  21   4  27   7  36  17  52  30  67  45  78  54  83  60  80  57  76  53  62  39  45  27  29  12
 10  21   2  28  11  37  18  52  30  68  44  79  55  82  60  81  58  76  51  62  38  47  27  29  12
 11  22   3  27  10  38  21  54  32  69  45  79  56  82  61  80  57  76  50  63  39  45  27  29  11
 12  24   6  27  10  39  21  54  34  69  44  79  57  84  61  81  57  76  50  64  39  44  25  28  11
 13  25   7  29  10  38  22  54  33  69  44  81  57  83  62  81  58  73  51  63  41  44  26  27  11
 14  25   7  30  11  39  22  56  34  69  45  81  57  82  62  80  58  72  50  64  41  44  26  28  11
 15  23   4  29  11  39  20  59  35  71  47  79  57  82  60  80  58  70  48  63  39  45  26  27  11
 16  23   3  29  10  40  21  59  36  71  46  78  56  84  61  81  58  71  47  62  39  45  25  29  10
 17  23   6  30  11  40  22  59  36  73  48  79  56  84  62  82  58  72  49  61  38  44  26  27  10
 18  23   5  31  15  40  23  58  37  72  49  80  58  84  63  81  58  73  50  60  36  43  25  27  10
 19  23   4  31  13  40  24  61  38  71  48  81  57  84  63  80  58  72  50  58  35  42  24  26  10
 20  22   3  32  13  41  23  60  39  74  47  80  57  83  62  80  57  70  48  59  35  40  23  25   9
 21  23   5  31  13  41  23  60  37  74  48  80  58  83  61  79  57  67  46  60  37  40  21  25   7
 22  25   7  32  13  43  22  60  37  73  50  80  57  83  61  80  57  68  44  59  37  40  22  25   9
 23  26   5  33  16  43  24  61  38  73  49  79  57  82  61  78  57  66  42  57  36  39  21  25  10
 24  25   6  32  15  43  23  61  37  72  49  81  58  83  60  79  57  67  43  58  35  38  20  26   8
 25  24   5  33  14  44  24  64  39  71  49  82  58  83  61  80  57  69  43  57  35  39  21  23   8
 26  21   2  34  15  44  24  65  40  70  50  83  59  83  61  80  59  70  43  57  34  36  20  26   7
 27  21   2  34  18  47  26  63  40  71  50  83  60  82  61  81  60  69  44  57  35  34  18  26   9
 28  22   4  33  16  49  28  62  39  72  51  84  60  82  60  81  58  69  43  54  33  32  16  28  11
 29  23   4  35  14  45  28  64  39  73  52  83  61  82  60  81  58  68  44  55  33  32  16  27   9
 30  22   2 *** ***  48  28  65  41  74  52  82  60  82  60  80  59  68  44  55  35  34  17  25   7
 31  24   3 *** ***  50  29 *** ***  75  52 *** ***  83  60  79  57 *** ***  53  34 *** ***  25   8
