# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA5230] MASON-CITY
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 NUMBER OF RAINY DAYS PER MONTH PER YEAR
YEAR   JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC ANN   
1951     6  12  12  11  11   9  10  11  10   9   7   5 113
1952     7   2   8   4  12  12   9  10   5   0   6   3  78
1953     6   6   9  13   8  10  10   9   4   2   4   6  87
1954     3   2   9   8   8  13  11  10   6  10   3   4  87
1955     6   4   7  10   7   6   8   4   8   7   6   5  78
1956     6   2   9   8  12   6  13  11   6   5   6   4  88
1957     5   3   8   6  13  10   8  10  10   4   8   6  91
1958     2   3   4   8   7  11   8   7   9   3   4   2  68
1959     4   7   7   4  14   9   6   8   9  11   8   8  95
1960     4   5   7   9  13  10   6   9   6   3   2   4  78
1961     6   6  11   8   9  11  14   6  13   6   5   8 103
1962     1  12   9   9   9   5  11   9   7   6   1   1  80
1963     5   6   7  11   9   9  12   6   7   5   2   3  82
1964     4   0   9  10  13   8   6  10  10   2   5   7  84
1965     5   6  12  11  11   9  10  11  19   4   6   4 108
1966     4   5   8  12   7  15   8   7   6   4   4   6  86
1967    10   9   5   8   4  15   6   4   3   5   6   5  80
1968     4   1   3  10  11   9  10   7  12   6   5  10  88
1969    13   5   5  10  14  11  11   4   6  10   4  10 103
1970     5   3   5   8  14   9   9   6  13  11  10   3  96
1971     3  10   5   6  10  10   8   4   8   8   9   6  87
1972     3   7   6   9   7   7  11   9  15   6   4   5  89
1973     3   4   0   0   0   0   6   4  13   6   0   8  44
1974     4   2   9   7   9   5   7  11   5   5   6   2  72
1975     9   2   7  11   8   9   0   0   0   0   0   0  46
1976     1   3   7   9   9   8   8   6   3   6   1   4  65
1977     5   3  10   9  10   7   6  11   8   6   0   4  79
1978     0   0   0   0   7  10  11   4   5   7   3   4  51
1979     6   3   6   9  10  10   6  17   3   8   7   1  86
1980     6   5   6   4   9   8   7  16  10   5   1   1  78
1981     2   7   3  11   7  13   8  11   5   9   8   5  89
1982     9   2   4   9  17   5   6   7   6   9   7   6  87
1983     4   6  11   8  16  11   6   7   9   8   9   6 101
1984     2   4   8  11  14  13   9   8   8  12   5   8 102
1985     8   4  10   7   9   9   7  11  13   8   7   7 100
1986     1   3   3  14  11   7  10   7  11   7   5   4  83
1987     5   1   5   6   9   9   7  12  10   4   9   9  86
1988     4   3   3   8   6   7   8   8   9   3  11   2  72
1989     4   4   7   7   6   8   6   5   8   5   4   2  66
1990     3   3   9  13  11  15  14  14   5   6   5  10 108
1991     6   2  10  11  16   8  10   8  11   8  11   6 107
1992     6   6   8   7   7   7  18   7   9   5  10  11 101
1993     6   8   7  12  14  17  18  13   6   3   6  10 120
1994    12   6   1   9  10  10  15   7  12   6   6   5  99
1995     4   1  11  14  11  11   9   9   8  11   4   3  96
1996     9   1   5   7  15  13   7   8   9   9  10   7 100
1997     9   4   7   9  10  11   9   9   9   3   4   6  90
1998     9   6  13  10  11  14   8  14   5  10   4   6 110
1999    11   5   4  12  17   9  13   8   5   3   3   6  96
2000     8   6   8   7  15  15   6   6   6  11   9  12 109
2001     8   7   7  11  17  13   9   8   7   6   6   4 103
2002    11   7   7  10   9  13   8  10  10  16   3   5 109
2003     8   8   9  11  12  12  10   7   4   5  10   6 102
2004     8   8  14   7  16  14  14  11   4  16   7   8 127
2005    11  11   8  10  17  18   9   0   0   0   0   0  84
STDDEV   3   3   3   3   4   3   3   3   4   3   3   3  17
AVG      6   5   7   9  11  10   9   8   8   6   5   5  89
