# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA5493] MILFORD-4-NW
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
  RECORD LARGEST AND SMALLEST DAILY RANGES (MAX-MIN) FOR STATION NUMBER  ia5493
     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC
 DY  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1  29   2  34   3  35   6  42   5  40   5  39   9  32  10  38  10  37   5  47   6  41   2  37   3
  2  31   4  43   3  36   4  41   5  40   5  38   6  30   9  32  10  40   8  41   4  40   4  37   3
  3  41   3  39   5  37   3  40   3  41   5  47   8  35   8  35  10  37   8  42   6  40   4  36   3
  4  32   7  40   2  41   5  43   8  47   5  35  10  35   8  34   6  39   7  38   6  37   4  36   4
  5  39   3  42   5  39   1  41   5  43   6  41   9  36   8  31   7  39  10  47   7  37   3  37   4
  6  40   3  41   3  39   6  40   9  40   3  34  10  34   7  32   7  38   7  41   5  36   3  40   1
  7  35   6  37   7  38   7  45   5  42   5  35   9  32  10  38   5  40   8  42   2  35   5  40   3
  8  44   5  36   9  39   5  37   4  44   6  36   5  30  11  36   4  39   9  40   4  37   3  32   3
  9  35   5  36   3  42   7  50   3  43   7  38   6  35  10  40   8  37   8  40   9  34   5  33   2
 10  41   4  39   3  38   4  42   2  47   5  41   8  34   9  35   8  37  12  53   5  37   4  44   5
 11  36   3  39   3  35   4  42   4  38   6  33  10  31   9  36   7  38  10  38   6  39   4  35   5
 12  40   1  33   4  36   4  40   5  40   8  36   9  38   8  34  10  42   8  43   6  37   3  34   5
 13  34   1  31   5  38   4  45   6  43   5  35  10  35   6  36   7  36   8  37   6  35   4  39   2
 14  33   2  39   3  43   3  45   2  40   8  35  11  36   6  36   8  36   4  37   8  39   5  39   1
 15  39   6  37   5  38   6  44   8  42  11  34  12  31  10  32   8  37   9  46   3  37   6  37   4
 16  41   6  36   5  42   3  43   2  45  11  36   7  41  12  38  12  40   6  41   6  34   4  43   4
 17  34   5  38   3  37   4  42   4  41   5  36   8  35  11  35   8  34  10  35   6  39   5  38   3
 18  41   3  38   3  34   3  42   6  43   4  36   7  31  10  31  11  37   5  46   5  38   5  33   4
 19  39   4  37   4  37   4  40   5  40   6  36   4  32   7  33   7  39   5  42   2  44   4  39   4
 20  36   4  39   4  34   6  45   3  42   8  35  10  33   5  37   5  38   4  54   9  35   4  40   4
 21  40   4  45   4  36   2  45   6  36   7  36   9  32   9  36   7  37   8  42   5  35   5  43   4
 22  40   5  38   4  41   3  40   6  40   4  36   7  35   7  39   8  39   5  37   5  38   2  30   2
 23  36   4  36   3  37   6  40   9  40   6  38   9  38   7  31   8  38   7  41   3  29   3  40   3
 24  36   2  55   3  45   4  41   7  36   2  34  13  39   7  36   7  40  10  45   4  34   3  34   6
 25  31   3  36   4  37   5  38   7  40   4  37   9  36  11  34   4  41   7  41   5  35   4  36   3
 26  35   4  39   5  45   4  41   7  35   6  33   8  33  12  35   7  41   5  44   6  30   3  36   6
 27  34   5  38   2  44   4  44   6  35   4  38  11  37   8  38   4  40   4  45   2  43   4  35   4
 28  39   7  42   5  40   3  48   8  38   6  39   5  36   9  35   9  42   6  35   4  39   4  33   4
 29  35   3  35   5  40   4  46   5  40   3  37  10  37  14  35   8  39   7  44   3  35   5  39   2
 30  42   4  **  **  48   3  42   3  33   7  36   7  34  11  35  10  46   6  38   5  33   2  36   1
 31  40   2  **  **  55   5  **  **  34   8  **  **  43  12  31  10  **  **  38   4  **  **  30   2
