# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA5493] MILFORD-4-NW
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# LENGTH OF SEASON FOR STATION NUMBER  ia5493   BASE TEMP=24
 LAST SPRING OCCURENCE FIRST FALL OCCURENCE  LENGTH OF SEASON
   YEAR MONTH DAY DOY         MONTH DAY DOY
   1951   4    17 107          10    27 300          193
   1952   4    10 101          10     4 278          177
   1953   4    20 110          11     4 308          198
   1954   5     3 123          10    30 303          180
   1955   3    28  87          10    24 297          210
   1956   4    30 121          10     9 283          162
   1957   4    14 104          10    25 298          194
   1958   4    29 119          10    29 302          183
   1959   4    13 103          10    12 285          182
   1960   4    10 101          10    19 293          192
   1961   5     1 121          10    26 299          178
   1962   4    15 105          10    24 297          192
   1963   5    22 142          10    29 302          160
   1964   4     8  99          10     9 283          184
   1965   3    30  89          10    24 297          208
   1966   4    21 111          10    24 297          186
   1967   5     4 124          10    11 284          160
   1968   4     5  96          11     8 313          217
   1969   3    31  90          10    17 290          200
   1970   4    16 106          10    10 283          177
   1971   4    14 104          10    10 283          179
   1972   4     8  99          10    18 292          193
   1973   4    10 100          11     4 308          208
   1974   4     5  95          11     4 308          213
   1975   4     4  94          11    13 317          223
   1976   3    27  87          10     7 281          194
   1977   4     5  95          11    10 314          219
   1978   3    26  85          10    23 296          211
   1979   4     6  96          10    13 286          190
   1980   4    14 105          10    12 286          181
   1981   3    20  79          10    22 295          216
   1982   4    11 101          10    21 294          193
   1983   4    18 108           9    23 266          158
   1984   3    23  83           9    26 270          187
   1985   4     9  99          11     4 308          209
   1986   3    21  80          11     2 306          226
   1987   4     3  93          10    10 283          190
   1988   4    19 110          10    24 298          188
   1989   4    12 102          10    18 291          189
   1990   4    17 107          11     4 308          201
   1991   3    30  89          10    15 288          199
   1992   4    13 104          10    17 291          187
   1993   4     4  94          10    10 283          189
   1994   4     6  96          11    15 319          223
   1995   4     5  95          11     2 306          211
   1996   4    23 114          10    28 302          188
   1997   5    13 133          10    26 299          166
   1998   3    24  83          11     4 308          225
   1999   3    25  84          10     2 275          191
   2000   4     8  99          10     6 280          181
   2001   4    16 106          10     6 279          173
   2002   4     9  99          10    17 290          191
   2003   4     9  99          10    26 299          200
   2004   4    13 104          11    11 316          212
             MEAN=101              MEAN=294     MEAN=193
