# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA5493] MILFORD-4-NW
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 NUMBER OF RAINY DAYS PER MONTH PER YEAR
YEAR   JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC ANN   
1951     5   5   9  12  15  14  13  11  12   6   4   9 115
1952     7   3   9   4  11  10   7  13   3   0   4   4  75
1953     6   5  11  11   9   6  12   8   4   3   4   5  84
1954     3   4   9   8   8  10  10  10  11  11   3   2  89
1955     3   5   7   6   5  11   9   6   8   7   4   6  77
1956     7   6   8   8   8   5   9  13   5   6   6   4  85
1957     5   2   6   4  13  13  10  11   8  10   6   6  94
1958     4   4   3   9   6  11  10   4   3   2   4   4  64
1959     4   8   5   5  17   8   3  11  10  11   8   9  99
1960     3   5  13  10  13  11   6  11   8   1   3   4  88
1961     3   5  11   9  12   9  12   7  15   4   7   6 100
1962     7  11   9   8  14  13  14   8   6   3   1   3  97
1963     6   8   7   6   8   8   9   5   8   5   2   3  75
1964     2   1   9  12   5   8  11   9   8   4   6   5  80
1965     5   7   6  12  15   9   6   7  18   2   5   2  94
1966     6   5   4   8   6  14   7   6   8   4   1   5  74
1967     3   4   2  10   8  17   5   8   4   5   4   6  76
1968     5   4   3  12  13  11  11   6  13   8   7   8 101
1969    11   9   3   6  15  10   9   6   5  10   5   7  96
1970     5   2   6   7  14   6   7   5  11  12   9   4  88
1971     5   9   4   7   7  13   8   1   5   8   7   7  81
1972     4   6   7   9  12   9  10  10   8   9   6   5  95
1973     5   5   9   7  10   8   7   9  11   6   6   6  89
1974     2   3   8   8   9   6   6   7   6   7   6   1  69
1975     8   3   9  15  10  14   4  11   6   1   6   2  89
1976     1   5  11   6   4   7   6   1   6   6   2   6  61
1977     2   4  11  12  11   9  10  13  11   8   7   5 103
1978     5   4   3  17   9  10  11   9   6   5   7   5  91
1979     8   7  11   9  12   9  14  12   5   6   6   1 100
1980     2   4   7   2   9   5   9   0   6   1   1   2  48
1981     3   3   4   7   8  11   9  15   6  11   4   5  86
1982    12   2   9   9  19   7   7  10   8   9   6   5 103
1983     3   4  11   9   8  14   9   4   7   9  10  10  98
1984     2   6   6  13  12  14   9   6   7  14   3   6  98
1985     5   1  10   8   9   9   6  11  18   6  14   7 104
1986     4   2   4  15  12  11   9   6   8   9   5   3  88
1987     4   1   7   4   9   6  12   8  11   3   7   5  77
1988     3   2   2   9   9   6   8   9   8   0   7   2  65
1989     3   6   6  12   8   8   5   6   6   0   6   5  71
1990     4   2   8   9  12  11  13  10   4   5   5   9  92
1991     6   2   9  10  16   9  12   5   8   3   9   2  91
1992     7   7   9   8   7   8  13   6   7   7   9   8  96
1993     6   8   5  10  12  15  18  10   8   4   8   8 112
1994     7   5   2   9   7  17   9   6   8   6   5   6  87
1995     2   4  13  13  11  10   6   5   9   9   3   2  87
1996     9   3   7   5  18   9  10   8   7   5  11   9 101
1997     9   5   4   6   7   5   9  14   6   5   6   4  80
1998    10   6  12   9   9  12   8  12   6  10   4   3 101
1999    13   4   7  13  12  11  10   4   5   4   2   4  89
2000     6   8   6   6  15  14   8   9   4  11   8   8 103
2001     6   7   4   8  13   9   8   9   7   3   5   5  84
2002    10   8  10  10   9   9   9  10  13  14   5   3 110
2003    12   9  11   8  12  13   7   2   7   3   6   9  99
2004     9  10  10   5  18  16   9   9   7   9   6   5 113
2005    11   9   7  14  15  14   9   0   0   0   0   0  79
STDDEV   3   2   3   3   4   3   3   3   3   4   3   2  14
AVG      6   5   7   9  11  10   9   8   8   6   5   5  89
