# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA5769] MOUNT-AYR
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# LENGTH OF SEASON FOR STATION NUMBER  ia5769   BASE TEMP=26
 LAST SPRING OCCURENCE FIRST FALL OCCURENCE  LENGTH OF SEASON
   YEAR MONTH DAY DOY         MONTH DAY DOY
   1951   4    17 107          10    24 297          190
   1952   4    11 102          10     6 280          178
   1953   4    20 110          10    27 300          190
   1954   4     4  94          10    31 304          210
   1955   3    28  87          10    16 289          202
   1956   4    24 115          11     9 314          199
   1957   4    14 104          10    25 298          194
   1958   4    29 119          11     6 310          191
   1959   3    22  81          11     5 309          228
   1960   4    10 101          10    20 294          193
   1961   4    18 108          10    20 293          185
   1962   4    16 106          10    24 297          191
   1963   3    22  81          10    29 302          221
   1964   4     9 100          10     9 283          183
   1965   4    16 106          10    12 285          179
   1966   4    21 111          10    16 289          178
   1967   4    24 114          10    28 301          187
   1968   4    25 116          10     4 278          162
   1969   4     6  96          10    14 287          191
   1970   4     4  94          11    15 319          225
   1971   4     6  96          11     4 308          212
   1972   4     8  99          10    19 293          194
   1973   4    13 103          11     5 309          206
   1974   4     8  98          10     7 280          182
   1975   4    11 101          11    13 317          216
   1976   3    18  78          10    16 290          212
   1977   4     6  96          11    11 315          219
   1978   3    27  86          11    14 318          232
   1979   4     6  96          10    13 286          190
   1980   4    12 103          10    26 300          197
   1981   3    20  79          10    23 296          217
   1982   4    10 100          10    21 294          194
   1983   4    18 108          11    23 327          219
   1984   4     1  92           9    29 273          181
   1985   4     1  91          11     7 311          220
   1986   3    20  79          10    14 287          208
   1987   4     4  94          10    11 284          190
   1988   4    19 110          10    26 300          190
   1989   4    19 109          10    20 293          184
   1990   4    18 108          10    25 298          190
   1991   3    30  89          10    19 292          203
   1992   4    12 103          10    17 291          188
   1993   4     5  95          10    30 303          208
   1994   4     7  97          10    26 299          202
   1995   4     5  95          11     3 307          212
   1996   4    10 101          10    31 305          204
   1997   4    18 108          10    22 295          187
   1998   3    24  83          11     6 310          227
   1999   3    26  85          10    18 291          206
   2000   4     8  99          10     7 281          182
   2001   4     1  91          10    27 300          209
   2002   4     5  95          10    16 289          194
   2003   4    10 100          11     6 310          210
   2004   3    31  91          11    12 317          226
             MEAN= 98              MEAN=298     MEAN=200
