# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA5796] MOUNT-PLEASANT
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
#DAILY MEAN HIGHS AND LOWS FOR STATION NUMBER  ia5796
    JAN     FEB    MARCH   APRIL    MAY     JUNE    JULY    AUG     SEPT    OCT     NOV     DEC
DY  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1  31  15  32  15  44  23  56  35  68  45  77  55  85  63  85  62  82  59  73  48  57  39  41  25
  2  32  17  31  13  43  24  57  36  70  46  75  55  85  63  86  64  83  59  72  47  55  37  43  26
  3  31  14  31  13  43  25  56  36  69  46  77  53  85  63  86  64  82  60  71  47  54  35  42  25
  4  29  12  32  13  44  24  55  34  70  48  78  56  84  63  85  63  81  58  70  46  52  35  41  25
  5  30  12  33  15  41  24  57  35  72  49  80  57  84  62  83  62  80  56  69  46  51  33  42  25
  6  31  14  32  15  43  22  60  35  70  47  80  59  85  62  83  62  80  58  67  45  51  33  39  22
  7  28  11  32  13  42  23  61  36  69  47  81  58  86  64  84  62  82  57  67  43  53  33  38  21
  8  28  11  32  15  43  23  57  37  70  48  80  59  86  65  84  63  80  58  68  45  53  33  37  21
  9  29  11  34  15  44  23  58  35  70  48  80  58  86  64  84  62  80  58  67  44  53  33  35  19
 10  28  11  34  18  46  25  58  35  72  48  82  58  86  63  84  62  79  55  67  42  52  30  36  19
 11  30  12  33  16  46  28  60  38  72  49  81  60  86  64  83  60  79  54  68  44  51  31  35  19
 12  31  13  33  16  46  28  59  38  71  49  82  60  86  65  82  60  79  55  69  44  50  31  34  18
 13  32  14  37  18  46  28  60  38  71  49  83  60  87  65  84  61  78  55  68  45  51  32  35  17
 14  32  15  37  19  48  27  61  39  73  50  82  61  86  65  84  62  76  54  68  45  51  32  34  18
 15  30  12  36  19  47  26  63  40  73  51  81  60  86  64  84  62  75  53  68  45  52  33  35  19
 16  31  11  35  17  48  27  64  41  74  52  81  59  86  63  84  63  74  52  67  44  51  32  34  17
 17  31  11  37  18  47  28  65  41  75  52  82  59  87  64  85  62  75  53  66  42  51  32  33  17
 18  30  13  39  22  48  29  66  43  75  53  83  61  87  66  84  62  76  53  63  40  50  32  33  16
 19  31  13  39  22  48  30  65  44  75  52  84  61  87  67  83  62  75  54  63  39  49  30  34  18
 20  29  12  41  20  49  30  65  44  75  52  83  62  86  66  83  61  75  52  63  40  47  30  32  16
 21  31  14  39  21  48  28  65  43  75  52  82  61  86  65  83  61  73  50  65  42  46  27  32  15
 22  33  16  39  20  51  29  66  42  74  53  82  61  85  65  83  60  73  49  65  41  48  28  33  17
 23  32  13  39  23  51  30  65  43  74  53  82  60  86  64  82  61  70  47  62  42  47  27  33  17
 24  32  13  40  21  50  29  66  43  74  53  83  61  85  64  83  60  71  48  61  40  45  26  33  15
 25  31  13  41  22  50  30  68  44  74  53  85  61  86  64  83  60  72  49  61  40  45  28  32  15
 26  30  11  42  23  51  30  69  46  74  53  84  62  86  64  84  61  73  48  61  39  45  27  33  16
 27  28  11  41  23  54  31  68  46  75  53  84  62  86  64  84  62  72  48  60  40  43  26  33  17
 28  29  11  42  23  55  35  67  44  74  54  85  63  86  64  84  62  73  48  59  37  38  21  34  18
 29  30  12  44  22  53  34  68  45  76  54  86  63  85  63  85  61  73  48  60  37  40  23  34  18
 30  30  11 *** ***  54  33  68  45  77  55  85  63  85  63  84  62  73  48  59  39  41  22  32  15
 31  33  12 *** ***  56  34 *** ***  78  55 *** ***  86  64  83  60 *** ***  59  40 *** ***  31  15
