# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA5796] MOUNT-PLEASANT
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE MONTHLY PRECIP TOTALS 1951-2006 FOR STATION # ia5796
 YEAR   JAN   FEB  MARCH APRIL  MAY  JUNE  JULY AUGUST SEPT   OCT   NOV   DEC   ANN
 1951  0.87  2.35  5.53  2.76  6.49  7.36  4.42  4.72  0.90  3.22  1.41  1.17 41.20
 1952  1.20  1.12  4.24  2.99  2.81  6.56  2.31  6.26  0.75  0.10  2.27  1.94 32.55
 1953  0.86  0.00  3.87  1.91  1.71  3.46  1.61  1.07  0.72  0.59  0.44  1.68 17.92
 1954  0.18  1.24  3.19  7.59  2.72  4.45  0.55  6.00  1.34  6.43  0.55  2.15 36.39
 1955  2.29  1.51  0.60  5.06  4.60  3.64  1.65  2.41  3.03  2.59  0.26  0.43 28.07
 1956  0.31  0.92  0.30  1.63  1.23  5.04  5.70  3.52  0.87  0.93  1.23  1.11 22.79
 1957  1.20  0.51  2.25  4.60  3.24  3.90  2.07  4.31  2.41  3.44  2.94  3.13 34.00
 1958  1.83  0.10  0.19  2.08  3.16  4.89  7.64  2.60  3.85  1.25  3.11  0.44 31.14
 1959  0.89  1.76  4.47  3.06  3.68  3.89  3.44  2.42  8.74  5.37  0.58  1.77 40.07
 1960  2.61  1.50  2.20  3.50  5.78  4.82  3.18  5.71  1.89  5.04  0.35  0.44 37.02
 1961  0.20  1.84  4.63  1.05  1.34  0.77  7.37  1.41 10.51  3.26  4.01  1.57 37.96
 1962  1.67  1.94  1.31  1.16  4.48  2.83  5.17  1.24  2.16  5.40  1.13  0.35 28.84
 1963  0.72  0.42  2.81  4.12  1.85  1.28  8.62  5.49  1.78  1.16  2.18  0.33 30.76
 1964  1.27  0.39  1.51  5.74  1.49  4.47  3.47  1.64  3.10  0.14  2.71  0.86 26.79
 1965  3.31  0.46  3.21  5.90  1.83  3.76  5.76  7.35 12.16  0.99  1.89  2.83 49.45
 1966  0.68  0.34  1.37  4.88  4.86  4.90  1.33  0.93  2.03  4.21  0.58  1.92 28.03
 1967  3.11  0.63  1.91  5.55  3.70  3.96  4.77  3.42  3.55  7.30  1.89  1.41 41.20
 1968  0.66  0.33  1.57  3.46  1.69  2.72  4.10  1.85  6.80  1.05  2.87  1.95 29.05
 1969  3.33  0.79  1.04  3.03  3.33  5.84  5.36  2.97  2.77  5.43  0.19  1.38 35.46
 1970  0.32  0.20  0.00  2.77  3.11  3.82  3.19 10.60 10.08  2.18  1.16  1.91 39.34
 1971  1.60  1.70  0.94  1.54  1.91  2.32  5.30  2.57  3.44  2.50  2.16  4.50 30.48
 1972  0.74  0.95  2.04  3.04  2.62  7.14  3.43  3.12  3.17  0.00  2.51  1.68 30.44
 1973  2.45  1.52  4.97 10.97  8.39  4.96  6.86  2.42 11.78  3.20  1.19  2.93 61.64
 1974  3.19  0.97  3.15  1.74  7.45  4.02  5.34  4.22  0.61  2.30  2.75  1.22 36.96
 1975  1.56  1.92  2.59  2.14  3.83  4.11  1.15  7.78  2.37  0.33  3.00  1.94 32.72
 1976  0.73  0.79  3.38  5.36  3.59  4.06  4.88  2.36  2.46  2.32  0.40  0.28 30.61
 1977  0.86  0.43  4.77  1.43  2.93  1.53  2.30  9.13  5.30  3.77  2.76  1.28 36.49
 1978  0.65  0.66  1.35  5.16  7.61  3.59  5.35  7.02  3.97  2.04  2.67  2.09 42.16
 1979  2.87  0.83  4.48  3.33  2.24  2.79  2.39  6.23  0.29  3.39  2.21  1.42 32.47
 1980  1.07  1.33  2.11  1.60  1.65  7.47  6.05 11.34  5.40  2.19  0.68  2.88 43.77
 1981  0.04  1.75  0.16  5.24  3.41  6.08  5.78  2.89  3.45  4.12  4.59  1.11 38.62
 1982  1.86  0.71  4.27  2.42  5.28  4.80  7.60  4.70  4.04  2.94  3.38  5.53 47.53
 1983  0.35  1.80  2.36  4.00  3.27  1.57  0.64  2.99  8.88  2.36  4.00  2.44 34.66
 1984  0.49  0.71  2.14  3.40  6.26  4.96  7.69  0.85  6.62  6.96  4.01  2.59 46.68
 1985  1.30  2.28  3.12  0.78  5.22  3.16  4.44  1.61  3.16  6.28  5.55  1.44 38.34
 1986  0.13  2.46  1.08  1.07  7.15  1.94 10.38  3.73 12.05  5.72  1.64  0.89 48.24
 1987  0.59  0.25  4.35  1.73  1.45  1.95  1.35  7.35  2.30  0.25  4.60  3.15 29.32
 1988  1.80  1.00  2.09  2.73  1.60  0.68  1.30  3.35  2.85  0.90  2.80  0.80 21.90
 1989  1.25  1.15  0.75  1.90  2.27  5.80  4.05  6.40  5.79  2.00  0.05  1.28 32.69
 1990  1.45  2.15  6.10  1.75  5.30  6.97  8.55  1.90  1.80  1.00  2.40  2.40 41.77
 1991  1.30  0.44  4.90  2.41  6.64  1.27  1.15  3.16  2.35  4.80  6.59  1.66 36.67
 1992  0.80  1.65  1.46  3.70  2.72  0.82 13.19  1.95  5.21  0.62  6.35  3.23 41.70
 1993  1.26  1.59  2.82  3.65  5.03 14.10 13.25  7.78  5.54  0.45  1.45  0.65 57.57
 1994  0.91  2.22  0.30  2.68  2.15  4.07  1.42  2.60  2.45  1.25  4.87  1.37 26.29
 1995  1.85  0.98  0.75  6.30  8.10  3.57  5.57  4.95  3.20  1.75  2.85  0.35 40.22
 1996  2.20  0.92  1.48  2.70 11.45  1.59  2.75  2.74  1.95  1.60  1.33  0.36 31.07
 1997  1.37  3.17  1.60  2.30  3.35  3.55  1.25  4.42  3.41  3.23  1.55  1.62 30.82
 1998  2.40  3.46  5.45  4.95  5.35  5.21  1.34  5.45  4.90  6.15  2.55  1.28 48.49
 1999  2.20  1.24  1.06  5.25  4.39  3.50  3.14  2.00  4.95  1.04  0.12  1.75 30.64
 2000  1.70  1.64  0.95  3.10  2.56  7.44  4.20  0.80  4.10  1.52  1.28  1.60 30.89
 2001  2.50  4.49  2.27  2.82 10.83  4.00  4.00  1.03  4.15  5.47  0.69  1.40 43.65
 2002  0.63  0.98  1.97  3.79  5.31  5.70  1.40  4.79  0.65  4.20  0.19  1.50 31.11
 2003  0.48  1.15  0.75  2.93  5.08  4.60  4.55  2.40  4.70  1.40  2.15  3.20 33.39
 2004  1.28  0.75  3.95  1.45  3.80  4.23  5.65  6.95  0.40  6.09  2.68  1.16 38.39
 2005  2.20  1.22  1.10  3.10  2.55  3.60  2.92 -9.99 -9.99 -9.99 -9.99 -9.99      
 MEAN  1.37  1.27  2.42  3.37  4.11  4.17  4.41  4.05  4.02  2.86  2.22  1.70 35.39
 PRECIPITATION MEANS AND TOTALS ARE BASED ON DATA AVAILABLE
 NO ATTEMPT WAS MADE TO ESTIMATE MISSING PRECIPITATION DATA
 *****************************************************************************************
 *****************************************************************************************
