# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA5796] MOUNT-PLEASANT
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia5796
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     0     3    14    12     2    31        0    10    59    55     3   127
 1952     3    19    21    11     7    61       13   111   123    27    25   299
 1953     4    18    22    18    10    72       19    89   145   156    94   503
 1954     0    20    27    13     8    68        0   104   181    66    46   397
 1955     1     3    28    26     8    66        2     9   202   184    56   453
 1956    10    20    18    14    11    73       26   121    89    55    31   322
 1957     0     8    23    15     2    48        0    19   141    89     5   254
 1958     1     4     2    15     1    23        1    14     3    64     3    85
 1959     3    12    12    21     8    56        6    39    42   113    30   230
 1960     0     3    12    16     8    39        0     8    50    64    84   206
 1961     1    11    10    15     8    45        2    53    42    62    29   188
 1962     7     8    10    16     3    44       16    31    37    85    13   182
 1963     3    18    18    13     6    58       11   120    78    46    13   268
 1964     4    12    23    13     5    57       17    49   131    81    21   299
 1965     4     3    11    11     1    30        8    13    52    58     2   133
 1966     3    10    22    11     2    48        3    36   179    39     9   266
 1967     3     3    13     2     0    21       13     9    45     4     0    71
 1968     2    18    14    15     1    50        4    67    73    95     3   242
 1969     2     6    15    12     0    35        4    16    61    41     0   122
 1970     1     5    19     9     3    37        1    23   127    35     5   191
 1971     0    18    13    12    12    55        0    96    30    48    49   223
 1972     7     8    14    13     5    47       14    27    48    73    18   180
 1973     0     7    12     9     1    29        0    22    40    25     3    90
 1974     0     3    20     4     0    27        0     8   117     9     0   134
 1975     3    10    23    16     2    54        4    26    89    87    12   218
 1976     0     8    14     8     3    33        0    20    81    22     3   126
 1977     3    12    26     7     0    48        6    52   199    14     0   271
 1978     1    11    11    11     8    42        2    30    26    22    26   106
 1979     3     7     8    12     4    34        4    13    14    58     8    97
 1980     2     7    24    18     5    56        2    22   159    73    18   274
 1981     0     4    10     6     5    25        0     8    44    14     7    73
 1982     0     2    13     5     1    21        0     3    34    29     1    67
 1983     0     8    28    27    10    73        0    40   241   283    55   619
 1984     0     5    13    16     8    42        0    16    56    71    42   185
 1985     2     5    16     6    10    39        7    21    53    20    60   161
 1986     0     9    15     2     4    30        0    35    52     5     5    97
 1987     7    14    23     9     0    53       10    89   166    64     0   329
 1988     2    13    24    16     3    58        3    90   150   185    12   440
 1989     2     2    11     5     0    20        2     3    67    18     0    90
 1990     0     1     5     7     8    21        0     1    22    26    36    85
 1991     1    11    14    12     6    44        2    42   106    62    29   241
 1992     0     6     4     4     0    14        0    18     9    10     0    37
 1993     0     2     5    11     1    19        0     4    15    33     2    54
 1994     0    10     9     8     6    33        0    38    28    40    18   124
 1995     0     8    12    15     0    35        0    25    63    58     0   146
 1996     2    10     7     7     1    27        5    27    27    30     1    90
 1997     1     5    13     8     2    29        1     9    77    26     6   119
 1998     3     6    11     8     7    35        4    27    31    25    26   113
 1999     0     7    22     5     7    41        0    12   158    20    33   223
 2000     2     4     5    16    10    37        2     8     9    58    62   139
 2001     0     4    15    13     3    35        0     9    87    83     8   187
 2002     1    11    22     9     8    51        2    26   105    45    29   207
 2003     0     2    13    12     0    27        0    11    45   107     0   163
 2004     1     3     4     4     2    14        1     8    14    11     3    37
 2005     1    11    21     0     0    33        1    59   166     0     0   226
 **************************************************************************************
MEANS   1.7   8.3  15.2  11.3   4.3  40.8      4.0  34.3  81.6  57.7  19.0 196.5
