# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA5837] MUSCATINE
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
  RECORD LARGEST AND SMALLEST DAILY RANGES (MAX-MIN) FOR STATION NUMBER  ia5837
     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC
 DY  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1  36   2  38   5  41   5  41   6  42  10  34   6  35   8  32   8  36  11  48   5  41   3  37   3
  2  33   3  41   5  41   5  50   6  39   7  32   3  30  13  33   7  36   8  39   7  34   2  41   2
  3  34   2  33   2  34   4  42   4  37  12  38   5  31   6  34   7  36  10  39   6  38   4  28   5
  4  37   3  40   4  39   4  45   9  38   4  35   8  32  10  33  10  36  11  38   7  38   5  31   5
  5  41   3  34   3  35   4  46   6  39   6  35   8  32   7  28   8  35  12  38   5  33   3  32   2
  6  33   2  43   2  42   3  37   8  39   3  40  10  36   8  38   8  40   9  37   5  39   3  33   3
  7  34   6  36   3  38   5  43   7  37   5  40   6  29   8  38   7  33  11  41   5  38   4  30   4
  8  39   3  33   4  41   3  42   4  39   4  37   9  30  12  38   6  39   6  39   9  38   4  32   4
  9  35   4  33   6  41   4  40   8  40   4  34   7  32  12  34  11  42   4  37   4  36   4  33   4
 10  38   5  38   5  39   2  44   8  36   9  36   8  32  12  38  10  45   8  39   6  38   3  36   2
 11  39   4  40   3  40   4  46   3  38   9  38   5  32   7  33  11  40   5  43   7  34   2  30   3
 12  37   3  40   3  34   4  35   3  38   6  32   6  32   9  31   8  43  10  40   9  44   5  30   3
 13  30   4  39   4  34   4  42   6  42   9  37  10  31   9  32   7  39   9  42   9  43   4  38   4
 14  32   4  33   2  36   6  41   7  42   7  37  11  31   6  37  11  37   6  38   6  36   3  33   1
 15  44   3  35   4  39   6  36   9  38  10  36  11  31  11  36  10  38   8  41   5  35   5  30   3
 16  40   4  38   4  39   4  38   7  44   8  31  11  31  12  33   8  38   8  42   6  38   3  34   3
 17  30   3  37   3  42   5  51   9  36   6  33  14  32   9  34   9  38   6  35   5  35   3  34   2
 18  52   5  40   4  37   5  39   8  47   7  32  10  31  10  32   9  38   8  44   6  41   4  32   3
 19  48   4  37   1  38   4  40   6  37   6  30  11  34   7  30   8  37   4  40   4  40   4  36   2
 20  45   2  35   5  36   5  37   6  42  11  34   8  28   6  35   8  34   6  37   6  37   4  29   2
 21  44   2  37   4  37   2  39   8  37  11  34   8  30   5  33   9  37   6  36   5  31   4  41   3
 22  41   2  34   4  46   4  37  10  34  11  31   7  37   9  34  11  40  10  41   5  30   2  32   3
 23  58   3  34   2  41   2  39   9  36   9  33   6  34  10  30  11  41   7  39   5  32   4  29   3
 24  39   2  36   4  40   5  37   8  35   7  31   3  33   9  32  11  43   4  45   3  38   2  43   3
 25  37   5  34   5  36   5  37   8  35   5  33  14  30   6  35   8  45   8  41   4  31   4  43   4
 26  35   2  35   3  45   5  35   5  40   6  34   8  31   6  33   8  43   7  39   2  32   4  38   2
 27  33   5  34   4  44   5  37   7  35   6  37   9  41   9  32   6  43   9  43   6  36   4  30   4
 28  39   4  38   5  42   5  38   8  35   3  39   5  34  11  34  10  44   5  38   5  35   3  34   2
 29  36   2  34   5  35   7  44   6  38   8  36   7  31  13  37   9  37  11  41   5  33   3  42   4
 30  31   1  **  **  44   5  41   8  33  12  31   8  33   9  34   8  38   9  44   4  39   3  38   3
 31  36   4  **  **  48   2  **  **  36   9  **  **  35   6  37  12  **  **  43   5  **  **  34   1
