# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA5837] MUSCATINE
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# LENGTH OF SEASON FOR STATION NUMBER  ia5837   BASE TEMP=28
 LAST SPRING OCCURENCE FIRST FALL OCCURENCE  LENGTH OF SEASON
   YEAR MONTH DAY DOY         MONTH DAY DOY
   1951   4    17 107          11     1 305          198
   1952   4    11 102          10     6 280          178
   1953   4    20 110          10    29 302          192
   1954   4     4  94          10    30 303          209
   1955   3    29  88          11     3 307          219
   1956   4    24 115          11     9 314          199
   1957   4    14 104          10    27 300          196
   1958   4    29 119          11     7 311          192
   1959   4    13 103          11     5 309          206
   1960   4    10 101          10    20 294          193
   1961   4    16 106          11     3 307          201
   1962   4    16 106          10    25 298          192
   1963   3    22  81          11     2 306          225
   1964   4     4  95          10    20 294          199
   1965   3    31  90          10    24 297          207
   1966   4     9  99          11     2 306          207
   1967   4    24 114          10    28 301          187
   1968   4     1  92          10    25 299          207
   1969   3    31  90          10    23 296          206
   1970   4     4  94          11    15 319          225
   1971   4     6  96          11     4 308          212
   1972   4     8  99          10    19 293          194
   1973   4    13 103          11     5 309          206
   1974   4     8  98          10     2 275          177
   1975   4    12 102          10    19 292          190
   1976   4    12 103          10    16 290          187
   1977   4     6  96          11    11 315          219
   1978   3    27  86          11     7 311          225
   1979   4     7  97          10    13 286          189
   1980   4    16 107          10    25 299          192
   1981   4     6  96          10    23 296          200
   1982   4    21 111          10    22 295          184
   1983   4    20 110          11     5 309          199
   1984   5     8 129           9    29 273          144
   1985   4     9  99          11     5 309          210
   1986   4    22 112          10    15 288          176
   1987   4     4  94          10     3 276          182
   1988   4    24 115          10     5 279          164
   1989   4    19 109          10     4 277          168
   1990   4    18 108          10    22 295          187
   1991   3    30  89          10    16 289          200
   1992   4     2  93          10    17 291          198
   1993   4    17 107          10    31 304          197
   1994   4     7  97          11    16 320          223
   1995   4     5  95          10    22 295          200
   1996   4    10 101          10    19 293          192
   1997   4    17 107          10    22 295          188
   1998   3    24  83          11     5 309          226
   1999   3    27  86          10    24 297          211
   2000   4    12 103          10     7 281          178
   2001   4     1  91          10    17 290          199
   2002   4     5  95          10    20 293          198
   2003   4    10 100          10     2 275          175
   2004   3    22  82          10     5 279          197
             MEAN=100              MEAN=296     MEAN=196
