# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA5837] MUSCATINE
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE MONTHLY HEATING DEGREE DAYS 1951-2006 FOR STATION # ia5837
 YEAR    JAN    FEB  MARCH  APRIL    MAY   JUNE   JULY AUGUST   SEPT   OCT   NOV   DEC
 1951   1361   1074   1019    530     98     36      2      4    115    335    947   1236
 1952   1234    949    938    394    172      4      0      5     74    513    684   1057
 1953   1193    928    814    538    164      0      0      0     70    233    649   1057
 1954   1262    759    918    332    250     34      0      0     40    367    690   1089
 1955   1286   1093    855    210     84     38      0      0     62    331    906   1251
 1956   1294   1087    864    488    112     16      0      9     91    137    750   1077
 1957   1443    892    827    405    140     13      0      0     96    403    776    985
 1958   1257   1306    879    401    110     27      2     12     66    288    655   1313
 1959   1504   1100    857    432    104      7      4      0     81    443    993    944
 1960   1250   1246   1307    376    185     20      1      0     44    319    667   1202
 1961   1306    918    780    599    222     14      0      0    105    285    725   1268
 1962   1501   1139   1006    459     66     24      3      0    104    294    717   1216
 1963   1655   1243    710    324    160      6      3      7     54     77    605   1516
 1964   1095   1032    907    390     57     15      1     22     81    360    609   1233
 1965   1323   1106   1143    451     77      7      0     20    109    317    678    894
 1966   1513   1063    731    495    254     19      0      4     99    327    663   1129
 1967   1166   1203    772    390    279      4     22     15    110    390    825   1068
 1968   1291   1156    651    359    209     15      2      5     49    334    777   1195
 1969   1426   1005    959    346    154     62      0      0     58    421    757   1222
 1970   1557   1069    931    409     94     26      2      0     77    301    765   1104
 1971   1492   1090    886    389    209      0     10      0     81    153    702   1010
 1972   1407   1236    875    497    141     29      8      8     78    431    834   1305
 1973   1165    960    586    446    192      0      0      0     75    192    694   1249
 1974   1326    995    774    328    198     30      0      9    149    295    730   1097
 1975   1217   1090   1036    560     86      8      9      0    158    276    558   1058
 1976   1361    829    725    342    189      3      0      5     93    513    971   1388
 1977   1720   1003    637    269     45     10      0      5     39    386    765   1301
 1978   1627   1345    973    392    211      7      0      3     38    371    745   1254
 1979   1742   1380    861    529    149     11      3     10     63    346    789   1000
 1980   1250   1245    926    447    119     24      0      0     72    461    723   1133
 1981   1208    981    741    290    215      1     15      6     78    394    668   1194
 1982   1651   1168    949    563     59     28      0      7    103    352    771    967
 1983   1179    926    799    584    206     12      2      0     97    352    704   1619
 1984   1378    904   1054    504    216      1      2      6    155    310    756   1066
 1985   1556   1205    723    338     80     30      0      4    130    339    904   1536
 1986   1225   1173    693    318    110      0      0     23     50    373    909   1108
 1987   1229    847    697    322     59      5      0     16     61    496    623   1041
 1988   1359   1225    777    373     45     11      0     14     66    577    781   1149
 1989   1027   1348    881    464    195     20      0      1    127    322    755   1496
 1990    978    913    654    436    177     19      1      0     83    365    573   1237
 1991   1429    912    680    306    103      0      0      0    128    356    921   1047
 1992   1079    863    708    426    150     16      0     32    125    373    833   1149
 1993   1252   1154    911    475     95     50      0      2    154    400    792   1100
 1994   1546   1174    745    374    142     11      0      5     69    275    630    965
 1995   1344   1033    729    477    166      5      4      0    122    335    936   1188
 1996   1354   1137    963    450    227     21      0      0    103    308    948   1202
 1997   1446    975    721    508    243      4      2      2     43    377    829   1095
 1998   1167    730    802    369     37     43      0      0     21    298    627    983
 1999   1359    817    830    323     81     14      0      1    112    312    551   1079
 2000   1244    851    584    351     78     16      0      0     84    240    859   1581
 2001   1318   1130    928    243    117     41      0      0     98    363    425    963
 2002   1011    889    869    418    202      6      0      2     40    472    817   1022
 2003   1317   1158    853    339    140     28      0      0    109    318    729   1020
 2004   1333   1084    657    329     89     13      1     37     35    323    616   1064
 2005   1271    849    792    281    182      0      0      0      0      0      0      0
 MEAN   1336   1054    834    407    144     16      2      6     86    343    746   1162
