# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA5952] NEW-HAMPTON
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
#DAILY MEAN HIGHS AND LOWS FOR STATION NUMBER  ia5952
    JAN     FEB    MARCH   APRIL    MAY     JUNE    JULY    AUG     SEPT    OCT     NOV     DEC
DY  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1  24   9  24   7  36  18  49  30  65  41  73  52  81  59  82  60  77  55  69  45  52  34  34  19
  2  25   8  24   6  35  19  51  31  66  43  73  51  81  60  82  61  79  57  68  45  50  32  35  20
  3  24   7  24   6  35  18  50  31  66  44  74  51  81  60  82  61  77  57  67  44  50  31  35  19
  4  23   5  26   7  36  18  49  29  67  44  76  53  81  61  80  60  77  54  65  42  47  30  35  18
  5  23   4  26   8  35  19  51  30  67  45  77  54  81  59  80  60  76  54  65  43  47  29  34  18
  6  22   6  25   8  36  17  53  31  66  43  78  55  82  59  81  60  76  55  63  42  46  29  31  15
  7  20   3  26   7  35  16  54  32  66  44  77  56  82  61  81  60  78  54  63  40  48  28  30  16
  8  22   4  26   9  35  17  51  32  67  45  78  55  82  62  80  60  76  54  63  42  47  28  30  16
  9  22   4  28   9  37  18  53  31  67  44  77  55  81  61  80  59  76  55  62  41  46  28  29  13
 10  22   3  28  12  38  20  53  31  68  45  78  56  81  60  80  59  75  52  63  39  46  27  29  13
 11  23   5  27   9  39  22  54  33  68  46  78  57  82  61  79  57  75  51  64  41  45  27  29  12
 12  24   8  28  10  39  22  54  34  68  45  79  57  82  62  80  58  74  52  63  41  44  27  29  12
 13  25   9  29  12  39  23  55  34  69  45  80  57  82  62  80  59  73  52  63  41  45  28  28  12
 14  25   9  31  12  40  22  56  35  70  47  79  58  81  61  80  59  71  50  64  42  44  27  28  13
 15  23   6  30  13  39  21  58  35  71  47  77  57  82  60  80  58  70  49  63  41  46  27  28  12
 16  23   5  29  11  40  22  59  37  71  48  77  56  83  61  81  59  70  48  62  39  45  27  29  11
 17  23   6  31  13  40  23  60  36  72  49  79  57  83  63  81  59  72  50  61  39  45  28  26  11
 18  24   6  32  17  40  23  61  38  72  49  79  58  84  64  80  59  72  51  58  37  44  27  27  11
 19  24   6  31  15  41  25  61  39  72  49  80  58  82  63  80  59  71  50  58  35  43  25  27  11
 20  23   5  33  15  41  24  60  40  73  49  79  58  82  62  80  57  69  49  59  37  40  24  26  10
 21  25   7  31  15  42  23  62  38  73  50  79  58  82  62  80  59  68  47  60  38  40  22  25   9
 22  26   9  33  15  44  24  61  38  72  50  79  57  82  62  79  58  67  46  61  38  40  23  26  11
 23  25   7  33  17  44  25  61  39  71  50  79  57  82  61  78  58  65  43  57  39  39  22  26  11
 24  24   6  33  15  43  24  62  38  71  49  81  58  82  60  78  58  67  44  57  36  38  20  25   8
 25  23   6  33  14  44  25  63  41  70  50  81  59  83  62  79  58  69  45  56  36  38  22  24   8
 26  22   4  34  16  45  25  65  41  70  50  82  59  82  61  79  59  70  45  57  35  36  21  26   9
 27  22   4  34  18  48  27  64  42  71  50  81  60  82  61  80  60  68  45  57  36  35  18  27  10
 28  22   5  34  17  48  30  63  40  72  51  82  60  81  61  80  58  68  44  55  34  31  16  28  11
 29  23   6  35  15  46  29  63  41  73  52  82  61  82  60  80  59  68  45  55  34  32  17  27  10
 30  24   4 *** ***  49  29  64  41  74  52  81  60  81  61  80  59  69  44  55  35  34  17  25   9
 31  25   4 *** ***  50  30 *** ***  74  52 *** ***  82  60  78  57 *** ***  53  35 *** ***  25   9
