# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA5952] NEW-HAMPTON
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# LENGTH OF SEASON FOR STATION NUMBER  ia5952   BASE TEMP=26
 LAST SPRING OCCURENCE FIRST FALL OCCURENCE  LENGTH OF SEASON
   YEAR MONTH DAY DOY         MONTH DAY DOY
   1951   4    23 113          10    31 304          191
   1952   4    16 107          10     5 279          172
   1953   4    21 111          10    29 302          191
   1954   4    12 102          10    30 303          201
   1955   4     7  97          10    24 297          200
   1956   4    30 121          11     9 314          193
   1957   4    14 104          10    20 293          189
   1958   4    29 119          10    31 304          185
   1959   4    13 103          10    12 285          182
   1960   4    18 109          10    19 293          184
   1961   4    16 106          10    26 299          193
   1962   4    16 106          10    23 296          190
   1963   4    24 114          10    29 302          188
   1964   4    15 106          10     9 283          177
   1965   3    31  90          10    24 297          207
   1966   5     9 129          10    11 284          155
   1967   5     3 123          10    19 292          169
   1968   4     5  96          10    29 303          207
   1969   3    31  90          10    23 296          206
   1970   4    10 100          10    16 289          189
   1971   4     6  96          11     4 308          212
   1972   4     9 100          10    18 292          192
   1973   4    13 103          11     5 309          206
   1974   5     6 126           9    22 265          139
   1975   4    11 101          10    29 302          201
   1976   3    22  82          10     8 282          200
   1977   4     6  96          11    11 315          219
   1978   3    25  84          11     7 311          227
   1979   4    10 100          11     2 306          206
   1980   4    11 102          10    28 302          200
   1981   4     6  96          10    19 292          196
   1982   4    11 101          10    21 294          193
   1983   4    19 109          11    12 316          207
   1984   3    29  89          10    23 297          208
   1985   4     9  99          11     4 308          209
   1986   4    22 112          11     2 306          194
   1987   4     4  94          10    11 284          190
   1988   4    19 110          10    12 286          176
   1989   5     6 126          10    19 292          166
   1990   4    17 107          11     7 311          204
   1991   3    30  89          10     7 280          191
   1992   4    12 103          10    17 291          188
   1993   4     5  95          10    10 283          188
   1994   4     7  97          11     1 305          208
   1995   4     5  95          10    22 295          200
   1996   4     9 100          10    28 302          202
   1997   4    17 107          10    22 295          188
   1998   3    24  83          11     4 308          225
   1999   3    26  85          10     4 277          192
   2000   4    12 103          10     7 281          178
   2001   4    18 108          10    17 290          182
   2002   4     6  96          10    16 289          193
   2003   4     9  99          10     2 275          176
   2004   4    13 104          10    17 291          187
             MEAN=102              MEAN=295     MEAN=193
