# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA5952] NEW-HAMPTON
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE MONTHLY COOLING DEGREE DAYS 1951-2006 FOR STATION # ia5952
 YEAR    JAN    FEB  MARCH  APRIL    MAY   JUNE   JULY AUGUST   SEPT   OCT   NOV   DEC
 1951      0      0      0      2     25     36    177    110      9     17      0      0
 1952      0      0      0      3     30    191    238    120     62      0      0      0
 1953      0      0      0      0     37    165    193    172     45     24      0      0
 1954      0      0      0      0     12    205    254    133     63      6      0      0
 1955      0      0      0      0     39     70    367    290     85      6      0      0
 1956      0      0      0      0     42    226    119    173     17      9      0      0
 1957      0      0      0      2     11     97    302    177     18      0      0      0
 1958      0      0      0      2     18     46    105    185     35      3      0      0
 1959      0      0      0      0     52    143    163    252     73      0      0      0
 1960      0      0      0      9      3     53    157    165     94      2      0      0
 1961      0      0      0      0     20    125    134    164     60      0      0      0
 1962      0      0      0      2     77     90    103    107     17      9      0      0
 1963      0      0      0      0     21    178    152     91     37     31      0      0
 1964      0      0      0      0     33    116    298    148     54      0      0      0
 1965      0      0      0      0     41     73    170    159      8      7      0      0
 1966      0      0      0      0     18    123    257    107     32      5      0      0
 1967      0      0      1      2     30     94    151     76     13      9      0      0
 1968      0      0      0      0     11    137    185    194     28     27      0      0
 1969      0      0      0      0     44     39    225    183     35     12      0      0
 1970      0      0      0     23     62    152    216    147     68      7      0      0
 1971      0      0      0      1      5    232    112    119    110     21      0      0
 1972      0      0      0      0     68    105    158    196     41      0      0      0
 1973      0      0      0      0      1    153    218    200     42     11      0      0
 1974      0      0      0      7     14     65    296    104     23      0      0      0
 1975      0      0      0      0     62    141    248    208     27     24      0      0
 1976      0      0      0      3      3    114    258    157     36      9      0      0
 1977      0      0      0     22    118    148    286     97     36      0      0      0
 1978      0      0      0      0     70    158    209    198    144      0      0      0
 1979      0      0      0      0     33    116    213    181     68      4      0      0
 1980      0      0      0     15     72    144    309    222     79      0      0      0
 1981      0      0      0      4      7    126    264    155     34      0      0      0
 1982      0      0      0      0     39     48    277    192     61      3      0      0
 1983      0      0      0      0      2    164    354    360    108     14      0      0
 1984      0      0      0      0     15    166    189    284     96      0      0      0
 1985      0      0      0     31     55    105    238    122    136      0      0      0
 1986      0      0      0     13     28    163    314     95     67      0      0      0
 1987      0      0      0     13     97    235    357    192     40      0      0      0
 1988      0      0      0      0     83    282    336    352     75      1      0      0
 1989      0      0      0      0     31    123    314    216     31      8      0      0
 1990      0      0      0     24      3    159    208    196    131      6      0      0
 1991      0      0      0     10    127    267    252    209     86      0      0      0
 1992      0      0      0      3     46     92     92     72     35      2      0      0
 1993      0      0      0      0     16     88    174    181     18     11      0      0
 1994      0      0      0     13     37    174    136    100     81      0      0      0
 1995      0      0      0      0      1    195    251    322     46      5      0      0
 1996      0      0      0      0     30    153    150    133     51      0      0      0
 1997      0      0      0      0      0    153    220    115     50     53      0      0
 1998      0      0      0      0     95    133    226    210    119      0      0      0
 1999      0      0      0      0     21    151    336    133     45      0      0      0
 2000      0      0      0      0     35     90    204    182    104      4      1      0
 2001      0      0      0      8     46    175    274    225     27      4      0      0
 2002      0      0      0     27     36    200    317    160    101      4      0      0
 2003      0      0      0      9      9    105    205    257     64      5      0      0
 2004      0      0      0     12     26     87    151     82     92      5      0      0
 2005      0      0      0      3      4    209    268      0      0      0      0      0
 MEAN      0      0      0      5     36    138    225    174     58      7      0      0
