# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA5992] NEWTON
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE MONTHLY HEATING DEGREE DAYS 1951-2006 FOR STATION # ia5992
 YEAR    JAN    FEB  MARCH  APRIL    MAY   JUNE   JULY AUGUST   SEPT   OCT   NOV   DEC
 1951   1384   1108   1113    566    110     53      1      3    140    388    969   1332
 1952   1333    937    971    434    182      5      0     11     71    492    746   1154
 1953   1264   1003    844    613    200      6      0      0     68    215    656   1087
 1954   1364    745    978    352    264     39      0      0     41    362    658   1088
 1955   1335   1149    871    219     65     33      0      1     57    326    965   1309
 1956   1352   1146    899    481    127     10      0     13     80    154    783   1112
 1957   1493    940    857    418    146     13      0      1     99    428    850   1012
 1958   1247   1322    934    415     82     24      2     21     50    280    659   1293
 1959   1502   1141    881    432    112     10      6      0    110    470   1023    970
 1960   1350   1285   1327    405    156     12      0      0     78    341    677   1203
 1961   1301    960    814    575    193     11      0      0    140    267    760   1310
 1962   1532   1162   1052    491     43     21      2      1    113    309    702   1182
 1963   1667   1242    720    322    146      3      0      9     50     76    626   1513
 1964   1130   1036    936    415     62     21      0     22    114    391    651   1269
 1965   1399   1191   1244    458     86      2      0     21    130    296    715    911
 1966   1553   1099    717    527    241     20      0      9    103    323    733   1208
 1967   1224   1163    747    395    267      8     15     15     96    401    833   1105
 1968   1340   1187    608    369    198     19      0      4     64    330    842   1267
 1969   1472   1075   1098    365    159     52      0      0     51    452    753   1239
 1970   1645   1041    990    401     96     16      3      0    103    372    794   1157
 1971   1511   1167    933    391    217      1     11      2     80    180    768   1113
 1972   1486   1371    967    502    178     38     16     25    122    516    961   1444
 1973   1338   1051    685    470    234      3      5      1    129    254    810   1375
 1974   1471   1097    828    378    242     40      0     31    207    371    795   1163
 1975   1346   1188   1147    575    117     27      6      0    207    369    761   1221
 1976   1362    882    786    335    194      5      0     15    156    655    997   1386
 1977   1756   1004    656    256     31      2      0     10     38    402    830   1331
 1978   1677   1433    989    429    192     12      2      5     67    386    848   1345
 1979   1809   1460    969    598    192     20      1     18     68    381    837   1078
 1980   1370   1295    958    434    149     22      0      2     90    522    794   1252
 1981   1274   1025    751    289    188      1     15     19    123    548    687   1354
 1982   1795   1185    934    560     81     53      3     14    130    359    823   1056
 1983   1233    956    844    635    257     24      0      0    100    379    737   1667
 1984   1387    866   1075    506    232      0      3      5    159    332    743   1143
 1985   1516   1204    731    312     72     42      0      0    153    360   1013   1606
 1986   1261   1208    722    334    108      1      0     21     44    366    929   1122
 1987   1174    812    691    314     43      5      0     22     43    490    645   1096
 1988   1425   1266    775    394     30      3      0      4     39    509    774   1117
 1989   1013   1371    884    410    161     25      0      1    114    328    868   1517
 1990   1028    944    724    458    195     22      3      0     78    367    626   1319
 1991   1491    898    723    358    116      0      0      4    137    402   1022   1088
 1992   1116    901    719    505    141     10      2     20    129    368    919   1228
 1993   1363   1225    996    515    128     44      1      1    173    431    851   1157
 1994   1637   1236    754    430    120     13      1      9     70    281    692   1088
 1995   1398   1057    785    536    188     19      3      0    138    369    967   1196
 1996   1454   1169   1002    513    250     32      0      0    121    367   1000   1338
 1997   1496   1043    776    530    267      0      3      3     51    419    898   1125
 1998   1240    813    986    457     77     71      0      0     40    361    710   1075
 1999   1498    880    901    442    162     35      0      6    163    432    612   1187
 2000   1331    929    687    451    111     28      4      0    116    299    954   1708
 2001   1367   1315   1121    366    163     60      1      8    158    464    500   1041
 2002   1097    987   1039    531    268      8      0      9     81    571    920   1113
 2003   1443   1272    951    454    218     40      1      0    161    382    880   1122
 2004   1479   1247    766    439    175     45      5     54     48    416    731   1218
 2005   1436    954    926    338    243      0      5      0      0      0      0      0
 MEAN   1399   1103    887    438    158     21      2      8    102    376    802   1224
