# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA5992] NEWTON
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 NUMBER OF RAINY DAYS PER MONTH PER YEAR
YEAR   JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC ANN   
1951     4   9  12  15  11   9   6   7   4  14   4   4  99
1952     5   5  12   5  10  11   9  11   4   0   5   5  82
1953     5   6   8   8   4   8  11   1   4   3   2   7  67
1954     1   3   7  10   6  12   6  12   5  12   3   5  82
1955     9   5   4   7   9   7   7   6   8   8   3   4  77
1956     6   4   4   7   9   8  10  14   4   6   8   7  87
1957     5   3   8  12  13  12   9  11   7   6   7   4  97
1958     3   2   5   8   5  13  15  10   9   3   7   1  81
1959     5   4   7  10  16   5   8  12   9  13   7   8 104
1960     5   4   8  12  13  14   7   7   8   6   4   2  90
1961     2   7  12  12   7   6  13   5  11   6   7   7  95
1962     4  11   9  10   8   8  11   7   7  10   4   5  94
1963     7   5   9  15   9   7   7   5   9   5   5   5  88
1964     2   3   8  11  12   8   9  11  14   2   5   6  91
1965     6   7   7  12  11  12   7  12  18   4   2   4 102
1966     3   2   8   9  11  11   7   6   6   4   2   3  72
1967     3   2   3  10   9  19   7  11   6   9   2   9  90
1968     5   2   4   9   8  10   7   8  12   9   6   6  86
1969     9   3   6   9   0  14  12   5   8  11   2   6  85
1970     4   2   8  11  13   7  10   8  12  11  10   4 100
1971     2   6   2   4   9  11  16   6   6   6   4   7  79
1972     3   6   5   7  10   7   6   6   7   5   6   4  72
1973     3   5  11   0  10   6  11   0  13   9   9   6  83
1974    11   2  11   8  17  12   4  11   5   7   5   4  97
1975     4   6   6  10  10  13   4  12   9   1  15   2  92
1976     3   0   5   9   9  10   8   4   6   6   2   2  64
1977     8   3   9   3   0   7   6  14  12  10   8   3  83
1978     5   7   6   9   8   8  10   9   7   4   6   5  84
1979     6   4   6  11  11   8   8   6   5   6   8   3  82
1980     9   7   4   7   8   9   8  11   9   6   2   3  83
1981     1   7   4  11   8   9   6   9   6   6   0   7  74
1982    10   5  12   9  19   8  13   7   8   8   6   6 111
1983     7   4  10  11  11  11   5   6   9  11  12  11 108
1984     5   6   8  13  12  15  10   3   9  17   6   4 108
1985     7   7   8   7  10  10   7   9  10  10  13   8 106
1986     1   6   7  11  16  11  11   5  17  12   7   3 107
1987     3   1  13   9  12   8   8  12   9   5   8   9  97
1988     3   4   3   9   7   5   3   7  11   5   9   4  70
1989     5   6   5   8  11  10   5  12   8   7   3   7  87
1990     7   5  16  13  14  18  11  10   5   6   8   6 119
1991     5   2  13  14  14   7   6  11   9  10  15   9 115
1992     7   7  12  12   6   4  16   8  11   3  13  11 110
1993     7   9   9  13  16  10  16  17  11   5   5   7 125
1994    10   6   2   9   6  11   7   9   7   6   7   7  87
1995     9   5   8  13  11   8   7   8   7   7   6   4  93
1996     9   2   7   5  17  13   7   7   6   7  12   6  98
1997     5   8   6   8  11   8   7  11   8   8   5  10  95
1998     7  14  12  15  12  16   9  15   5  11   5   3 124
1999     8   7   6  14  14  10  10   8   6   4   3   6  96
2000     6   7   6   9  11  14   8   8   4   7   6  11  97
2001    12   7   8  12  18  10  10   7   8  13   4   6 115
2002     9   8  11  13  14   7  10   8   6  14   3   2 105
2003     7   6  11  13  14  10  10   3   8   6   8   8 104
2004     8  12  17   3  14  15  14  12   5  13  15   6 134
2005    13  11  10  11  10  14   7   0   0   0   0   0  76
STDDEV   3   3   3   3   4   3   3   4   3   4   4   3  15
AVG      6   5   8  10  11  10   9   8   8   7   6   5  94
