# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA6103] NORTHWOOD
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN   0.01-    0.26-    0.51-     1.01-            # OF DAYS
 WK    TIME PERIOD    VAL   RAIN     0.25     0.50     1.00     2.00    >2.01 MISSING TOTAL
  1 3/1-->3/7        0.98   0.26   55(67)   11(13)   16(20)    0( 0)    0( 0)    0       82
  2 3/8-->3/14       1.31   0.28   63(68)   11(12)   15(16)    3( 3)    0( 0)    0       92
  3 3/15-->3/21      1.32   0.24   65(71)    8( 9)   14(15)    4( 4)    0( 0)    0       91
  4 3/22-->3/28      2.06   0.35   51(59)   17(20)   11(13)    6( 7)    1( 1)    0       86
  5 3/29-->4/4       1.43   0.30   58(60)   18(19)   16(17)    4( 4)    0( 0)    0       96
  6 4/5-->4/11       2.06   0.31   66(64)   21(20)    8( 8)    7( 7)    1( 1)    0      103
  7 4/12-->4/18      1.47   0.36   62(54)   21(18)   23(20)    9( 8)    0( 0)    0      115
  8 4/19-->4/25      2.80   0.40   66(51)   30(23)   23(18)    8( 6)    2( 2)    0      129
  9 4/26-->5/2       2.74   0.40   63(53)   22(19)   20(17)   12(10)    1( 1)    0      118
 10 5/3-->5/9        1.86   0.36   66(55)   19(16)   27(23)    7( 6)    0( 0)    0      119
 11 5/10-->5/16      1.94   0.37   75(54)   27(19)   27(19)   10( 7)    0( 0)    0      139
 12 5/17-->5/23      4.43   0.42   59(50)   30(25)   15(13)   14(12)    1( 1)    0      119
 13 5/24-->5/30      3.00   0.46   86(55)   22(14)   24(15)   17(11)    6( 4)    0      155
 14 5/31-->6/6       2.96   0.36   64(57)   24(21)   16(14)    6( 5)    2( 2)    0      112
 15 6/7-->6/13       2.47   0.37   85(56)   28(19)   25(17)   11( 7)    2( 1)    0      151
 16 6/14-->6/20      5.06   0.55   61(46)   28(21)   22(16)   17(13)    6( 4)    0      134
 17 6/21-->6/27      3.70   0.53   47(39)   27(23)   27(23)   16(13)    3( 3)    0      120
 18 6/28-->7/4       2.21   0.44   47(47)   22(22)   19(19)   11(11)    2( 2)    0      101
 19 7/5-->7/11       4.24   0.63   46(45)   16(16)   17(17)   15(15)    8( 8)    0      102
 20 7/12-->7/18      2.98   0.49   52(51)   15(15)   21(21)   11(11)    3( 3)    0      102
 21 7/19-->7/25      3.14   0.53   59(49)   17(14)   24(20)   14(12)    6( 5)    0      120
