# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA6103] NORTHWOOD
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia6103
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     0     0     5     1     0     6        0     0     6     5     0    11
 1952     2    10     9     0     3    24        4    27    21     0    10    62
 1953     2     7     7     9     2    27        9    50    26    44    14   143
 1954     1     7    16     2     0    26        3    20    73     7     0   103
 1955     3     2    21    21     6    53        5     7   122   144    39   317
 1956     2    15     5     7     1    30        5    86    11    25     2   129
 1957     0     2    19     6     1    28        0     4    88    27     1   120
 1958     0     4     2    14     1    21        0    13    10    51     2    76
 1959     3     9     9    17     3    41        6    25    23    78    10   142
 1960     0     0    12     6     7    25        0     0    39    19    44   102
 1961     1     9     5     8     3    26        4    40    11    29     8    92
 1962     5     7     6     5     1    24        9    17    14     8     1    49
 1963     0    12     8     6     0    26        0    47    25    10     0    82
 1964     4    11    20     9     2    46       15    49   126    61     5   256
 1965     1     2     7     8     0    18        2     3    33    50     0    88
 1966     2     8    17     9     1    37        6    23    78    25     1   133
 1967     3     1     7     0     0    11       15     4    11     0     0    30
 1968     0     8     5    10     0    23        0    35    16    52     0   103
 1969     3     1    11    14     1    30       12     4    45    37     3   101
 1970     6     8    16     7     3    40       13    39    57    25     7   141
 1971     0    13     5     6     5    29        0    57    12    24    24   117
 1972     7     4     6    13     0    30       21    14    20    68     0   123
 1973     0     7    11     9     0    27        0    25    37    30     0    92
 1974     0     6    21     2     0    29        0    11   140     5     0   156
 1975     6     7    20    12     0    45       13    20    93    37     0   163
 1976     0     8    16    15     4    43        0    23    89    61    15   188
 1977    10     9    18     1     0    38       19    49    99     1     0   168
 1978     3     6    10     9    10    38       13    20    29    29    44   135
 1979     4     8    10     6     0    28        8    17    20    18     0    63
 1980     6     9    17     8     4    44       19    46    79    28    10   182
 1981     0     5    13     1     1    20        0    18    48     2     2    70
 1982     1     1    12     6     0    20        1     3    51    28     0    83
 1983     0     8    19    20     5    52        0    34   115   115    19   283
 1984     0     5     5    18     4    32        0    13    19    73    13   118
 1985     3     5     7     5     5    25        6    40    26    14    19   105
 1986     1     9    13     3     1    27        3    37    59     8     3   110
 1987     7    17    19     6     1    50       30   103   122    28     3   286
 1988     5    20    19    15     4    63       18   139   116   135    13   421
 1989     0     4    13     5     0    22        0    15    67    16     0    98
 1990     0     4     4     2     4    14        0     9    18     6    11    44
 1991     2     7     8     4     0    21        3    39    42    11     0    95
 1992     2     3     0     1     0     6        6     6     0     4     0    16
 1993     0     0     1     3     0     4        0     0     1     5     0     6
 1994     1     4     0     2     2     9        3    13     0     4     9    29
 1995     0     8     7    10     0    25        0    43    42    31     0   116
 1996     2     6     2     1     0    11        6    22     7     3     0    38
 1997     0     4     5     0     0     9        0     8    13     0     0    21
 1998     5     2     0     0     4    11       13     5     0     0     8    26
 1999     0     0    13     2     0    15        0     0    42     4     0    46
 2000     0     2     1     1     2     6        0    10     3     1     7    21
 2001     2     4     7     5     0    18        9    22    16    18     0    65
 2002     1     7    13     0     4    25        3    22    37     0     9    71
 2003     0     1     3     6     3    13        0     1     6    17     3    27
 2004     0     1     0     0     0     1        0     4     0     0     0     4
 2005     0     4     5     0     0     9        0    12    11     0     0    23
 **************************************************************************************
MEANS   1.9   6.0   9.6   6.5   1.8  25.8      5.5  25.3  42.1  27.7   6.5 107.1
