# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA6151] OAKLAND-2-E
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN   0.01-    0.26-    0.51-     1.01-            # OF DAYS
 WK    TIME PERIOD    VAL   RAIN     0.25     0.50     1.00     2.00    >2.01 MISSING TOTAL
  1 3/1-->3/7        1.60   0.25   62(66)   19(20)    9(10)    4( 4)    0( 0)    0       94
  2 3/8-->3/14       1.21   0.27   60(67)   11(12)   16(18)    2( 2)    0( 0)    0       89
  3 3/15-->3/21      1.78   0.25   64(73)   11(13)    9(10)    4( 5)    0( 0)    0       88
  4 3/22-->3/28      2.05   0.32   55(64)   10(12)   15(17)    5( 6)    1( 1)    0       86
  5 3/29-->4/4       2.68   0.30   68(62)   21(19)   14(13)    5( 5)    1( 1)    0      109
  6 4/5-->4/11       2.41   0.32   59(61)   20(21)   10(10)    5( 5)    2( 2)    0       96
  7 4/12-->4/18      2.22   0.33   70(58)   25(21)   20(17)    5( 4)    1( 1)    0      121
  8 4/19-->4/25      1.39   0.33   71(56)   28(22)   19(15)    8( 6)    0( 0)    0      126
  9 4/26-->5/2       2.29   0.42   73(54)   27(20)   15(11)   18(13)    1( 1)    0      134
 10 5/3-->5/9        1.75   0.39   64(49)   29(22)   27(21)   11( 8)    0( 0)    0      131
 11 5/10-->5/16      2.32   0.39   66(54)   23(19)   23(19)    9( 7)    2( 2)    0      123
 12 5/17-->5/23      2.82   0.44   63(48)   34(26)   19(14)   13(10)    3( 2)    0      132
 13 5/24-->5/30      2.71   0.39   85(56)   28(19)   21(14)   16(11)    1( 1)    0      151
 14 5/31-->6/6       3.04   0.40   60(48)   34(27)   22(17)    6( 5)    4( 3)    0      126
 15 6/7-->6/13       3.30   0.44   67(50)   26(20)   26(20)   10( 8)    4( 3)    0      133
 16 6/14-->6/20      3.82   0.52   62(47)   21(16)   31(23)   16(12)    3( 2)    0      133
 17 6/21-->6/27      5.45   0.55   63(51)   18(15)   21(17)   18(15)    4( 3)    0      124
 18 6/28-->7/4       3.33   0.54   52(49)   14(13)   25(23)   11(10)    5( 5)    0      107
 19 7/5-->7/11       4.01   0.51   59(52)   19(17)   16(14)   16(14)    4( 4)    0      114
 20 7/12-->7/18      2.00   0.42   55(49)   27(24)   19(17)   12(11)    0( 0)    0      113
 21 7/19-->7/25      3.89   0.45   63(61)   12(12)   14(14)    9( 9)    5( 5)    0      103
 22 7/26-->8/1       7.37   0.48   50(53)   17(18)   18(19)    6( 6)    3( 3)    0       94
 23 8/2-->8/8        6.46   0.49   68(57)   23(19)   15(13)    8( 7)    6( 5)    0      120
 24 8/9-->8/15       2.74   0.39   56(56)   19(19)   14(14)    9( 9)    2( 2)    0      100
 25 8/16-->8/22      2.65   0.49   41(42)   23(24)   19(20)   12(12)    2( 2)    0       97
 26 8/23-->8/29      3.01   0.50   50(52)   17(18)   15(15)   10(10)    5( 5)    0       97
 27 8/30-->9/5       2.75   0.52   55(53)   14(13)   20(19)   11(11)    4( 4)    0      104
 28 9/6-->9/12       2.95   0.63   42(55)   10(13)    9(12)    8(10)    8(10)    0       77
 29 9/13-->9/19      3.53   0.37   71(61)   22(19)   11( 9)   10( 9)    3( 3)    0      117
 30 9/20-->9/26      3.40   0.40   60(57)   19(18)   16(15)    8( 8)    2( 2)    0      105
 31 9/27-->10/3      4.65   0.40   46(57)   15(19)   11(14)    7( 9)    1( 1)    0       80
 32 10/4-->10/10     1.75   0.38   46(56)   12(15)   15(18)    9(11)    0( 0)    0       82
 33 10/11-->10/17    2.19   0.40   39(56)   12(17)   11(16)    7(10)    1( 1)    0       70
 34 10/18-->10/24    1.90   0.33   47(61)   16(21)    7( 9)    7( 9)    0( 0)    0       77
 35 10/25-->10/31    1.91   0.32   53(67)   11(14)    8(10)    7( 9)    0( 0)    0       79
 36 11/1-->11/7      1.97   0.36   40(56)   14(19)   13(18)    5( 7)    0( 0)    0       72
 37 11/8-->11/14     1.62   0.28   33(62)   11(21)    7(13)    2( 4)    0( 0)    0       53
 38 11/15-->11/21    1.80   0.33   41(59)   13(19)   10(14)    6( 9)    0( 0)    0       70
 39 11/22-->11/28    1.34   0.21   45(79)    6(11)    5( 9)    1( 2)    0( 0)    0       57
