# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA6151] OAKLAND-2-E
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 DAILY RECORD HIGHS AND LOWS OCCURRING DURING 1951-2003 FOR STATION NUMBER  ia6151
      JAN     FEB    MARCH   APRIL    MAY     JUNE    JULY    AUG     SEPT    OCT     NOV     DEC
 DY  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1  56 -16  63 -27  66 -18  90  18  91  25  93  37 100  45  97  47  95  39  93  25  76  14  64  -2
  2  57 -14  63 -26  77  -4  87  13  89  21  91  39  98  47  99  49  94  43  93  24  79   7  67  -4
  3  56 -16  65 -29  78  -1  85   0  87  27  93  33  99  43  96  48  98  32  92  25  75   6  62  -1
  4  50 -24  54 -27  72 -15  80  12  91  27  99  33  98  44 102  39  96  38  94  22  74   3  62   2
  5  62 -16  56 -24  70 -24  82  13  92  28 100  43  99  39  96  41  93  35  93  25  72   3  66  -2
  6  50 -25  61 -18  74 -12  91  11  88  33  97  38 100  51  95  49  95  40  92  18  79   7  64  -8
  7  47 -26  67 -17  74  -6  87  18  96  29  98  40  97  47  97  46  96  36  92  17  75  -4  61 -13
  8  63 -19  63 -25  76 -10  84  19  90  27  98  39  96  52  94  46  99  37  85  21  76  -3  57 -16
  9  66 -21  60 -27  76  -8  86  17  92  24  96  42  98  47  94  45 100  39  85  21  80   4  55  -9
 10  55 -23  62 -12  72  -3  85  17  90  30 100  42  98  46  95  46  93  32  89  22  73   7  58 -15
 11  58 -21  72 -25  78  -4  87  19  89  27  99  44 102  50  95  44  92  33  86  21  74  -6  65 -12
 12  57 -31  61 -19  71 -12  93  14  95  30  98  39 101  50  96  43  94  33  90  23  71  -2  61 -15
 13  62 -15  71 -16  74  -9  78  13  89  32  98  39 104  43  95  41  93  33  88  20  71  -3  57 -22
 14  53 -21  68 -13  72  -9  85  20  91  33  97  41 102  42  96  47  93  35  87  20  83  -3  58 -14
 15  52 -21  62 -10  74   7  89  16  89  28 100  40  97  46  98  45  96  33  87  18  73  11  57 -18
 16  57 -24  63 -26  78   8  89  22  89  34  97  43  99  46  99  48  95  35  86  22  75   1  61 -25
 17  62 -23  67 -25  78   7  86  16  89  33  96  42 101  46 101  46  94  30  85  13  72  -1  60 -11
 18  62 -22  63 -21  73   4  88  15  95  39 100  46  99  49  98  48  92  29  80  18  72   8  65 -18
 19  50 -25  62 -14  78   3  92  23  93  37 101  43 101  51  99  42  92  31  85  12  72   6  58 -25
 20  58 -23  65 -10  74   4  89  20  91  34 100  42 103  50  96  40  91  31  88  14  66   3  57 -17
 21  57 -25  68  -8  73  -2  90  20  91  31 100  45 105  45  98  43  92  30  84  19  70   2  56 -22
 22  58 -12  66 -16  82   8  92  23  92  26 100  45  99  51  95  46  93  28  84  15  71   0  56 -26
 23  61 -20  68 -11  75   8  90  18  90  29  97  45  95  50  96  40  83  23  82  16  64   4  62 -26
 24  66 -13  66 -11  84   2  90  12  99  35 100  40  93  50  96  44  89  27  82  20  60   4  53 -30
 25  55 -11  66  -6  79   5  91  25 100  35 100  45  96  48  98  41  88  30  79  20  70   4  53 -18
 26  60 -14  72 -17  81  -2  91  28  93  34  97  45 102  45 102  47  91  30  83  16  61  -1  59 -19
 27  65 -22  68 -13  83   5  93  28  92  35 100  44 100  50 101  39  91  33  83  12  68  -2  60 -15
 28  59 -17  74 -20  84   4  90  23  89  23  98  50 100  49  98  39 101  27  85  12  67 -11  63  -6
 29  59 -22  75  -7  89   5  91  22  90  38  95  50 100  48  96  44  92  28  74  14  60 -13  61 -12
 30  56 -24 *** ***  87   7  89  27  96  37  97  48 103  36  95  47  90  28  79  19  70 -17  65 -17
 31  59 -26 *** ***  82  15 *** ***  94  39 *** *** 105  41  96  37 *** ***  81  14 *** ***  59 -18
