# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA6151] OAKLAND-2-E
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE MONTHLY COOLING DEGREE DAYS 1951-2006 FOR STATION # ia6151
 YEAR    JAN    FEB  MARCH  APRIL    MAY   JUNE   JULY AUGUST   SEPT   OCT   NOV   DEC
 1951      0      0      0      4     29     80    247    226     35     26      0      0
 1952      0      0      0      0     46    341    306    184    101      0      0      0
 1953      0      0      0      0     68    312    324    279    122     38      0      0
 1954      0      0      0     26     30    300    473    294    140     26      0      0
 1955      0      0      0     19     54    115    477    374    186     14      0      0
 1956      0      0      0     15     97    327    279    315     94     32      0      0
 1957      0      0      0      8     28    127    446    293     26      0      0      0
 1958      0      0      0      3     64    128    198    275    108     20      0      0
 1959      0      0      0      1     81    231    228    367    103      0      0      0
 1960      0      0      0     36     22    122    241    265    119      9      0      0
 1961      0      0      0     16     34    142    279    236     83      2      0      0
 1962      0      0      0     11    166    160    275    232     52     48      0      0
 1963      0      0      0     15     60    300    376    245     89     51      0      0
 1964      0      0      0      5    114    159    377    155     93      2      0      0
 1965      0      0      0      8    113    144    268    191     42     15      0      0
 1966      0      0      0      0     47    185    378    139     43     10      0      0
 1967      0      0      7     17     81    133    218    182     23     19      0      0
 1968      0      0      2      6     16    248    295    258     61     23      0      0
 1969      0      0      0      0     80    110    320    224     66     26      0      0
 1970      0      0      0     26    136    203    292    263    119     11      0      0
 1971      0      0      0      7     21    320    195    210    151     35      0      0
 1972      0      0      0      5     68    195    257    226    124      4      0      0
 1973      0      0      0      2     18    234    263    269     51     22      0      0
 1974      0      0      0     18     54    171    444    162     28      3      0      0
 1975      0      0      0      3    100    193    312    355     55     36      0      0
 1976      0      0      0     12     22    155    299    213     83      7      0      0
 1977      0      0      0     30    126    231    354    164     61      0      0      0
 1978      0      0      0      0     58    224    260    222    149      3      0      0
 1979      0      0      0      0     43    167    221    203     83     10      0      0
 1980      0      0      0     12     65    204    389    296    120      0      0      0
 1981      0      0      0     30     29    226    295    165     69      0      0      0
 1982      0      0      0      2     40     97    314    205     87     12      0      0
 1983      0      0      0      1     21    187    396    426    163     26      0      0
 1984      0      0      0      8     22    215    270    343    148      2      0      0
 1985      0      0      0     21     47    145    311    164    142      3      0      0
 1986      0      0     13      8     39    260    351    137    122      0      0      0
 1987      0      0      0     34    108    265    366    204     50      2      0      0
 1988      0      0      0      3    101    334    318    377     92      0      0      0
 1989      0      0      0     63     53    132    322    235     79      8      0      0
 1990      0      0      0     25      4    233    268    233    181      8      1      0
 1991      0      0      3     16    132    239    280    231    135      0      0      0
 1992      0      0      0      1     42    119    146     79     53      7      0      0
 1993      0      0      0      0     17    158    257    276     21     16      0      0
 1994      0      0      0     20     83    239    204    166     92     12      0      0
 1995      0      0      0      0      1    171    323    342     51     11      0      0
 1996      0      0      0      4     45    217    194    159     54      9      0      0
 1997      0      0      0      0      8    199    308    271    134     71      0      0
 1998      0      0      1      3     90    154    318    270    181      8      0      0
 1999      0      0      0      0     24    162    367    165     59      1      0      0
 2000      0      0      0      0     81    148    257    309    138     16      0      0
 2001      0      0      0     21     50    164    346    259     52      7      0      0
 2002      0      0      0     13     33    271    392    217     94      9      0      0
 2003      0      0      0     23      6    104    298    334     43     14      0      0
 2004      0      0      1     10     72    102    176    110    141      4      0      0
 2005      0      0      1     14     44    253    348      0      0      0      0      0
 MEAN      0      0      1     11     57    196    304    241     92     14      0      0
