# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA6200] OELWEIN-2-S
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION ID  ia6200 

               MARCH                       APRIL       
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951      9      0      0      0    218    108     90     73
 1952     64     30     26     23    350    227    202    180
 1953    101     35     24     16    152     63     49     37
 1954     68     21     15      9    414    251    218    189
 1955    104     45     34     24    463    295    260    228
 1956     58     18     11      6    267    155    130    107
 1957     89     29     20     14    352    208    180    158
 1958     57     14      8      5    320    183    155    129
 1959     54     18     13     10    303    167    143    120
 1960     14      1      0      0    355    221    194    170
 1961     56     26     21     17    200    100     82     66
 1962     38     19     17     15    286    175    152    131
 1963    159     98     86     74    378    228    193    164
 1964     61     16     10      6    306    176    151    128
 1965      6      0      0      0    248    133    114     97
 1966    173     82     64     48    219    108     87     68
 1967    148     80     67     55    339    193    162    131
 1968    235    142    123    106    386    242    210    180
 1969     48     21     16     12    349    198    167    136
 1970     35      4      2      1    348    219    192    167
 1971     51     25     20     16    367    235    205    177
 1972     65     25     19     14    261    143    120     98
 1973    188     80     61     47    261    146    123    100
 1974     75     27     22     17    353    209    178    149
 1975     16      0      0      0    205    112     94     77
 1976    147     78     67     58    386    236    200    167
 1977    217    114     94     76    523    358    322    288
 1978     81     40     33     27    298    165    138    112
 1979     49     12      7      4    225    114     94     78
 1980     60     17     11      6    343    215    189    166
 1981    179     87     72     57    427    260    226    194
 1982     74     22     17     13    260    145    123    101
 1983    106     50     40     33    201    106     91     78
 1984     25      1      0      0    266    137    109     84
 1985    141     55     41     30    455    300    268    238
 1986    157     90     79     68    380    237    205    174
 1987    142     71     58     47    413    263    234    206
 1988    117     50     38     28    302    180    155    131
 1989    100     58     50     42    294    161    135    111
 1990    164     74     59     48    330    200    173    148
 1991    136     70     58     47    355    202    171    143
 1992    124     51     38     27    240    132    111     92
 1993     27      6      5      4    221    108     87     71
 1994    107     50     42     34    317    198    173    150
 1995    159     82     68     57    205    104     83     63
 1996     76     26     19     13    251    144    124    106
 1997    110     47     38     30    255    151    127    106
 1998    114     64     55     47    319    175    146    120
 1999    127     58     46     37    312    163    133    107
 2000    222    121    101     86    320    188    165    144
 2001     24      2      0      0    381    236    206    179
 2002     67     21     15     10    304    184    161    141
 2003    124     71     60     49    343    219    194    171
 2004    168     80     65     52    361    217    185    156
 2005    105     55     48     43    423    259    225    194
     ****************************  ****************************
 MEAN   98.6   45.1   36.4   29.2  316.5  186.4  160.1  136.0
 STDV   57.5   34.3   29.4   25.1   76.2   58.2   53.6   49.3

               MAY                         JUNE        
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    687    471    422    377    718    492    440    392
 1952    527    330    287    246    884    649    594    542
 1953    523    336    300    265    830    595    539    485
 1954    473    305    268    235    938    703    648    593
 1955    682    471    426    383    775    545    491    438
 1956    592    394    351    312    909    676    621    566
 1957    550    345    300    262    822    588    532    477
 1958    616    423    380    339    708    477    426    379
 1959    700    486    436    389    883    643    585    529
 1960    595    389    341    295    759    526    473    421
 1961    521    333    296    261    830    601    550    502
 1962    726    503    451    401    811    575    521    467
 1963    595    386    343    303    900    663    606    550
 1964    706    483    435    391    832    602    548    496
 1965    706    496    448    402    801    565    512    459
 1966    486    319    286    256    844    609    553    500
 1967    511    323    283    247    854    619    563    508
 1968    496    305    267    236    874    638    582    527
 1969    652    437    391    346    703    480    428    379
 1970    675    467    418    371    841    605    548    493
 1971    515    320    281    245    959    719    659    601
 1972    662    447    400    355    825    591    538    485
 1973    500    307    265    227    859    620    563    508
 1974    473    288    251    216    711    481    431    384
 1975    674    459    414    370    842    605    553    501
 1976    559    365    325    286    847    612    557    505
 1977    854    620    565    512    892    656    598    541
 1978    642    436    389    342    874    640    587    535
 1979    619    421    379    339    849    613    558    505
 1980    668    461    416    374    867    630    575    521
 1981    566    371    329    289    848    608    548    490
 1982    714    482    428    375    723    490    441    394
 1983    490    293    252    217    895    664    610    558
 1984    520    329    291    256    921    682    623    565
 1985    727    501    449    401    787    555    503    453
 1986    626    404    353    305    857    618    560    503
 1987    729    506    456    409    924    688    629    572
 1988    748    525    478    434    905    666    609    557
 1989    586    390    346    308    828    593    538    486
 1990    493    299    257    219    859    625    568    511
 1991    738    518    469    421    977    737    677    618
 1992    613    412    367    326    813    578    521    465
 1993    572    366    320    276    778    546    491    436
 1994    619    420    376    333    886    653    597    541
 1995    517    313    273    236    891    651    592    535
 1996    482    279    240    205    832    593    535    477
 1997    438    262    227    193    880    640    581    522
 1998    762    519    462    411    781    549    495    441
 1999    639    412    363    316    857    620    563    508
 2000    663    441    390    340    800    563    509    455
 2001    616    389    341    297    791    558    504    451
 2002    495    329    292    257    893    654    597    542
 2003    501    310    274    241    779    541    484    433
 2004    602    392    345    303    779    544    490    439
 2005    513    320    278    241    954    714    654    595
     ****************************  ****************************
 MEAN  602.8  398.3  354.0  312.6  841.4  606.3  550.9  497.0
 STDV   94.5   80.5   76.0   71.1   64.2   61.9   60.0   57.8

               JULY                        AUGUST      
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    920    673    612    555    877    630    571    515
 1952    975    731    672    614    841    603    550    497
 1953    945    699    640    582    886    641    583    526
 1954   1041    793    731    669    904    656    596    537
 1955   1106    858    796    734   1011    764    703    643
 1956    900    652    591    531    929    691    633    577
 1957   1060    812    750    689    953    707    647    588
 1958    875    627    565    504    933    690    631    573
 1959    958    710    649    588   1050    802    740    678
 1960    937    689    629    570    966    718    657    597
 1961    925    677    617    559    947    699    638    582
 1962    899    653    594    535    919    671    612    554
 1963    969    721    659    599    868    625    567    511
 1964   1002    754    692    631    848    617    562    511
 1965    939    691    630    572    889    645    585    526
 1966   1025    777    715    653    871    626    569    513
 1967    896    653    597    543    812    578    523    468
 1968    944    696    636    578    935    687    628    571
 1969    983    735    673    612    953    705    643    583
 1970    966    720    660    603    906    659    599    541
 1971    855    617    559    501    873    628    569    515
 1972    899    654    595    536    931    685    625    567
 1973    986    738    676    614    982    734    672    611
 1974   1008    760    699    640    832    592    536    481
 1975    971    731    673    615    978    730    669    609
 1976    976    731    670    612    857    621    566    513
 1977   1038    790    728    667    867    624    567    511
 1978    977    729    667    605    942    698    639    581
 1979    990    742    681    621    933    687    628    570
 1980   1064    816    754    692   1009    761    699    637
 1981   1004    756    695    635    915    667    607    550
 1982   1020    772    710    648    903    658    599    541
 1983   1075    827    765    704   1077    829    767    705
 1984    933    687    626    566    993    747    687    628
 1985    988    740    678    617    842    600    541    482
 1986   1037    789    727    665    794    556    498    441
 1987   1084    836    774    713    900    653    593    535
 1988   1046    798    736    675   1026    784    725    666
 1989   1048    800    738    676    937    690    629    568
 1990    960    712    650    588    962    714    652    591
 1991    994    746    684    623    943    695    634    573
 1992    833    585    523    462    759    517    463    412
 1993    955    707    645    583    940    692    630    569
 1994    903    655    593    531    815    569    513    459
 1995    983    736    676    616   1080    832    770    708
 1996    891    643    582    521    896    648    586    524
 1997    958    711    651    591    846    598    536    476
 1998    999    751    689    627    985    737    675    613
 1999   1080    832    770    708    880    632    570    508
 2000    957    709    647    586    953    705    643    581
 2001   1010    762    700    638    936    688    626    565
 2002   1055    807    745    683    897    651    591    531
 2003    952    704    642    581    999    751    689    627
 2004    919    671    611    553    784    550    497    445
 2005   1008    760    698    637      0      0      0      0
     ****************************  ****************************
 MEAN  976.7  729.5  668.5  608.2  901.2  660.7  602.3  545.2
 STDV   61.2   60.6   59.9   59.1  142.1  113.1  105.7   98.3

               SEPTEMBER                   OCTOBER     
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    567    373    329    289    397    234    205    177
 1952    649    460    418    376    290    176    152    129
 1953    650    461    420    381    553    383    342    303
 1954    722    498    446    395    388    232    197    163
 1955    723    519    474    431    425    265    231    198
 1956    612    415    373    333    563    368    327    290
 1957    603    401    356    315    342    192    160    129
 1958    673    467    422    378    491    319    281    245
 1959    686    478    431    386    281    141    113     86
 1960    704    494    446    400    398    252    220    190
 1961    640    437    389    343    429    262    226    195
 1962    575    390    349    309    472    296    258    225
 1963    680    463    414    370    633    417    370    325
 1964    643    440    393    346    357    214    185    160
 1965    581    373    329    287    397    235    200    167
 1966    620    414    372    333    410    255    221    190
 1967    621    422    379    338    362    221    194    169
 1968    651    443    399    356    452    283    246    213
 1969    656    443    397    354    331    188    160    135
 1970    657    448    400    354    406    241    205    171
 1971    756    540    491    444    565    364    317    272
 1972    693    474    424    378    302    166    140    118
 1973    652    437    391    347    541    355    316    278
 1974    542    363    322    285    388    225    191    160
 1975    554    364    322    280    501    339    304    269
 1976    632    449    408    369    304    182    159    139
 1977    702    475    424    375    341    186    156    129
 1978    798    572    518    466    368    206    173    142
 1979    725    512    466    421    411    247    214    183
 1980    732    510    460    412    304    179    155    131
 1981    670    455    405    358    362    203    172    142
 1982    661    452    404    357    449    272    235    201
 1983    713    500    453    408    387    219    186    155
 1984    675    476    431    389    471    289    246    204
 1985    679    477    431    387    359    194    158    128
 1986    710    482    428    376    354    192    161    132
 1987    669    449    401    357    261    129    104     85
 1988    721    507    458    411    261    136    111     89
 1989    604    406    363    321    427    271    237    205
 1990    726    511    464    419    344    203    174    148
 1991    623    429    385    343    336    190    166    144
 1992    591    397    353    312    355    205    177    154
 1993    477    278    236    199    327    190    161    135
 1994    705    476    424    375    409    238    200    165
 1995    591    388    343    302    342    199    173    149
 1996    623    406    360    317    372    216    182    150
 1997    674    448    397    350    419    271    239    209
 1998    787    555    502    450    391    213    177    145
 1999    606    411    369    330    379    236    205    177
 2000    692    479    431    388    478    297    260    224
 2001    590    381    333    291    326    187    159    133
 2002    727    511    465    420    282    163    138    116
 2003    624    432    390    349    405    262    232    204
 2004    765    543    493    446    367    209    178    151
 2005      0      0      0      0      0      0      0      0
     ****************************  ****************************
 MEAN  647.3  443.3  397.8  354.7  386.6  232.9  200.9  171.4
 STDV  109.1   82.0   75.9   69.9   96.1   70.7   64.6   58.5
