# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA6200] OELWEIN-2-S
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
#DAILY MEAN HIGHS AND LOWS FOR STATION NUMBER  ia6200
    JAN     FEB    MARCH   APRIL    MAY     JUNE    JULY    AUG     SEPT    OCT     NOV     DEC
DY  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1  26  10  25   7  36  17  50  30  65  42  74  52  82  59  82  59  78  55  69  44  53  34  35  20
  2  25   9  24   6  36  19  52  31  65  43  72  51  82  60  82  61  79  57  68  44  50  32  36  20
  3  25   8  25   6  36  20  51  31  66  44  74  50  81  60  82  61  78  57  68  43  51  31  36  19
  4  23   5  26   7  37  19  50  30  68  44  76  53  81  61  81  60  77  54  65  43  48  30  36  19
  5  24   4  27   9  36  19  52  30  67  45  78  54  81  59  80  60  76  53  65  42  48  28  35  19
  6  24   7  26   9  36  17  54  32  66  43  78  55  82  59  81  60  77  54  63  42  47  28  33  16
  7  22   3  26   7  36  17  55  32  66  43  78  56  83  60  82  60  78  54  63  41  48  28  32  16
  8  23   5  27   9  36  18  51  32  67  45  77  56  82  61  81  60  77  54  64  41  48  28  31  16
  9  23   5  28   9  37  18  53  31  67  45  77  55  82  60  81  59  76  54  62  41  47  28  31  14
 10  22   5  29  12  39  20  54  31  69  45  78  56  82  59  80  58  75  52  63  38  46  26  30  12
 11  24   6  28  10  40  23  55  33  69  46  79  57  83  60  80  57  76  51  64  41  47  28  29  13
 12  25   7  28  11  40  23  55  35  69  45  80  57  83  62  80  58  75  52  64  41  45  27  30  13
 13  26   9  31  12  40  24  56  34  69  45  81  57  83  62  80  59  74  52  64  41  47  28  29  12
 14  25   9  32  13  41  23  56  35  69  47  79  58  82  61  80  58  72  51  64  42  45  27  29  13
 15  25   7  30  13  40  22  59  35  70  48  78  58  83  60  81  58  71  49  64  41  47  28  29  13
 16  24   5  30  12  41  23  59  37  71  48  78  56  83  61  81  59  70  48  62  39  46  27  29  12
 17  25   5  31  14  41  24  61  36  72  48  79  57  83  62  81  59  72  50  61  39  46  28  27  11
 18  25   6  33  18  42  24  62  38  72  50  80  58  84  64  80  58  73  50  58  36  45  27  27  12
 19  25   7  32  16  42  26  61  39  72  49  81  58  83  63  80  58  72  50  58  35  43  25  28  12
 20  23   6  34  14  43  25  60  40  73  49  80  58  83  62  80  57  69  48  59  37  41  25  26  10
 21  25   8  33  16  42  24  61  38  74  49  80  58  83  62  80  58  68  47  61  38  41  22  26  10
 22  27   9  33  15  45  24  61  38  72  51  79  57  82  62  79  58  68  45  61  38  42  23  27  12
 23  26   7  33  17  46  25  62  39  71  50  79  58  82  61  78  58  66  43  58  39  40  22  28  11
 24  25   6  34  15  44  24  63  39  71  50  80  57  83  61  79  58  67  45  57  36  40  21  26   8
 25  23   6  34  16  45  26  64  40  71  50  81  58  83  62  80  58  70  45  57  36  39  22  25   9
 26  23   6  35  17  46  26  65  41  71  50  82  60  83  61  80  59  70  45  57  35  38  21  27  10
 27  22   5  35  17  48  27  64  42  72  51  82  60  82  61  80  60  68  45  57  36  36  20  28  10
 28  24   6  35  18  49  30  64  40  72  52  83  60  82  61  81  58  69  44  55  34  32  16  29  12
 29  24   6  37  17  48  29  64  41  73  52  82  60  82  59  81  58  68  45  55  34  33  18  28  11
 30  24   4 *** ***  49  29  64  41  75  52  82  60  82  60  80  60  69  44  56  36  35  18  27   9
 31  26   5 *** ***  51  31 *** ***  75  52 *** ***  82  60  79  58 *** ***  55  35 *** ***  26  11
