# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA6200] OELWEIN-2-S
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# LENGTH OF SEASON FOR STATION NUMBER  ia6200   BASE TEMP=30
 LAST SPRING OCCURENCE FIRST FALL OCCURENCE  LENGTH OF SEASON
   YEAR MONTH DAY DOY         MONTH DAY DOY
   1951   4    23 113           9    28 271          158
   1952   4    16 107           9    23 267          160
   1953   5    13 133           9    13 256          123
   1954   5     7 127          10    17 290          163
   1955   4     7  97           9    11 254          157
   1956   5    16 137           9    20 264          127
   1957   5     4 124          10    10 283          159
   1958   5     5 125          10     1 274          149
   1959   4    22 112          10    12 285          173
   1960   4    18 109          10    19 293          184
   1961   5     2 122           9    28 271          149
   1962   4    20 110           9    20 263          153
   1963   5    22 142          10    28 301          159
   1964   4    15 106          10     5 279          173
   1965   4    27 117          10    12 285          168
   1966   5    11 131          10    11 284          153
   1967   5     7 127           9    29 272          145
   1968   4    26 117          10     4 278          161
   1969   5    12 132          10    14 287          155
   1970   5     2 122          10     4 277          155
   1971   4    14 104          10     7 280          176
   1972   4    26 117           9    30 274          157
   1973   5    17 137          10    16 289          152
   1974   5     6 126           9    22 265          139
   1975   4    22 112          10     2 275          163
   1976   5     7 128           9    24 268          140
   1977   4     7  97          10    12 285          188
   1978   5     6 126          10     8 281          155
   1979   5     1 121          10     7 280          159
   1980   5     9 130          10    11 285          155
   1981   4    21 111          10    19 292          181
   1982   4    27 117          10    21 294          177
   1983   4    25 115           9    23 266          151
   1984   4    24 115           9    26 270          155
   1985   4     9  99          10     5 278          179
   1986   4    22 112          10     6 279          167
   1987   4     5  95          10     2 275          180
   1988   4    24 115          10     5 279          164
   1989   5     7 127           9    23 266          139
   1990   4    18 108          10    10 283          175
   1991   4    10 100           9    20 263          163
   1992   5     6 127           9    29 273          146
   1993   4    22 112          10    10 283          171
   1994   5     1 121          10    10 283          162
   1995   4    22 112           9    22 265          153
   1996   5     2 123          10     8 282          159
   1997   4    25 115          10    15 288          173
   1998   4    18 108          10    20 293          185
   1999   3    27  86          10     4 277          191
   2000   4    12 103          10     6 280          177
   2001   4    19 109          10     6 279          170
   2002   5     3 123          10    13 286          163
   2003   4    22 112           9    29 272          160
   2004   5     4 125          10     2 276          151
             MEAN=116              MEAN=277     MEAN=161
