# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA6200] OELWEIN-2-S
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE MONTHLY COOLING DEGREE DAYS 1951-2006 FOR STATION # ia6200
 YEAR    JAN    FEB  MARCH  APRIL    MAY   JUNE   JULY AUGUST   SEPT   OCT   NOV   DEC
 1951      0      0      0      4     52     57    170    133      9     17      0      0
 1952      0      0      0      9     17    174    228    104     54      0      0      0
 1953      0      0      0      0     30    129    189    154     53     28      0      0
 1954      0      0      0      1     15    252    295    139     74     11      0      0
 1955      0      0      0      1     46     96    394    300     96      2      0      0
 1956      0      0      0      0     43    219    152    199     25      9      0      0
 1957      0      0      0      3     10    117    315    194     31      0      0      0
 1958      0      0      0      1     14     54    117    198     46      6      0      0
 1959      0      0      0      0     74    162    197    298     94      0      0      0
 1960      0      0      0     18     12     66    179    205    114      4      0      0
 1961      0      0      0      0     19    134    158    187     82      0      0      0
 1962      0      0      0      5     85    114    150    157     31     24      0      0
 1963      0      0      0      3     28    195    215    131     54     22      0      0
 1964      0      0      0      0     58    144    281    148     59      0      0      0
 1965      0      0      0      0     68     85    180    167     22      7      0      0
 1966      0      0      0      0     15    143    279    129     35      6      0      0
 1967      0      0      0      4     38    129    167     90     19     11      0      0
 1968      0      0      0      0      5    174    185    208     40     32      0      0
 1969      0      0      0      0     58     57    223    186     40     14      0      0
 1970      0      0      0     23     65    135    233    151     72      7      0      0
 1971      0      0      0      0      9    234    111    131    131     20      0      0
 1972      0      0      0      1     73    128    164    209     61      0      0      0
 1973      0      0      0      0      2    133    223    230     49     13      0      0
 1974      0      0      0      3     15     51    264    105     17      0      0      0
 1975      0      0      0      0     61    147    251    225     29     22      0      0
 1976      0      0      0      4      8    127    235    130     45     11      0      0
 1977      0      0      0     35    144    177    341    125     45      0      0      0
 1978      0      0      0      0     73    158    215    182    136      0      0      0
 1979      0      0      0      0     48    128    223    198     74     11      0      0
 1980      0      0      0     17     58    152    319    248     92      0      0      0
 1981      0      0      0     10     15    116    253    155     40      0      0      0
 1982      0      0      0      0     43     48    254    168     62     14      0      0
 1983      0      0      0      0      2    191    343    344    103     15      0      0
 1984      0      0      0      3     10    173    174    258    106      2      0      0
 1985      0      0      0     31     48    111    233    106    132      0      0      0
 1986      0      0      2     18     17    137    280     75     68      0      0      0
 1987      0      0      0     12     81    215    350    184     35      0      0      0
 1988      0      0      0      0     76    215    333    339     68      0      0      0
 1989      0      0      1      3     34    124    319    182     28      7      0      0
 1990      0      0      0     25      3    154    199    194    126      5      0      0
 1991      0      0      2     10    129    256    248    184     83      2      0      0
 1992      0      0      0      1     40    114     95     68     39      1      0      0
 1993      0      0      0      0     22    103    181    189     12     10      0      0
 1994      0      0      0     14     30    177    141     95     82      0      0      0
 1995      0      0      0      0      1    185    243    329     35      4      0      0
 1996      0      0      0      0     27    148    128    125     55      0      0      0
 1997      0      0      0      0      0    142    211     98     35     44      0      0
 1998      0      0      0      0     82    128    230    210    102      1      0      0
 1999      0      0      0      0     28    162    335    111     50      2      0      0
 2000      0      0      0      0     38     97    195    190     97      7      2      0
 2001      0      0      0      7     43    137    254    194     24      0      0      0
 2002      0      0      0     20     27    192    307    147     96     11      0      0
 2003      0      0      0     10      4     98    189    257     57      5      0      0
 2004      0      0      0      6     22     97    163     95     90      0      0      0
 2005      0      0      0      8      9    221    263      0      0      0      0      0
 MEAN      0      0      0      6     38    142    229    177     62      8      0      0
