# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 01 Sep 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA6200] OELWEIN-2-S
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# Low Temperature exceedence probabilities
# (On a certain date, what is the chance a temperature below a certain
#  threshold would have been observed)
 Date    <33  <29  <27  <23
 Aug 17    0    0    0    0
 Aug 19    0    0    0    0
 Aug 21    0    0    0    0
 Aug 23    0    0    0    0
 Aug 25    0    0    0    0
 Aug 27    0    0    0    0
 Aug 29    0    0    0    0
 Aug 31    0    0    0    0
 Sep 02    0    0    0    0
 Sep 04    0    0    0    0
 Sep 06    0    0    0    0
 Sep 08    0    0    0    0
 Sep 10    1    1    0    0
 Sep 12    5    3    0    0
 Sep 14    5    3    0    0
 Sep 16    7    3    0    0
 Sep 18   11    3    0    0
 Sep 20   14    5    0    0
 Sep 22   25    7    1    0
 Sep 24   29    9    1    0
 Sep 26   29   11    3    0
 Sep 28   37   14    7    0
 Sep 30   46   20    9    0
 Oct 02   51   25   12    1
 Oct 04   62   35   16    1
 Oct 06   77   37   18    3
 Oct 08   79   44   25    5
 Oct 10   85   48   29   11
 Oct 12   88   57   33   11
 Oct 14   92   59   37   11
 Oct 16   94   70   48   12
 Oct 18   94   75   53   22
 Oct 20   98   83   57   25
 Oct 22   98   88   64   31
 Oct 24   98   90   72   37
 Oct 26   98   90   75   42
 Oct 28  100   92   79   44
 Oct 30  100   98   85   55
 Nov 01  100   98   88   66
 Nov 03  100  100   92   72
 Nov 05  100  100   98   77
 Nov 07  100  100   98   85
 Nov 09  100  100  100   87
 Nov 11  100  100  100   88
 Nov 13  100  100  100   94
 Nov 15  100  100  100   96
 Nov 17  100  100  100   96
 Nov 19  100  100  100  100
 Nov 21  100  100  100  100
 Nov 23  100  100  100  100
 Nov 25  100  100  100  100
 Nov 27  100  100  100  100
 Nov 29  100  100  100  100
 Dec 01  100  100  100  100
 Dec 03  100  100  100  100
 Dec 05  100  100  100  100
 Dec 07  100  100  100  100
 Dec 09  100  100  100  100
 Dec 11  100  100  100  100
 Dec 13  100  100  100  100
 Dec 15  100  100  100  100
 Dec 17  100  100  100  100
 Dec 19  100  100  100  100
 Dec 21  100  100  100  100
 Dec 23  100  100  100  100
 Dec 25  100  100  100  100
 Dec 27  100  100  100  100
 Dec 29  100  100  100  100
