# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA6243] ONAWA
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION ID  ia6243 

               MARCH                       APRIL       
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951     54     24     18     14    262    146    123    102
 1952     86     38     30     24    397    254    226    199
 1953    172     83     66     51    277    151    127    106
 1954     94     30     21     16    480    317    286    255
 1955    150     84     70     58    586    412    377    344
 1956    177     88     72     59    339    212    187    164
 1957    155     69     53     40    393    267    240    213
 1958     91     41     32     23    380    231    201    171
 1959    144     68     55     44    390    251    223    198
 1960     20      2      0      0    410    256    225    197
 1961    109     39     29     22    303    177    152    130
 1962     62     28     24     21    405    260    226    196
 1963    214    135    122    109    482    320    283    248
 1964    120     46     35     25    414    249    218    190
 1965     17      5      4      3    390    251    223    196
 1966    255    159    136    114    272    157    133    111
 1967    286    186    166    147    429    282    250    218
 1968    359    237    213    190    455    298    265    233
 1969     41      9      5      3    436    281    247    216
 1970     70     19     13      7    441    299    270    242
 1971    129     70     60     51    453    294    263    233
 1972    195     99     82     67    386    231    202    175
 1973    192     75     57     42    379    235    207    181
 1974    226    127    106     87    460    304    272    240
 1975     76     33     26     19    309    172    144    119
 1976    203    119    104     90    513    342    305    269
 1977    271    152    128    104    577    394    355    317
 1978    151     92     80     69    359    209    177    149
 1979     82     25     17     12    338    207    180    156
 1980    125     52     41     31    415    275    245    216
 1981    276    152    128    108    568    378    338    300
 1982    146     58     43     31    359    229    202    177
 1983    132     72     59     47    215    111     94     80
 1984     47      7      5      3    287    152    128    105
 1985    245    140    119    100    523    352    314    280
 1986    261    160    141    123    442    279    244    214
 1987    219    129    112     95    509    355    322    291
 1988    254    155    136    117    413    268    237    208
 1989    192    120    104     88    514    356    320    285
 1990    221    120     98     78    433    283    250    219
 1991    244    144    124    104    445    280    247    217
 1992    237    118     98     79    341    208    182    159
 1993     77     41     36     31    302    180    154    131
 1994    231    142    122    103    428    290    263    237
 1995    201    108     90     72    302    179    155    132
 1996    126     56     44     33    377    243    214    186
 1997    241    145    124    106    286    168    145    122
 1998    127     70     61     54    393    243    211    181
 1999    202    112     91     71    391    224    195    168
 2000    295    169    143    122    450    303    272    243
 2001     71     25     18     12    495    329    292    257
 2002    101     39     27     17    483    324    290    259
 2003    245    155    138    121    475    322    292    264
 2004    265    155    132    110    504    342    310    278
 2005    248    138    113     89    493    321    282    246
     ****************************  ****************************
 MEAN  167.8   90.3   75.8   62.8  410.1  262.8  232.5  204.1
 STDV   81.4   55.7   49.7   43.8   84.0   68.1   64.1   59.9

               MAY                         JUNE        
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    723    503    452    403    762    529    474    421
 1952    664    448    401    356   1008    768    709    652
 1953    660    454    410    368   1009    772    713    654
 1954    578    397    357    319    969    733    676    620
 1955    795    568    518    472    840    604    551    499
 1956    727    515    467    422   1031    795    737    680
 1957    635    421    375    334    884    644    587    530
 1958    769    555    507    463    831    596    540    487
 1959    703    477    426    379    961    721    662    604
 1960    669    455    408    366    856    616    557    499
 1961    630    418    372    329    901    665    608    554
 1962    882    639    582    528    895    656    597    540
 1963    689    464    412    365   1019    779    719    659
 1964    813    576    522    472    914    679    623    568
 1965    818    591    537    483    917    677    617    559
 1966    622    438    398    360    891    653    597    544
 1967    551    370    330    294    853    617    561    505
 1968    574    377    335    296    961    722    665    610
 1969    729    509    460    412    815    590    536    485
 1970    819    597    546    496    957    718    660    603
 1971    619    410    366    323   1029    789    730    671
 1972    688    471    422    376    927    692    635    578
 1973    646    438    393    348    956    716    657    599
 1974    682    460    412    367    872    634    578    523
 1975    784    553    501    453    913    675    618    561
 1976    652    450    406    364    933    695    637    581
 1977    902    654    594    536    966    726    666    607
 1978    681    476    429    382    936    703    646    591
 1979    657    454    410    366    931    693    634    577
 1980    698    484    438    398    935    698    640    583
 1981    633    425    381    340    943    703    644    585
 1982    713    481    427    374    792    565    512    462
 1983    544    350    311    276    892    662    605    550
 1984    604    390    345    303    950    710    651    593
 1985    757    521    469    421    834    600    545    492
 1986    704    479    430    383    991    751    692    634
 1987    811    574    519    465    983    744    685    627
 1988    848    610    558    510   1007    768    709    650
 1989    691    497    451    408    861    629    576    525
 1990    601    393    348    305    969    733    674    616
 1991    800    578    525    475    997    757    697    638
 1992    683    480    436    392    861    623    565    510
 1993    637    423    375    329    842    605    548    493
