# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA6243] ONAWA
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
#DAILY MEAN HIGHS AND LOWS FOR STATION NUMBER  ia6243
    JAN     FEB    MARCH   APRIL    MAY     JUNE    JULY    AUG     SEPT    OCT     NOV     DEC
DY  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1  30  12  32  11  43  20  58  33  69  43  77  53  86  62  85  63  81  59  74  46  56  35  41  22
  2  31  11  31  10  42  22  58  33  70  44  77  53  85  63  86  64  83  60  73  46  54  32  40  22
  3  29   8  31  11  40  20  56  33  70  45  80  53  86  63  85  63  83  58  71  45  53  31  40  21
  4  27   8  32  13  41  21  55  31  72  46  80  57  86  64  85  62  81  57  69  44  51  29  40  21
  5  29   9  33  13  41  21  58  32  72  48  81  57  86  63  85  63  80  56  69  45  52  30  40  20
  6  28   8  33  12  42  19  61  33  71  47  82  58  87  62  84  63  82  57  68  43  52  30  35  18
  7  26   6  32  12  41  19  62  35  71  46  83  59  87  64  85  62  82  58  68  42  53  30  35  18
  8  28   8  33  13  42  21  59  35  73  46  82  58  87  65  86  62  81  56  68  42  51  29  34  16
  9  26   8  34  13  44  21  58  33  73  47  81  57  86  63  85  62  79  56  67  41  50  29  35  15
 10  27   6  34  14  45  24  60  35  73  47  82  58  86  63  84  60  80  53  68  40  51  27  35  15
 11  29   9  33  13  46  24  61  37  73  48  82  60  86  64  83  59  80  54  69  43  49  28  34  16
 12  30  11  35  14  45  24  59  36  72  47  83  60  87  65  84  61  78  54  69  43  49  27  34  15
 13  31   9  37  15  45  25  60  35  73  47  84  60  88  64  84  62  77  53  68  43  50  30  34  14
 14  31  10  36  17  46  24  63  37  74  49  84  60  87  64  84  61  74  51  68  43  49  27  33  14
 15  29   9  35  16  45  24  64  37  75  49  82  59  86  63  84  61  75  50  67  42  50  28  33  14
 16  30   8  36  14  47  25  64  39  76  51  83  59  88  64  86  62  74  51  67  40  48  27  33  13
 17  29   9  37  16  48  26  66  39  76  52  83  60  88  65  86  62  75  51  65  39  49  27  33  13
 18  30  11  38  18  47  27  66  40  76  52  84  61  88  66  85  62  76  53  63  38  47  28  33  13
 19  30   9  37  18  48  27  66  42  77  51  85  60  88  67  84  61  76  52  63  37  46  26  32  13
 20  28   9  38  19  48  26  66  42  77  51  84  61  87  65  84  61  72  50  64  38  45  25  31  11
 21  30   9  38  17  48  24  66  40  77  52  84  60  86  63  84  61  73  48  64  38  45  24  30  11
 22  32  11  38  18  51  27  66  41  76  53  83  60  86  64  84  61  72  47  65  41  45  24  31  13
 23  31   9  39  19  50  28  68  41  75  53  84  60  86  63  84  61  70  45  62  38  43  24  31  13
 24  31  10  39  18  50  27  68  41  76  52  85  60  87  64  83  60  71  46  61  38  45  22  31  11
 25  29  11  41  19  50  27  69  42  76  52  86  62  87  64  84  61  74  47  62  37  44  24  32  12
 26  28   9  43  21  53  28  69  44  75  53  85  62  87  63  86  62  75  47  62  36  42  23  33  13
 27  28   9  41  22  57  30  68  43  75  53  86  62  86  64  85  62  74  46  62  37  39  20  33  15
 28  30   9  42  21  55  32  68  41  77  53  87  63  86  63  84  60  73  46  59  35  37  17  33  16
 29  30   9  46  18  52  31  67  43  78  55  87  64  87  62  85  62  73  47  59  35  38  20  32  13
 30  31   9 *** ***  55  31  67  43  79  55  86  62  86  63  84  62  74  46  58  37  39  20  31  10
 31  33  10 *** ***  57  33 *** ***  77  53 *** ***  86  63  82  59 *** ***  58  35 *** ***  29  10
