# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA6243] ONAWA
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# LENGTH OF SEASON FOR STATION NUMBER  ia6243   BASE TEMP=30
 LAST SPRING OCCURENCE FIRST FALL OCCURENCE  LENGTH OF SEASON
   YEAR MONTH DAY DOY         MONTH DAY DOY
   1951   4    22 112           9    28 271          159
   1952   4    11 102          10     6 280          178
   1953   4    20 110          10    26 299          189
   1954   5     7 127          10    16 289          162
   1955   4     7  97           9    11 254          157
   1956   4    30 121           9    30 274          153
   1957   4    14 104          10    18 291          187
   1958   4    29 119          10     1 274          155
   1959   5    15 135          10     9 282          147
   1960   4    30 121          10    19 293          172
   1961   5     9 129          10     1 274          145
   1962   4    15 105          10    25 298          193
   1963   5    22 142          10    29 302          160
   1964   4     9 100          10     9 283          183
   1965   4    28 118           9    24 267          149
   1966   5     9 129          10     1 274          145
   1967   5     3 123           9    28 271          148
   1968   5     5 126          10     4 278          152
   1969   4     6  96          10    14 287          191
   1970   5     2 122          10    10 283          161
   1971   5     3 123          10    31 304          181
   1972   4     8  99          10    18 292          193
   1973   4    27 117          10    29 302          185
   1974   4    16 106           9    30 273          167
   1975   4    20 110          10    25 298          188
   1976   5     7 128          10     6 280          152
   1977   4     6  96          10     9 282          186
   1978   5     2 122          10     7 280          158
   1979   5     1 121          10    13 286          165
   1980   5     8 129          10     3 277          148
   1981   5    11 131          10     2 275          144
   1982   4    22 112          10    20 293          181
   1983   5    15 135           9    23 266          131
   1984   5     1 122           9    26 270          148
   1985   4     9  99           9    26 269          170
   1986   4    22 112          10    13 286          174
   1987   4     6  96          10     3 276          180
   1988   4    19 110          10     4 278          168
   1989   5     7 127           9    23 266          139
   1990   5     1 121          10    10 283          162
   1991   4    10 100           9    19 262          162
   1992   4    27 118          10    15 289          171
   1993   4     5  95          10    10 283          188
   1994   5     1 121          10    25 298          177
   1995   4    27 117           9    22 265          148
   1996   4    30 121          10    10 284          163
   1997   5    13 133          10    14 287          154
   1998   4    17 107          11     5 309          202
   1999   4    18 108           9    21 264          156
   2000   4    21 112           9    25 269          157
   2001   4    18 108          10     6 279          171
   2002   4    22 112          10     7 280          168
   2003   4    22 112          10     1 274          162
   2004   5     3 124          10     2 276          152
             MEAN=115              MEAN=281     MEAN=166
