# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA6305] OSAGE
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# LENGTH OF SEASON FOR STATION NUMBER  ia6305   BASE TEMP=26
 LAST SPRING OCCURENCE FIRST FALL OCCURENCE  LENGTH OF SEASON
   YEAR MONTH DAY DOY         MONTH DAY DOY
   1951   4    19 109          10    27 300          191
   1952   4    11 102          10     5 279          177
   1953   4    19 109          10    27 300          191
   1954   4    12 102          10    30 303          201
   1955   3    28  87          10    24 297          210
   1956   4    30 121          11     9 314          193
   1957   4    13 103          10    25 298          195
   1958   4    29 119          10     1 274          155
   1959   4    11 101          10    12 285          184
   1960   4    18 109          10    20 294          185
   1961   5     1 121          10    20 293          172
   1962   4    16 106          10    24 297          191
   1963   4     4  94          11     2 306          212
   1964   4     9 100          10     9 283          183
   1965   3    30  89          10    24 297          208
   1966   5    11 131          10    24 297          166
   1967   5     3 123          10    26 299          176
   1968   4     5  96          11     9 314          218
   1969   4     1  91          10    23 296          205
   1970   4     4  94          11    14 318          224
   1971   4    14 104          11     4 308          204
   1972   4     8  99          10    18 292          193
   1973   4    13 103          11     5 309          206
   1974   4     8  98          10     2 275          177
   1975   4    11 101          11    13 317          216
   1976   3    22  82          10     8 282          200
   1977   4     6  96          11    11 315          219
   1978   3    25  84          11     7 311          227
   1979   4    10 100          11     2 306          206
   1980   4    14 105          10    28 302          197
   1981   5    10 130          10    19 292          162
   1982   4    11 101          10    21 294          193
   1983   4    19 109          11    12 316          207
   1984   3    29  89          10    23 297          208
   1985   4     9  99          11     4 308          209
   1986   4    22 112          11     2 306          194
   1987   4     4  94          10    11 284          190
   1988   4    19 110          10    24 298          188
   1989   5     6 126          10     4 277          151
   1990   4    18 108          11     7 311          203
   1991   3    30  89          10    15 288          199
   1992   4    12 103          10    17 291          188
   1993   4     4  94          10    30 303          209
   1994   4     7  97          11    15 319          222
   1995   4     4  94          10    22 295          201
   1996   4     9 100          10    28 302          202
   1997   4    18 108          10    22 295          187
   1998   3    25  84          11     4 308          224
   1999   3    26  85          10     4 277          192
   2000   4     9 100          10     7 281          181
   2001   4    17 107          10    17 290          183
   2002   4     7  97          10    20 293          196
   2003   4    10 100          10     2 275          175
   2004   4    14 105          10    17 291          186
             MEAN=102              MEAN=297     MEAN=195
