# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA6305] OSAGE
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 NUMBER OF RAINY DAYS PER MONTH PER YEAR
YEAR   JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC ANN   
1951     4   5  10  15  10   6  12  14   8   7   5   4 100
1952     8   4   9   7   7  12  11   8   4   0   3   5  78
1953     6   4   8  13   9  12  11   7   3   2   4   5  84
1954     2   3   8  10   9  13  10   9   8   9   2   4  87
1955     5   4   6   8   9   9   8   5   6   8   3   6  77
1956     7   3   7   5  13   4  10  10   5   4   6   4  78
1957     4   2   6   6  14  14   8  10  10   8   5   4  91
1958     5   3   6   9   6  11   9   8   5   4   4   1  71
1959     8   8   8   5  11   9   9   9  10   9   6   7  99
1960     4   2  10   7  15  10   6  11   9   3   3   4  84
1961     3   6  10   7   9   9  14   5  11   7   5   5  91
1962     1  12   5   9  11   7   9   9   7   7   0   2  79
1963     5   7   6   9   7   9   9   4   5   6   2   6  75
1964     3   0   8   8  12   7   6   8  10   2   6   6  76
1965     4   7  14  14  10   7   7  11  18   4   5   4 105
1966     3   5   6   8   8  12   8   7   5   3   5   5  75
1967     9   9   6  10   7  16   6   9   5   9   4   4  94
1968     8   4   8  10  11  16  12   9  13   8   7  11 117
1969    11   6   7  14  16  15  13   5   7   8   4   8 114
1970     9   5   6   8  15  10  11   9  11  11  11   5 111
1971     7   8   6   7  12  11  11   3  12  10  11  10 108
1972     6   6   9  12  12   9  10  14  12  11   5   9 115
1973     6   6  14  12  15  10  11  11  18   8   7  10 128
1974     7  10  12   9  16  10   7  10   7   6   5   7 106
1975    12   5   9  14  12  13   5  13   3   2  11   4 103
1976     4   3   8   9   7  10   7   8   7   5   2   6  76
1977     7   3   9  10  11  10  10  15  10   7  12   9 113
1978     7   8   4  15   8  11  14  10   8   9   6   9 109
1979    13   5   7  10  13  11  11  17   4   9   0   4 104
1980    10   7   9   5  11   8  10  19  10   6   2   6 103
1981     3  11   3  12   7  14   9  13   4  11   7   7 101
1982    12   3  11  11  17   8  10   9   8   9   9   5 112
1983     6   8   9  10  17  11   8   5   8   8  10   8 108
1984     3   5  10  14  12  12   8   5   8  14   7   9 107
1985     9   5   9   9   7  11   5  12  14   8   9   6 104
1986     5   3   4  11  10  10  11   8  12  11   6   4  95
1987     5   1   8   7  12   6   6  12  10   3   8   9  87
1988     5   5   5   7   3   4   8   8   8   4  11   2  70
1989     2   6   6   8   9   7   8   5   7   5   7   3  73
1990     3   3   8  10   9  16  11   9   6   6   4  12  97
1991     8   2  10   9  15   4   9  11   9   8  14   6 105
1992     6   6   9   9   6   7  14   8  11   5   6  10  97
1993     5   7   7  12  17  16  13  16   9   3   6   8 119
1994    11   6   3   8   9  10  12   8  11   5   3   4  90
1995     5   0   8  11   8  10   7   6   5  10   4   3  77
1996     9   1   6   7  14  11   5   8   6   8  10   7  92
1997     9   4   7   8  10   9  10  10   5   2   2   6  82
1998    10   8  13  11  10  13   7  11   5  12   3   4 107
1999    11   4   4  11  14  10  11  10   6   4   3   7  95
2000     5   5   8   6  13  15   8   4   8  10   9  11 102
2001     7   6   7  13  17  11   7   8   6   4   5   4  95
2002     6   8   6  12   8  11   9  11  10  14   5   9 109
2003     8   8   9  10  12  12  11   4   5   5  11   9 104
2004     6  10  17   8  18  13  10  12   6  14  10   8 132
2005    13  11  11   9  17  17   6   0   0   0   0   0  84
STDDEV   3   3   3   3   4   3   2   4   3   3   3   3  15
AVG      7   5   8  10  11  11   9   9   8   7   6   6  96
