# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA6316] OSCEOLA-3-WSW
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN   0.01-    0.26-    0.51-     1.01-            # OF DAYS
 WK    TIME PERIOD    VAL   RAIN     0.25     0.50     1.00     2.00    >2.01 MISSING TOTAL
  1 3/1-->3/7        1.41   0.32   51(59)   16(19)   16(19)    3( 3)    0( 0)    0       86
  2 3/8-->3/14       1.30   0.36   37(51)   18(25)   11(15)    6( 8)    0( 0)    0       72
  3 3/15-->3/21      1.43   0.29   49(64)   12(16)   13(17)    3( 4)    0( 0)    0       77
  4 3/22-->3/28      1.40   0.33   54(61)   13(15)   16(18)    6( 7)    0( 0)    0       89
  5 3/29-->4/4       2.34   0.37   49(49)   25(25)   20(20)    4( 4)    1( 1)    0       99
  6 4/5-->4/11       1.70   0.39   51(55)   19(20)   14(15)    9(10)    0( 0)    0       93
  7 4/12-->4/18      2.45   0.42   51(46)   26(24)   26(24)    4( 4)    3( 3)    0      110
  8 4/19-->4/25      2.00   0.43   64(49)   33(25)   17(13)   16(12)    0( 0)    0      130
  9 4/26-->5/2       1.85   0.40   64(54)   24(20)   16(14)   14(12)    0( 0)    0      118
 10 5/3-->5/9        2.58   0.46   69(50)   25(18)   23(17)   19(14)    2( 1)    0      138
 11 5/10-->5/16      1.93   0.46   51(42)   26(21)   35(29)    9( 7)    0( 0)    0      121
 12 5/17-->5/23      3.00   0.41   69(53)   23(18)   24(18)   13(10)    1( 1)    0      130
 13 5/24-->5/30      2.12   0.48   58(43)   23(17)   39(29)   14(10)    1( 1)    0      135
 14 5/31-->6/6       2.00   0.39   54(50)   26(24)   20(19)    7( 7)    0( 0)    0      107
 15 6/7-->6/13       4.83   0.54   62(45)   25(18)   30(22)   16(12)    6( 4)    0      139
 16 6/14-->6/20      4.01   0.56   52(46)   19(17)   26(23)   10( 9)    7( 6)    0      114
 17 6/21-->6/27      2.84   0.52   48(44)   20(19)   27(25)    9( 8)    4( 4)    0      108
 18 6/28-->7/4       6.01   0.58   43(42)   19(19)   23(23)   13(13)    4( 4)    0      102
 19 7/5-->7/11       4.77   0.53   50(46)   26(24)   15(14)   13(12)    5( 5)    0      109
 20 7/12-->7/18      2.75   0.61   38(39)   19(20)   18(19)   17(18)    5( 5)    0       97
 21 7/19-->7/25      3.21   0.46   55(52)   18(17)   19(18)   11(10)    3( 3)    0      106
 22 7/26-->8/1       3.75   0.50   45(48)   21(23)   14(15)    9(10)    4( 4)    0       93
 23 8/2-->8/8        3.80   0.53   38(38)   28(28)   18(18)   13(13)    3( 3)    0      100
 24 8/9-->8/15       3.09   0.42   51(50)   22(22)   18(18)    8( 8)    2( 2)    0      101
 25 8/16-->8/22      5.35   0.51   47(49)   19(20)   17(18)   10(10)    3( 3)    0       96
 26 8/23-->8/29      6.02   0.61   39(45)   20(23)   16(18)    7( 8)    5( 6)    0       87
 27 8/30-->9/5       2.25   0.47   37(43)   21(24)   18(21)    9(10)    1( 1)    0       86
 28 9/6-->9/12       3.61   0.60   34(40)   16(19)   20(24)    9(11)    6( 7)    0       85
 29 9/13-->9/19      8.80   0.71   29(32)   28(31)   14(15)   13(14)    7( 8)    0       91
 30 9/20-->9/26      3.04   0.50   51(52)   17(17)   16(16)   13(13)    2( 2)    0       99
 31 9/27-->10/3      3.38   0.53   21(34)   16(26)   18(29)    6(10)    1( 2)    0       62
 32 10/4-->10/10     2.98   0.43   39(53)   14(19)   12(16)    7( 9)    2( 3)    0       74
