# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA6316] OSCEOLA-3-WSW
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# LENGTH OF SEASON FOR STATION NUMBER  ia6316   BASE TEMP=30
 LAST SPRING OCCURENCE FIRST FALL OCCURENCE  LENGTH OF SEASON
   YEAR MONTH DAY DOY         MONTH DAY DOY
   1951   4    23 113          10    24 297          184
   1952   4    11 102          10     6 280          178
   1953   4    20 110          10    27 300          190
   1954   5     4 124          10    31 304          180
   1955   4     7  97          10    24 297          200
   1956   4    24 115          11     8 313          198
   1957   4    14 104          10    25 298          194
   1958   4    29 119          10    26 299          180
   1959   4    22 112          10    12 285          173
   1960   4    18 109          10    19 293          184
   1961   4    18 108          10    26 299          191
   1962   4    16 106          10    24 297          191
   1963   4     4  94          11     1 305          211
   1964   4    10 101          10     9 283          182
   1965   4    16 106          10    24 297          191
   1966   5     1 121          10    29 302          181
   1967   5     2 122          10    11 284          162
   1968   4     6  97          10    25 299          202
   1969   4     2  92          10    14 287          195
   1970   5     2 122          10    10 283          161
   1971   4    14 104          10    31 304          200
   1972   4     8  99           9    30 274          175
   1973   4    13 103          10    30 303          200
   1974   4     8  98           9    22 265          167
   1975   4    20 110          10    18 291          181
   1976   5     8 129          10     6 280          151
   1977   4     6  96          10    12 285          189
   1978   5     2 122          10    23 296          174
   1979   4    10 100          10    13 286          186
   1980   5    14 135           9    26 270          135
   1981   4    15 105          10     2 275          170
   1982   4    22 112          10    16 289          177
   1983   4    20 110           9    22 265          155
   1984   5     8 129          10    23 297          168
   1985   4     9  99          10    31 304          205
   1986   4    22 112          10    14 287          175
   1987   4     4  94          10     3 276          182
   1988   4    24 115          10     5 279          164
   1989   4    14 104          10    19 292          188
   1990   4    18 108          10    18 291          183
   1991   4    11 101           9    19 262          161
   1992   4    23 114          10    17 291          177
   1993   4     6  96          10    10 283          187
   1994   4    29 119          10    25 298          179
   1995   4     5  95           9    22 265          170
   1996   4    30 121          10    30 304          183
   1997   4    17 107          10    18 291          184
   1998   4    17 107          11     4 308          201
   1999   3    28  87          10     4 277          190
   2000   4     9 100          10     6 280          180
   2001   4    25 115          10    17 290          175
   2002   4     6  96          10     7 280          184
   2003   4    23 113           9    29 272          159
   2004   5     3 124          10     2 276          152
             MEAN=108              MEAN=288     MEAN=180
